Time,HFG_x5_y30,HFG_x10_y30,HFG_x15_y30,HFG_x22_y30,Error_x5_y30,Error_x10_y30,Error_x15_y30,Error_x22_y30
s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,40.9,26.1,17.5,10.7,4.8,3.0,2.2,2.1
15,44.1,23.9,17.4,11.2,2.2,1.5,1.7,1.3
25,39.4,23.3,15.5,9.1,2.2,1.5,1.4,1.1
35,45.2,24.4,19.6,10.4,2.1,1.4,1.9,1.4
45,49.9,27.1,19.0,9.2,2.1,1.5,2.0,1.1
55,54.8,33.8,25.1,11.5,2.1,1.7,1.7,1.0
65,61.5,39.7,25.3,9.6,2.2,1.6,1.6,0.9
75,62.0,43.1,30.8,9.4,2.1,1.7,1.7,1.0
85,59.3,44.0,34.9,13.0,2.0,1.7,2.1,1.4
95,61.5,45.0,38.5,14.2,2.1,1.8,2.0,1.3
105,61.3,45.3,41.8,14.6,2.1,1.7,1.8,1.3
115,63.3,44.2,40.4,15.5,2.2,1.6,1.6,1.2
125,63.4,47.1,42.9,17.6,2.1,1.7,1.6,1.3
135,64.2,48.1,42.3,20.1,2.4,1.9,1.6,1.4
145,64.0,49.3,42.7,27.3,2.1,1.8,1.6,2.0
155,65.8,49.7,44.1,32.1,2.2,1.8,1.6,1.9
165,66.8,50.5,44.6,35.3,2.3,1.7,1.6,2.0
175,68.6,52.1,41.8,38.1,2.4,1.8,1.8,2.0
185,67.8,53.8,34.5,42.0,2.3,1.9,1.3,1.7
