Time,HFG_x5_y90,HFG_x10_y90,HFG_x15_y90,HFG_x22_y90,Error_x5_y90,Error_x10_y90,Error_x15_y90,Error_x22_y90
s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,15.5,11.3,8.0,4.6,2.2,1.6,1.1,0.7
15,17.8,14.0,9.5,5.6,1.5,1.5,0.8,0.5
25,18.7,15.0,8.7,5.3,1.4,1.3,0.9,0.6
35,24.3,17.4,7.5,5.1,1.6,1.3,0.6,0.6
45,28.1,19.7,6.9,5.3,1.8,1.7,0.5,0.7
55,36.0,25.6,8.6,5.9,2.2,1.9,0.7,0.7
65,46.3,32.7,9.6,6.6,2.5,2.1,0.7,0.7
75,53.2,41.8,11.2,7.9,2.2,2.6,0.8,0.9
85,57.2,46.4,12.6,8.6,2.4,2.8,0.8,0.8
95,61.4,56.2,17.0,10.0,2.1,2.8,1.1,0.9
105,58.9,65.1,20.3,13.2,2.0,2.5,1.1,1.0
115,58.0,64.6,24.5,18.4,1.9,2.3,1.4,1.5
125,57.2,60.7,30.9,23.9,1.8,2.1,1.6,1.6
135,57.5,61.3,34.4,32.7,1.9,2.1,1.8,2.1
145,58.2,61.9,29.3,37.0,1.9,2.1,1.6,1.9
155,59.0,63.1,28.3,43.7,2.0,2.1,1.5,2.4
165,59.8,64.2,28.6,40.3,2.0,2.2,1.2,1.9
175,60.2,65.7,30.2,37.6,2.1,2.3,1.4,1.8
185,60.9,65.8,34.2,31.6,2.0,2.3,2.0,2.0
