Time,HFG_x5_y70,HFG_x10_y70,HFG_x15_y70,HFG_x22_y70,Error_x5_y70,Error_x10_y70,Error_x15_y70,Error_x22_y70
s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,16.1,13.0,7.7,4.7,2.3,1.9,1.2,0.9
15,23.4,19.3,10.1,5.3,1.5,1.5,0.9,0.7
25,19.7,20.0,8.4,5.5,1.4,1.8,0.9,0.8
35,24.0,20.8,7.5,5.3,1.6,1.5,0.6,0.7
45,28.0,25.1,7.6,5.1,1.7,2.2,0.7,1.0
55,32.7,32.7,9.6,6.4,1.8,2.1,0.8,1.0
65,39.6,37.3,11.4,6.0,1.8,2.2,1.1,0.9
75,46.5,47.0,15.0,7.7,2.0,2.8,1.1,1.3
85,51.3,57.7,17.5,8.4,1.9,2.9,1.2,1.0
95,51.7,67.7,22.6,10.0,1.8,2.7,1.3,1.2
105,51.1,69.7,27.6,14.6,1.7,2.6,1.4,1.8
115,50.9,66.5,35.2,15.8,1.8,2.3,1.5,1.4
125,51.0,65.5,35.6,20.0,1.8,2.3,1.5,2.1
135,52.9,64.2,37.0,23.0,1.8,2.2,1.3,1.9
145,53.4,64.1,37.0,31.3,1.8,2.1,1.4,2.4
155,54.6,63.7,38.0,39.9,1.9,2.1,1.4,2.6
165,55.1,64.7,38.0,41.2,1.9,2.3,1.5,2.3
175,56.7,67.7,40.2,41.3,2.0,2.3,1.5,2.1
185,56.7,68.4,40.5,40.7,2.0,2.3,1.5,1.9
