Time,HFG_x5_y10,HFG_x10_y10,HFG_x15_y10,HFG_x22_y10,Error_x5_y10,Error_x10_y10,Error_x15_y10,Error_x22_y10
s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,35.2,43.3,31.0,10.8,4.1,4.5,3.5,1.4
15,47.7,52.8,35.4,8.0,2.8,2.6,2.0,0.7
25,48.7,52.2,34.9,8.6,2.8,2.7,2.2,1.0
35,46.1,54.8,40.1,11.7,2.5,3.0,2.1,1.2
45,59.4,62.3,39.2,9.5,3.4,2.9,2.1,0.8
55,67.2,66.4,52.0,8.2,2.8,2.5,2.7,0.8
65,66.1,64.8,54.7,10.4,2.6,2.4,2.2,0.8
75,61.0,62.2,51.8,9.5,2.4,2.2,1.8,0.8
85,59.7,60.4,49.8,11.1,2.2,2.2,2.0,1.0
95,60.7,59.1,48.0,13.4,2.1,2.0,1.7,1.1
105,60.0,57.8,47.1,11.0,2.1,2.0,1.7,0.8
115,60.1,57.0,47.3,20.9,2.1,1.9,1.6,1.9
125,61.5,58.6,48.8,25.4,2.2,2.0,1.8,2.0
135,63.6,58.8,51.1,30.4,2.4,2.1,1.9,2.4
145,64.1,58.4,49.2,34.2,2.3,2.0,1.8,2.2
155,64.6,57.7,49.8,38.6,2.3,2.0,1.9,1.9
165,64.1,58.6,49.8,40.8,2.5,2.1,1.9,1.8
175,60.5,57.4,49.5,40.8,2.2,2.0,1.7,1.7
185,60.3,57.2,48.1,42.0,2.1,2.0,1.6,1.7
