Time,HFG_x5_y50,HFG_x10_y50,HFG_x15_y50,HFG_x22_y50,Error_x5_y50,Error_x10_y50,Error_x15_y50,Error_x22_y50
s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,21.4,15.3,10.0,5.6,2.9,2.2,1.5,1.0
15,24.7,16.0,10.6,6.9,1.5,1.2,1.0,0.9
25,21.7,14.4,9.5,6.4,1.2,1.0,1.0,0.8
35,19.0,12.4,9.1,6.8,1.3,0.9,0.8,0.9
45,23.9,15.9,13.2,8.3,1.3,1.0,1.3,1.2
55,27.7,17.4,12.3,6.2,1.3,1.0,1.3,0.9
65,32.7,22.7,15.9,7.5,1.4,1.3,1.4,0.9
75,35.6,27.5,18.9,8.7,1.3,1.5,1.4,1.0
85,36.4,26.6,21.0,9.1,1.3,1.4,1.5,1.0
95,36.3,25.0,24.4,9.9,1.3,1.5,1.8,1.0
105,36.8,22.2,24.8,11.5,1.3,1.4,1.6,1.1
115,39.3,21.2,25.2,13.9,1.5,1.3,1.7,1.2
125,41.9,21.6,24.0,14.6,1.5,1.3,1.7,1.3
135,43.0,24.3,22.7,18.7,1.6,1.6,1.7,1.4
145,43.2,27.9,25.9,22.4,1.5,1.8,2.2,1.7
155,43.7,27.0,23.1,24.8,1.5,1.6,1.5,1.7
165,44.7,27.1,25.7,28.8,1.6,1.8,1.7,2.1
175,44.2,29.9,29.3,34.2,1.5,2.0,1.6,2.1
185,44.4,29.5,30.1,35.4,1.5,1.7,1.6,1.9
