Time,HFG_x5_y130,HFG_x10_y130,HFG_x15_y130,HFG_x22_y130,Error_x5_y130,Error_x10_y130,Error_x15_y130,Error_x22_y130
s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6.0,5.7,3.6,2.2,1.0,0.9,0.6,0.4
15,6.8,6.4,4.5,3.1,0.6,0.6,0.6,0.4
25,7.6,7.5,4.8,3.7,0.6,0.6,0.4,0.4
35,9.3,8.8,7.1,4.1,0.7,0.8,0.7,0.5
45,10.3,9.6,5.9,3.8,1.0,1.0,0.5,0.5
55,16.6,14.7,10.3,5.8,1.1,1.2,1.1,0.7
65,23.7,19.3,12.9,8.1,1.8,1.4,1.3,0.8
75,29.7,24.6,16.0,10.8,1.7,2.0,1.3,1.6
85,35.5,29.4,18.4,12.1,2.1,2.3,1.7,1.5
95,45.2,38.1,25.2,14.2,2.1,2.2,1.7,1.5
105,50.2,46.2,28.6,14.9,2.0,2.4,1.8,1.5
115,53.3,54.5,36.8,16.1,1.9,2.4,2.0,1.7
125,53.9,61.7,43.2,22.0,1.8,2.3,2.3,1.8
135,51.7,60.7,48.8,21.1,1.7,2.1,2.2,1.9
145,51.9,57.6,57.7,29.7,1.7,2.0,2.1,2.0
155,50.9,56.9,56.0,34.6,1.7,2.0,2.0,2.3
165,51.1,58.7,54.9,43.3,1.8,2.0,1.9,2.0
175,53.5,60.3,53.8,49.6,1.9,2.1,2.0,2.0
185,54.9,63.3,54.8,49.7,1.9,2.2,1.9,1.9
