Time,HFG_x5_y110,HFG_x10_y110,HFG_x15_y110,HFG_x22_y110,Error_x5_y110,Error_x10_y110,Error_x15_y110,Error_x22_y110
s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10.5,9.3,6.1,3.3,1.5,1.3,0.9,0.5
15,14.5,11.4,7.4,4.3,1.1,1.1,0.7,0.5
25,14.6,10.1,7.3,5.0,1.1,0.8,0.7,0.7
35,16.1,10.9,7.5,4.9,1.3,0.9,0.7,0.4
45,17.2,11.8,8.3,5.5,1.6,1.0,0.7,0.6
55,27.3,16.8,11.5,7.3,2.0,1.4,1.1,0.8
65,37.1,23.2,15.5,9.4,2.0,1.5,1.1,1.0
75,41.6,26.4,18.7,10.2,2.0,1.7,1.7,1.1
85,47.5,29.6,22.2,10.9,2.1,1.7,1.6,1.1
95,53.5,37.3,28.1,13.4,2.1,2.0,2.0,1.3
105,58.1,45.1,32.7,14.1,2.1,2.2,2.0,1.1
115,57.6,54.4,40.0,18.8,1.9,2.3,2.3,2.0
125,55.2,56.6,47.5,21.8,1.9,2.0,2.4,1.8
135,54.2,56.6,57.5,28.8,1.8,1.9,2.4,2.2
145,54.5,57.0,58.8,34.8,1.8,1.9,2.1,2.1
155,54.8,57.6,56.6,40.4,1.8,2.0,1.9,2.5
165,53.9,60.6,57.3,48.9,1.8,2.0,2.0,2.2
175,54.7,62.4,57.6,49.5,1.8,2.1,1.9,1.8
185,56.0,63.2,58.6,47.9,1.8,2.2,2.0,1.8
