Z/Q^0.4,dT (C),V/Q^0.2
0.00329,711.71549,0.1147
0.00658,855.75383,0.26758
0.00987,927.71312,0.41745
0.01317,971.7222,0.56507
0.01646,1000.04002,0.70387
0.01975,1017.00147,0.82783
0.02304,1027.48254,0.94088
0.02633,1032.9312,1.04185
0.02962,1034.906,1.13199
0.03291,1033.71186,1.2131
0.0362,1029.77565,1.28449
0.0395,1023.7558,1.34973
0.04279,1015.90572,1.40859
0.04608,1006.6067,1.46264
0.04937,996.10226,1.51151
0.05266,984.62791,1.55672
0.05595,972.32303,1.59805
0.05924,959.11957,1.63567
0.06254,944.91924,1.67032
0.06583,929.8193,1.70024
0.06912,913.93945,1.72791
0.07241,897.48029,1.75204
0.0757,880.45423,1.77393
0.07899,863.5562,1.79384
0.08228,846.42447,1.81123
0.08557,829.33494,1.82648
0.08887,812.17088,1.83944
0.09216,794.98256,1.85087
0.09545,777.87361,1.86034
0.09874,761.0334,1.86873
0.10203,744.36379,1.87556
0.10532,728.05712,1.88166
0.10861,712.05467,1.88727
0.1119,696.64498,1.89201
0.1152,681.78323,1.89667
0.11849,667.38879,1.90036
0.12178,653.43022,1.90376
0.12507,639.81132,1.90661
0.12836,626.39757,1.90905
0.13165,613.30356,1.91016
0.13494,600.51847,1.9109
0.13824,587.88139,1.91111
0.14153,575.49101,1.91117
0.14482,563.35396,1.91112
0.14811,551.51659,1.91073
0.1514,540.09999,1.91051
0.15469,529.27189,1.9108
0.15798,518.98384,1.91096
0.16127,508.87115,1.91228
0.16457,498.98786,1.91204
0.16786,489.20676,1.91209
0.17115,479.54034,1.91127
0.17444,469.78668,1.90972
0.17773,460.09249,1.90759
0.18102,450.393,1.90522
0.18431,440.7305,1.902
0.18761,431.21527,1.89789
0.1909,421.88625,1.89293
0.19419,412.57364,1.88701
0.19748,403.41715,1.88021
0.20077,394.50501,1.87338
0.20406,385.93115,1.86694
0.20735,377.79815,1.86141
0.21064,370.26112,1.85659
0.21394,363.48854,1.85301
0.21723,355.45951,1.84883
0.22052,345.9239,1.84001
0.22381,336.45634,1.82844
0.2271,330.50546,1.82306
0.23039,324.71089,1.81815
0.23368,319.20662,1.81413
0.23697,313.95166,1.81163
0.24027,308.81276,1.80982
0.24356,303.81691,1.80809
0.24685,298.89157,1.80642
0.25014,294.08376,1.80482
0.25343,289.35552,1.80242
0.25672,284.66167,1.79967
0.26001,280.01526,1.79635
0.26331,275.41323,1.79271
0.2666,270.87781,1.78859
0.26989,266.41797,1.78403
0.27318,261.99236,1.77932
