Z/Q^0.4,dT (C),V/Q^0.2
0.00372,861.13804,0.13655
0.00745,981.05838,0.30895
0.01117,1034.98774,0.47361
0.01489,1062.99904,0.63166
0.01861,1076.42564,0.77837
0.02234,1080.42713,0.90824
0.02606,1079.4294,1.02488
0.02978,1074.6214,1.12863
0.0335,1067.03927,1.2201
0.03723,1057.52146,1.30208
0.04095,1046.06692,1.37396
0.04467,1033.33483,1.43893
0.0484,1019.23861,1.49764
0.05212,1003.98497,1.55059
0.05584,987.29303,1.59801
0.05956,969.27865,1.63973
0.06329,950.33769,1.67738
0.06701,930.52156,1.71073
0.07073,909.99697,1.7406
0.07445,888.73533,1.76561
0.07818,866.89806,1.78751
0.0819,844.62672,1.8056
0.08562,822.30096,1.82084
0.08935,800.00272,1.83332
0.09307,777.69307,1.84253
0.09679,755.15572,1.84896
0.10051,732.81686,1.85298
0.10424,710.81536,1.85502
0.10796,689.39726,1.85576
0.11168,668.4269,1.85498
0.1154,648.15971,1.85388
0.11913,628.56329,1.85244
0.12285,609.82137,1.85068
0.12657,591.82818,1.8487
0.1303,574.52883,1.84625
0.13402,557.833,1.84402
0.13774,541.76736,1.84154
0.14146,526.20603,1.83885
0.14519,511.01005,1.83602
0.14891,496.09668,1.83189
0.15263,481.57523,1.82752
0.15636,467.39602,1.82274
0.16008,453.71352,1.81783
0.1638,440.63192,1.81293
0.16752,428.30722,1.80882
0.17125,416.57215,1.80533
0.17497,405.50449,1.80259
0.17869,394.93276,1.80038
0.18241,384.82909,1.79907
0.18614,375.16716,1.79779
0.18986,365.81106,1.79626
0.19358,356.6602,1.7938
0.19731,347.60612,1.79009
0.20103,338.94933,1.78565
0.20475,330.66201,1.78088
0.20847,322.70477,1.77562
0.2122,315.13486,1.76997
0.21592,307.95041,1.76467
0.21964,301.06486,1.75998
0.22336,294.54518,1.75578
0.22709,288.4045,1.75173
0.23081,282.52055,1.74748
0.23453,276.84791,1.74326
0.23826,271.47208,1.73888
0.24198,266.31216,1.73429
0.2457,260.07133,1.72791
0.24942,252.78683,1.71716
0.25315,245.58205,1.70441
0.25687,240.90508,1.69449
0.26059,236.33247,1.68571
0.26431,231.95369,1.67903
0.26804,227.84638,1.67357
0.27176,223.8643,1.66869
0.27548,220.00428,1.66495
0.27921,216.19486,1.66128
0.28293,212.46979,1.65774
0.28665,208.87213,1.65379
0.29037,205.33498,1.6497
0.2941,201.96172,1.64604
0.29782,198.67393,1.64209
0.30154,195.51433,1.63771
0.30526,192.50395,1.63402
0.30899,189.55805,1.63054
