Z/Q^0.4,dT (C),V/Q^0.2
0.00298,583.63207,0.09193
0.00596,730.00091,0.22989
0.00894,811.97669,0.36819
0.01193,866.47082,0.50743
0.01491,904.97073,0.63847
0.01789,932.1196,0.75808
0.02087,952.29195,0.86699
0.02385,967.22381,0.96553
0.02683,977.88729,1.05388
0.02981,985.37776,1.13377
0.03279,989.75427,1.20492
0.03578,991.8676,1.26977
0.03876,992.11219,1.32929
0.04174,990.56095,1.38422
0.04472,987.42555,1.43462
0.0477,983.13514,1.48189
0.05068,977.67248,1.52551
0.05366,970.9177,1.56579
0.05664,962.90527,1.603
0.05963,953.61821,1.63611
0.06261,943.26542,1.66595
0.06559,931.83068,1.69267
0.06857,919.48869,1.71648
0.07155,906.26829,1.73735
0.07453,892.13368,1.75567
0.07751,877.24016,1.77146
0.08049,861.83264,1.78528
0.08348,846.07318,1.7973
0.08646,830.01809,1.8078
0.08944,813.78816,1.81628
0.09242,797.69722,1.82365
0.0954,781.85956,1.82969
0.09838,766.13931,1.83441
0.10136,750.49626,1.83794
0.10434,734.54063,1.83977
0.10733,718.31556,1.84036
0.11031,701.89536,1.83928
0.11329,685.21177,1.8371
0.11627,668.17237,1.83298
0.11925,651.20588,1.82825
0.12223,634.62357,1.82287
0.12521,618.55813,1.81765
0.12819,603.29217,1.813
0.13118,588.91577,1.80917
0.13416,575.54858,1.80689
0.13714,562.74924,1.80481
0.14012,550.58409,1.80397
0.1431,538.99186,1.80345
0.14608,528.25177,1.80412
0.14906,518.0598,1.80432
0.15204,508.58967,1.80487
0.15503,499.46819,1.80508
0.15801,490.99625,1.80514
0.16099,482.95083,1.80493
0.16397,475.0087,1.80463
0.16695,467.23567,1.80435
0.16993,459.6174,1.80362
0.17291,452.22081,1.80259
0.17589,444.91034,1.80115
0.17888,437.99903,1.79991
0.18186,431.28682,1.79899
0.18484,424.73359,1.79852
0.18782,418.37031,1.79817
0.1908,412.26361,1.79788
0.19378,406.44292,1.79764
0.19676,399.03405,1.79641
0.19974,389.77575,1.79453
0.20273,380.47725,1.79206
0.20571,374.32944,1.78814
0.20869,368.28449,1.78467
0.21167,362.43058,1.78204
0.21465,356.90293,1.78045
0.21763,351.52453,1.77933
0.22061,346.25624,1.77869
0.2236,341.05112,1.77778
0.22658,335.95127,1.77643
0.22956,330.92705,1.77532
0.23254,325.93702,1.77423
0.23552,321.01615,1.77203
0.2385,316.13942,1.76999
0.24148,311.3289,1.7682
0.24446,306.62621,1.76549
0.24745,301.97159,1.76249
0.25043,297.4326,1.75969
