Z/Q^0.4,dT (C),V/Q^0.2
0.00519,1115.88257,0.21576
0.01037,1131.77672,0.44687
0.01556,1126.31302,0.65116
0.02075,1113.19508,0.83483
0.02594,1094.6088,0.9994
0.03112,1072.29759,1.13988
0.03631,1047.83938,1.26435
0.0415,1021.70648,1.37222
0.04668,994.48601,1.46547
0.05187,966.47338,1.54663
0.05706,938.27427,1.61538
0.06224,909.70169,1.67579
0.06743,881.65429,1.72865
0.07262,853.87002,1.77477
0.07781,826.11492,1.81498
0.08299,798.75636,1.84882
0.08818,771.90041,1.87814
0.09337,745.69289,1.90283
0.09855,719.91838,1.92346
0.10374,694.67365,1.93926
0.10893,669.90202,1.95163
0.11412,645.65778,1.96036
0.1193,621.90263,1.96593
0.12449,598.75601,1.96845
0.12968,576.23646,1.96796
0.13486,554.2097,1.96473
0.14005,532.77949,1.95933
0.14524,512.14041,1.95228
0.15043,492.33082,1.94446
0.15561,473.48119,1.93595
0.1608,455.62334,1.92736
0.16599,438.9793,1.91949
0.17117,423.53434,1.91244
0.17636,409.02887,1.90614
0.18155,395.46223,1.90024
0.18673,382.68577,1.89538
0.19192,370.71,1.89129
0.19711,359.50515,1.88791
0.2023,348.92501,1.88454
0.20748,338.92649,1.88146
0.21267,329.45781,1.87805
0.21786,320.3359,1.87485
0.22304,311.47614,1.87177
0.22823,302.86619,1.86775
0.23342,294.4896,1.86327
0.23861,286.24916,1.85724
0.24379,278.25345,1.85007
0.24898,270.5315,1.84214
0.25417,263.0944,1.83415
0.25935,256.06641,1.82603
0.26454,249.44316,1.81844
0.26973,243.12881,1.81112
0.27492,237.07963,1.80378
0.2801,231.39558,1.79767
0.28529,226.00422,1.79194
0.29048,220.82224,1.78702
0.29566,215.83406,1.7826
0.30085,211.03631,1.7784
0.30604,206.38072,1.77439
0.31122,201.84555,1.76971
0.31641,197.45909,1.76537
0.3216,193.19698,1.76066
0.32679,189.04363,1.7564
0.33197,185.02399,1.75065
0.33716,181.22486,1.74554
0.34235,176.72918,1.73883
0.34753,170.91473,1.72501
0.35272,165.00478,1.70717
0.35791,161.58748,1.69489
0.3631,158.217,1.68386
0.36828,154.93349,1.67512
0.37347,151.78577,1.6678
0.37866,148.70158,1.66111
0.38384,145.7047,1.65473
0.38903,142.73891,1.64781
0.39422,139.82493,1.64
0.39941,136.98926,1.63178
0.40459,134.19152,1.62336
0.40978,131.5063,1.61408
0.41497,128.87737,1.6047
0.42015,126.3329,1.59519
0.42534,123.91478,1.58635
0.43053,121.55287,1.57785
0.43571,119.32516,1.57043
0.4409,117.15583,1.5632
0.44609,115.06547,1.55622
0.45128,113.0628,1.5501
0.45646,111.09735,1.54424
0.46165,109.2187,1.53829
0.46684,107.37412,1.53255
0.47202,105.5712,1.52709
0.47721,103.83042,1.52153
0.4824,102.11162,1.5159
0.48759,100.42944,1.51002
0.49277,98.76876,1.50376
0.49796,97.13183,1.49709
0.50315,95.53327,1.49043
0.50833,93.95001,1.48372
0.51352,92.40234,1.47678
0.51871,90.88736,1.46988
0.5239,89.40507,1.463
0.52908,87.95734,1.45557
0.53427,86.52433,1.4482
0.53946,85.12786,1.44154
