Temperature (K),10_cm,5_cm,0_cm
1.42E+03,0.00E+00,3.67E-05,0.00E+00
1.43E+03,0.00E+00,4.59E-05,0.00E+00
1.44E+03,0.00E+00,7.34E-05,0.00E+00
1.45E+03,0.00E+00,4.59E-05,0.00E+00
1.46E+03,0.00E+00,7.34E-05,0.00E+00
1.47E+03,0.00E+00,6.42E-05,0.00E+00
1.48E+03,0.00E+00,4.59E-05,0.00E+00
1.49E+03,0.00E+00,4.59E-05,0.00E+00
1.50E+03,0.00E+00,3.67E-05,0.00E+00
1.51E+03,0.00E+00,2.75E-05,0.00E+00
1.52E+03,0.00E+00,6.42E-05,0.00E+00
1.53E+03,0.00E+00,2.75E-05,0.00E+00
1.54E+03,0.00E+00,1.84E-05,0.00E+00
1.55E+03,0.00E+00,5.51E-05,0.00E+00
1.56E+03,0.00E+00,9.18E-06,0.00E+00
1.57E+03,0.00E+00,6.42E-05,0.00E+00
1.58E+03,0.00E+00,3.67E-05,0.00E+00
1.59E+03,0.00E+00,7.34E-05,0.00E+00
1.60E+03,0.00E+00,3.67E-05,0.00E+00
1.61E+03,0.00E+00,3.67E-05,0.00E+00
1.62E+03,0.00E+00,7.34E-05,0.00E+00
1.63E+03,0.00E+00,5.51E-05,0.00E+00
1.64E+03,0.00E+00,5.51E-05,0.00E+00
1.65E+03,0.00E+00,3.67E-05,0.00E+00
1.66E+03,0.00E+00,5.51E-05,0.00E+00
1.67E+03,0.00E+00,1.84E-05,0.00E+00
1.68E+03,0.00E+00,1.84E-05,0.00E+00
1.69E+03,0.00E+00,5.51E-05,0.00E+00
1.70E+03,0.00E+00,3.67E-05,0.00E+00
1.71E+03,0.00E+00,4.59E-05,0.00E+00
1.72E+03,0.00E+00,0.00E+00,0.00E+00
1.73E+03,0.00E+00,2.75E-05,0.00E+00
1.74E+03,0.00E+00,1.84E-05,0.00E+00
1.75E+03,0.00E+00,1.84E-05,0.00E+00
1.76E+03,0.00E+00,3.67E-05,0.00E+00
1.77E+03,0.00E+00,4.59E-05,0.00E+00
1.78E+03,0.00E+00,4.59E-05,0.00E+00
1.80E+03,0.00E+00,2.75E-05,0.00E+00
1.81E+03,0.00E+00,9.18E-06,0.00E+00
1.82E+03,0.00E+00,5.51E-05,0.00E+00
1.83E+03,0.00E+00,9.18E-06,0.00E+00
