XO2 (-),eta (-)
1.100000000000000006e-01,2.975477605731493766e-02
1.199999999999999956e-01,2.732237203482449847e-02
1.300000000000000044e-01,7.947213087390208042e-01
1.400000000000000133e-01,9.458560638726009051e-01
1.499999999999999944e-01,9.837888005440785788e-01
1.600000000000000033e-01,9.829733582415862703e-01
1.799999999999999933e-01,9.992184949241844638e-01
2.099999999999999922e-01,9.996578667746208735e-01
