x (m), TC (C)
-3.000000119209289551e-01,2.521680450439453125e+01
-2.939999997615814209e-01,2.589111328125000000e+01
-2.879999876022338867e-01,2.659128379821777344e+01
-2.820000052452087402e-01,2.720969200134277344e+01
-2.759999930858612061e-01,2.788278961181640625e+01
-2.700000107288360596e-01,2.863234710693359375e+01
-2.639999985694885254e-01,2.950959968566894531e+01
-2.579999864101409912e-01,3.045336341857910156e+01
-2.520000040531158447e-01,3.156159591674804688e+01
-2.460000067949295044e-01,3.280128860473632812e+01
-2.399999946355819702e-01,3.415227508544921875e+01
-2.339999973773956299e-01,3.577662658691406250e+01
-2.280000001192092896e-01,3.753026962280273438e+01
-2.220000028610229492e-01,3.953704452514648438e+01
-2.160000056028366089e-01,4.233421707153320312e+01
-2.099999934434890747e-01,4.544792556762695312e+01
-2.039999961853027344e-01,4.683979034423828125e+01
-1.979999989271163940e-01,5.076567459106445312e+01
-1.920000016689300537e-01,5.526348495483398438e+01
-1.860000044107437134e-01,5.920845031738281250e+01
-1.800000071525573730e-01,6.341538238525390625e+01
-1.739999949932098389e-01,6.781507873535156250e+01
-1.679999977350234985e-01,7.236363983154296875e+01
-1.620000004768371582e-01,7.701952362060546875e+01
-1.560000032186508179e-01,8.174621582031250000e+01
-1.500000059604644775e-01,8.650523376464843750e+01
-1.439999938011169434e-01,9.127059936523437500e+01
-1.379999965429306030e-01,9.604109191894531250e+01
-1.319999992847442627e-01,1.008773269653320312e+02
-1.260000020265579224e-01,1.062692260742187500e+02
-1.200000047683715820e-01,1.133756256103515625e+02
-1.139999926090240479e-01,1.225100097656250000e+02
-1.080000102519989014e-01,1.316865081787109375e+02
-1.019999980926513672e-01,1.389265441894531250e+02
-9.600000083446502686e-02,1.449336547851562500e+02
-9.000000357627868652e-02,1.502442016601562500e+02
-8.399999141693115234e-02,1.552033233642578125e+02
-7.800000905990600586e-02,1.607849273681640625e+02
-7.199999690055847168e-02,1.730900421142578125e+02
-6.599999964237213135e-02,2.058731079101562500e+02
-6.000000238418579102e-02,2.683416748046875000e+02
-5.400000512599945068e-02,3.524662170410156250e+02
-4.800000786781311035e-02,4.418086853027343750e+02
-4.199999570846557617e-02,5.227295532226562500e+02
-3.600001335144042969e-02,5.961484985351562500e+02
-3.000000119209289551e-02,6.671719360351562500e+02
-2.399998903274536133e-02,7.282814941406250000e+02
-1.800000667572021484e-02,7.732631225585937500e+02
-1.199999451637268066e-02,7.987858886718750000e+02
-6.000012159347534180e-03,8.107654418945312500e+02
0.000000000000000000e+00,8.104248657226562500e+02
6.000012159347534180e-03,8.018173217773437500e+02
1.199999451637268066e-02,7.868593139648437500e+02
1.800000667572021484e-02,7.580711669921875000e+02
2.399998903274536133e-02,7.075752563476562500e+02
3.000000119209289551e-02,6.401474609375000000e+02
3.600001335144042969e-02,5.658867797851562500e+02
4.199999570846557617e-02,4.920390319824218750e+02
4.800000786781311035e-02,4.152863769531250000e+02
5.399999022483825684e-02,3.320274658203125000e+02
6.000000238418579102e-02,2.590727539062500000e+02
6.599998474121093750e-02,2.092018890380859375e+02
7.199999690055847168e-02,1.807634887695312500e+02
7.800000905990600586e-02,1.654774780273437500e+02
8.399999141693115234e-02,1.558908843994140625e+02
9.000000357627868652e-02,1.496911926269531250e+02
9.600001573562622070e-02,1.443642578125000000e+02
1.019999980926513672e-01,1.384540863037109375e+02
1.080000102519989014e-01,1.313156738281250000e+02
1.139999926090240479e-01,1.222392578125000000e+02
1.200000047683715820e-01,1.132030334472656250e+02
1.259999871253967285e-01,1.061917800903320312e+02
1.319999992847442627e-01,1.008896179199218750e+02
1.380000114440917969e-01,9.613222503662109375e+01
1.439999938011169434e-01,9.142633056640625000e+01
1.500000059604644775e-01,8.670933532714843750e+01
1.560000181198120117e-01,8.198098754882812500e+01
1.620000004768371582e-01,7.726559448242187500e+01
1.679999828338623047e-01,7.260299682617187500e+01
1.739999949932098389e-01,6.803321075439453125e+01
1.800000071525573730e-01,6.360140609741210938e+01
1.859999895095825195e-01,5.935453033447265625e+01
1.920000016689300537e-01,5.536542129516601562e+01
1.980000138282775879e-01,5.081733322143554688e+01
2.039999961853027344e-01,4.681034851074218750e+01
2.099999785423278809e-01,4.544562911987304688e+01
2.160000205039978027e-01,4.231427383422851562e+01
2.220000028610229492e-01,3.950176620483398438e+01
2.279999852180480957e-01,3.749005126953125000e+01
2.340000271797180176e-01,3.573707580566406250e+01
2.400000095367431641e-01,3.411597061157226562e+01
2.459999918937683105e-01,3.277326583862304688e+01
2.520000338554382324e-01,3.154289054870605469e+01
2.579999566078186035e-01,3.044506263732910156e+01
2.639999985694885254e-01,2.951197052001953125e+01
2.700000405311584473e-01,2.864527130126953125e+01
2.759999632835388184e-01,2.790535736083984375e+01
2.820000052452087402e-01,2.724088096618652344e+01
2.879999876022338867e-01,2.663021469116210938e+01
2.939999699592590332e-01,2.590951347351074219e+01
3.000000119209289551e-01,2.522104072570800781e+01
