x (m), TC (K)
-3.000000119209289551e-01,2.963751220703125000e+02
-2.939999997615814209e-01,2.968023376464843750e+02
-2.879999876022338867e-01,2.972519836425781250e+02
-2.820000052452087402e-01,2.977442626953125000e+02
-2.759999930858612061e-01,2.983031616210937500e+02
-2.700000107288360596e-01,2.989552001953125000e+02
-2.639999985694885254e-01,2.997696533203125000e+02
-2.579999864101409912e-01,3.006700439453125000e+02
-2.520000040531158447e-01,3.017870788574218750e+02
-2.460000067949295044e-01,3.030777282714843750e+02
-2.399999946355819702e-01,3.045155944824218750e+02
-2.339999973773956299e-01,3.063091430664062500e+02
-2.280000001192092896e-01,3.082694091796875000e+02
-2.220000028610229492e-01,3.105513000488281250e+02
-2.160000056028366089e-01,3.136913757324218750e+02
-2.099999934434890747e-01,3.171703186035156250e+02
-2.039999961853027344e-01,3.186148376464843750e+02
-1.979999989271163940e-01,3.228126220703125000e+02
-1.920000016689300537e-01,3.286990966796875000e+02
-1.860000044107437134e-01,3.333480529785156250e+02
-1.800000071525573730e-01,3.382676696777343750e+02
-1.739999949932098389e-01,3.433807373046875000e+02
-1.679999977350234985e-01,3.486936035156250000e+02
-1.620000004768371582e-01,3.544591369628906250e+02
-1.560000032186508179e-01,3.617503662109375000e+02
-1.500000059604644775e-01,3.704748535156250000e+02
-1.439999938011169434e-01,3.796098022460937500e+02
-1.379999965429306030e-01,3.891288146972656250e+02
-1.319999992847442627e-01,3.988323364257812500e+02
-1.260000020265579224e-01,4.099101257324218750e+02
-1.200000047683715820e-01,4.233215332031250000e+02
-1.139999926090240479e-01,4.406249694824218750e+02
-1.080000102519989014e-01,4.663394775390625000e+02
-1.019999980926513672e-01,5.007383117675781250e+02
-9.600000083446502686e-02,5.376598510742187500e+02
-9.000000357627868652e-02,5.771749267578125000e+02
-8.399999141693115234e-02,6.194568481445312500e+02
-7.800000905990600586e-02,6.647578735351562500e+02
-7.199999690055847168e-02,7.134486694335937500e+02
-6.599999964237213135e-02,7.616843261718750000e+02
-6.000000238418579102e-02,8.045000610351562500e+02
-5.400000512599945068e-02,8.438309326171875000e+02
-4.800000786781311035e-02,8.831015014648437500e+02
-4.199999570846557617e-02,9.232990722656250000e+02
-3.600001335144042969e-02,9.624771728515625000e+02
-3.000000119209289551e-02,9.988646850585937500e+02
-2.399998903274536133e-02,1.022809997558593750e+03
-1.800000667572021484e-02,1.034601684570312500e+03
-1.199999451637268066e-02,1.042744628906250000e+03
-6.000012159347534180e-03,1.047736694335937500e+03
0.000000000000000000e+00,1.048337890625000000e+03
6.000012159347534180e-03,1.047024047851562500e+03
1.199999451637268066e-02,1.040322143554687500e+03
1.800000667572021484e-02,1.026748168945312500e+03
2.399998903274536133e-02,1.010125061035156250e+03
3.000000119209289551e-02,9.874609985351562500e+02
3.600001335144042969e-02,9.553770141601562500e+02
4.199999570846557617e-02,9.174146118164062500e+02
4.800000786781311035e-02,8.758599243164062500e+02
5.399999022483825684e-02,8.348336181640625000e+02
6.000000238418579102e-02,7.948908081054687500e+02
6.599998474121093750e-02,7.520867919921875000e+02
7.199999690055847168e-02,7.064071044921875000e+02
7.800000905990600586e-02,6.588124389648437500e+02
8.399999141693115234e-02,6.088203735351562500e+02
9.000000357627868652e-02,5.604581909179687500e+02
9.600001573562622070e-02,5.174933471679687500e+02
1.019999980926513672e-01,4.829323425292968750e+02
1.080000102519989014e-01,4.569919128417968750e+02
1.139999926090240479e-01,4.361952819824218750e+02
1.200000047683715820e-01,4.203792114257812500e+02
1.259999871253967285e-01,4.077984313964843750e+02
1.319999992847442627e-01,3.976246337890625000e+02
1.380000114440917969e-01,3.890286865234375000e+02
1.439999938011169434e-01,3.797426147460937500e+02
1.500000059604644775e-01,3.704934692382812500e+02
1.560000181198120117e-01,3.618267822265625000e+02
1.620000004768371582e-01,3.546128234863281250e+02
1.679999828338623047e-01,3.488686828613281250e+02
1.739999949932098389e-01,3.435604248046875000e+02
1.800000071525573730e-01,3.384435119628906250e+02
1.859999895095825195e-01,3.335141906738281250e+02
1.920000016689300537e-01,3.288500061035156250e+02
1.980000138282775879e-01,3.228921203613281250e+02
2.039999961853027344e-01,3.186601257324218750e+02
2.099999785423278809e-01,3.172699279785156250e+02
2.160000205039978027e-01,3.137777404785156250e+02
2.220000028610229492e-01,3.106248779296875000e+02
2.279999852180480957e-01,3.083319396972656250e+02
2.340000271797180176e-01,3.063632507324218750e+02
2.400000095367431641e-01,3.045605773925781250e+02
2.459999918937683105e-01,3.031153564453125000e+02
2.520000338554382324e-01,3.018182373046875000e+02
2.579999566078186035e-01,3.006952819824218750e+02
2.639999985694885254e-01,2.997889404296875000e+02
2.700000405311584473e-01,2.989683227539062500e+02
2.759999632835388184e-01,2.983105163574218750e+02
2.820000052452087402e-01,2.977461242675781250e+02
2.879999876022338867e-01,2.972484741210937500e+02
2.939999699592590332e-01,2.967929992675781250e+02
3.000000119209289551e-01,2.963612060546875000e+02
