x (m), XO2 (-)
-3.000000119209289551e-01,2.099135071039199829e-01
-2.939999997615814209e-01,2.098036408424377441e-01
-2.879999876022338867e-01,2.096612602472305298e-01
-2.820000052452087402e-01,2.094368338584899902e-01
-2.759999930858612061e-01,2.091731429100036621e-01
-2.700000107288360596e-01,2.088544070720672607e-01
-2.639999985694885254e-01,2.083625048398971558e-01
-2.579999864101409912e-01,2.076646834611892700e-01
-2.520000040531158447e-01,2.061651200056076050e-01
-2.460000067949295044e-01,2.039751112461090088e-01
-2.399999946355819702e-01,2.012019604444503784e-01
-2.339999973773956299e-01,1.980696916580200195e-01
-2.280000001192092896e-01,1.949967443943023682e-01
-2.220000028610229492e-01,1.921431571245193481e-01
-2.160000056028366089e-01,1.890673041343688965e-01
-2.099999934434890747e-01,1.859815418720245361e-01
-2.039999961853027344e-01,1.851297318935394287e-01
-1.979999989271163940e-01,1.834501326084136963e-01
-1.920000016689300537e-01,1.819212585687637329e-01
-1.860000044107437134e-01,1.810236573219299316e-01
-1.800000071525573730e-01,1.805220544338226318e-01
-1.739999949932098389e-01,1.802649348974227905e-01
-1.679999977350234985e-01,1.801504343748092651e-01
-1.620000004768371582e-01,1.801032423973083496e-01
-1.560000032186508179e-01,1.800848394632339478e-01
-1.500000059604644775e-01,1.800771355628967285e-01
-1.439999938011169434e-01,1.800736039876937866e-01
-1.379999965429306030e-01,1.800719201564788818e-01
-1.319999992847442627e-01,1.800710856914520264e-01
-1.260000020265579224e-01,1.800699830055236816e-01
-1.200000047683715820e-01,1.800632029771804810e-01
-1.139999926090240479e-01,1.800365298986434937e-01
-1.080000102519989014e-01,1.799780428409576416e-01
-1.019999980926513672e-01,1.799026429653167725e-01
-9.600000083446502686e-02,1.798299401998519897e-01
-9.000000357627868652e-02,1.797497570514678955e-01
-8.399999141693115234e-02,1.796099990606307983e-01
-7.800000905990600586e-02,1.791677027940750122e-01
-7.199999690055847168e-02,1.778670102357864380e-01
-6.599999964237213135e-02,1.750316172838211060e-01
-6.000000238418579102e-02,1.701675057411193848e-01
-5.400000512599945068e-02,1.632369458675384521e-01
-4.800000786781311035e-02,1.543201804161071777e-01
-4.199999570846557617e-02,1.436211913824081421e-01
-3.600001335144042969e-02,1.311534941196441650e-01
-3.000000119209289551e-02,1.168413236737251282e-01
-2.399998903274536133e-02,1.007385328412055969e-01
-1.800000667572021484e-02,8.385795354843139648e-02
-1.199999451637268066e-02,7.065078616142272949e-02
-6.000012159347534180e-03,6.243303418159484863e-02
0.000000000000000000e+00,5.897038802504539490e-02
6.000012159347534180e-03,6.220933794975280762e-02
1.199999451637268066e-02,7.065156102180480957e-02
1.800000667572021484e-02,8.408525586128234863e-02
2.399998903274536133e-02,1.006858125329017639e-01
3.000000119209289551e-02,1.167318373918533325e-01
3.600001335144042969e-02,1.316621005535125732e-01
4.199999570846557617e-02,1.448554098606109619e-01
4.800000786781311035e-02,1.558437198400497437e-01
5.399999022483825684e-02,1.646358370780944824e-01
6.000000238418579102e-02,1.709844022989273071e-01
6.599998474121093750e-02,1.752779930830001831e-01
7.199999690055847168e-02,1.779485195875167847e-01
7.800000905990600586e-02,1.793430000543594360e-01
8.399999141693115234e-02,1.798886656761169434e-01
9.000000357627868652e-02,1.800375133752822876e-01
9.600001573562622070e-02,1.800665855407714844e-01
1.019999980926513672e-01,1.800703257322311401e-01
1.080000102519989014e-01,1.800706982612609863e-01
1.139999926090240479e-01,1.800706982612609863e-01
1.200000047683715820e-01,1.800706982612609863e-01
1.259999871253967285e-01,1.800708025693893433e-01
1.319999992847442627e-01,1.800712049007415771e-01
1.380000114440917969e-01,1.800719499588012695e-01
1.439999938011169434e-01,1.800736635923385620e-01
1.500000059604644775e-01,1.800773292779922485e-01
1.560000181198120117e-01,1.800852715969085693e-01
1.620000004768371582e-01,1.801039576530456543e-01
1.679999828338623047e-01,1.801507025957107544e-01
1.739999949932098389e-01,1.802603751420974731e-01
1.800000071525573730e-01,1.805043369531631470e-01
1.859999895095825195e-01,1.809851527214050293e-01
1.920000016689300537e-01,1.818563342094421387e-01
1.980000138282775879e-01,1.833547800779342651e-01
2.039999961853027344e-01,1.850423812866210938e-01
2.099999785423278809e-01,1.859071701765060425e-01
2.160000205039978027e-01,1.890781819820404053e-01
2.220000028610229492e-01,1.922251880168914795e-01
2.279999852180480957e-01,1.951168030500411987e-01
2.340000271797180176e-01,1.982257664203643799e-01
2.400000095367431641e-01,2.013894915580749512e-01
2.459999918937683105e-01,2.041501849889755249e-01
2.520000338554382324e-01,2.062993198633193970e-01
2.579999566078186035e-01,2.077240496873855591e-01
2.639999985694885254e-01,2.083748579025268555e-01
2.700000405311584473e-01,2.088325172662734985e-01
2.759999632835388184e-01,2.091432809829711914e-01
2.820000052452087402e-01,2.094071954488754272e-01
2.879999876022338867e-01,2.096374332904815674e-01
2.939999699592590332e-01,2.097899317741394043e-01
3.000000119209289551e-01,2.099081277847290039e-01
