x (m), XO2 (-)
-3.000000119209289551e-01,2.100694030523300171e-01
-2.939999997615814209e-01,2.100689709186553955e-01
-2.879999876022338867e-01,2.100684940814971924e-01
-2.820000052452087402e-01,2.100678831338882446e-01
-2.759999930858612061e-01,2.100670784711837769e-01
-2.700000107288360596e-01,2.100659608840942383e-01
-2.639999985694885254e-01,2.100637555122375488e-01
-2.579999864101409912e-01,2.100606113672256470e-01
-2.520000040531158447e-01,2.100550830364227295e-01
-2.460000067949295044e-01,2.100456655025482178e-01
-2.399999946355819702e-01,2.100331634283065796e-01
-2.339999973773956299e-01,2.100020647048950195e-01
-2.280000001192092896e-01,2.099519670009613037e-01
-2.220000028610229492e-01,2.098604589700698853e-01
-2.160000056028366089e-01,2.096248865127563477e-01
-2.099999934434890747e-01,2.093234658241271973e-01
-2.039999961853027344e-01,2.091688513755798340e-01
-1.979999989271163940e-01,2.087328881025314331e-01
-1.920000016689300537e-01,2.078952640295028687e-01
-1.860000044107437134e-01,2.068303227424621582e-01
-1.800000071525573730e-01,2.054871171712875366e-01
-1.739999949932098389e-01,2.039840668439865112e-01
-1.679999977350234985e-01,2.024008780717849731e-01
-1.620000004768371582e-01,2.007870078086853027e-01
-1.560000032186508179e-01,1.991581320762634277e-01
-1.500000059604644775e-01,1.975014805793762207e-01
-1.439999938011169434e-01,1.957875043153762817e-01
-1.379999965429306030e-01,1.939714401960372925e-01
-1.319999992847442627e-01,1.919665187597274780e-01
-1.260000020265579224e-01,1.896800994873046875e-01
-1.200000047683715820e-01,1.871149241924285889e-01
-1.139999926090240479e-01,1.842064410448074341e-01
-1.080000102519989014e-01,1.808556616306304932e-01
-1.019999980926513672e-01,1.770315617322921753e-01
-9.600000083446502686e-02,1.729440093040466309e-01
-9.000000357627868652e-02,1.686969697475433350e-01
-8.399999141693115234e-02,1.641837656497955322e-01
-7.800000905990600586e-02,1.591397672891616821e-01
-7.199999690055847168e-02,1.534656733274459839e-01
-6.599999964237213135e-02,1.472350507974624634e-01
-6.000000238418579102e-02,1.405575275421142578e-01
-5.400000512599945068e-02,1.336190849542617798e-01
-4.800000786781311035e-02,1.264335960149765015e-01
-4.199999570846557617e-02,1.190072894096374512e-01
-3.600001335144042969e-02,1.115557253360748291e-01
-3.000000119209289551e-02,1.044508740305900574e-01
-2.399998903274536133e-02,9.825349599123001099e-02
-1.800000667572021484e-02,9.245216101408004761e-02
-1.199999451637268066e-02,8.750640600919723511e-02
-6.000012159347534180e-03,8.424253761768341064e-02
0.000000000000000000e+00,8.293703943490982056e-02
6.000012159347534180e-03,8.380711823701858521e-02
1.199999451637268066e-02,8.619700372219085693e-02
1.800000667572021484e-02,9.054616838693618774e-02
2.399998903274536133e-02,9.691996872425079346e-02
3.000000119209289551e-02,1.042625829577445984e-01
3.600001335144042969e-02,1.121992096304893494e-01
4.199999570846557617e-02,1.200052052736282349e-01
4.800000786781311035e-02,1.276269853115081787e-01
5.399999022483825684e-02,1.349730640649795532e-01
6.000000238418579102e-02,1.418413519859313965e-01
6.599998474121093750e-02,1.482079476118087769e-01
7.199999690055847168e-02,1.541521251201629639e-01
7.800000905990600586e-02,1.596426963806152344e-01
8.399999141693115234e-02,1.646890640258789062e-01
9.000000357627868652e-02,1.693632900714874268e-01
9.600001573562622070e-02,1.736686676740646362e-01
1.019999980926513672e-01,1.775589436292648315e-01
1.080000102519989014e-01,1.810573637485504150e-01
1.139999926090240479e-01,1.841923743486404419e-01
1.200000047683715820e-01,1.870139837265014648e-01
1.259999871253967285e-01,1.895548403263092041e-01
1.319999992847442627e-01,1.918492317199707031e-01
1.380000114440917969e-01,1.938865631818771362e-01
1.439999938011169434e-01,1.957477927207946777e-01
1.500000059604644775e-01,1.975135207176208496e-01
1.560000181198120117e-01,1.992318779230117798e-01
1.620000004768371582e-01,2.009375542402267456e-01
1.679999828338623047e-01,2.026272267103195190e-01
1.739999949932098389e-01,2.042685747146606445e-01
1.800000071525573730e-01,2.058047652244567871e-01
1.859999895095825195e-01,2.071379125118255615e-01
1.920000016689300537e-01,2.081505805253982544e-01
1.980000138282775879e-01,2.089272439479827881e-01
2.039999961853027344e-01,2.093306928873062134e-01
2.099999785423278809e-01,2.094576209783554077e-01
2.160000205039978027e-01,2.097029685974121094e-01
2.220000028610229492e-01,2.098942548036575317e-01
2.279999852180480957e-01,2.099669426679611206e-01
2.340000271797180176e-01,2.100079655647277832e-01
2.400000095367431641e-01,2.100345194339752197e-01
2.459999918937683105e-01,2.100462019443511963e-01
2.520000338554382324e-01,2.100550532341003418e-01
2.579999566078186035e-01,2.100605070590972900e-01
2.639999985694885254e-01,2.100635915994644165e-01
2.700000405311584473e-01,2.100658416748046875e-01
2.759999632835388184e-01,2.100669741630554199e-01
2.820000052452087402e-01,2.100677937269210815e-01
2.879999876022338867e-01,2.100684344768524170e-01
2.939999699592590332e-01,2.100689262151718140e-01
3.000000119209289551e-01,2.100692987442016602e-01
