Radius (cm),1.0D,1.5D,2.0D,2.5D,3.0D,3.5D
11,7.467502274,44.79402278,106.7498258,85.787345,100.836173,86.12233921
10,8.688940513,82.04535018,126.6493011,96.38765319,117.1563696,99.26147048
9,20.21387638,125.947229,172.8549747,117.6276191,150.0277303,125.8338548
8,51.08641948,157.1792939,209.6587389,186.7660862,160.5137204,140.0791838
7,95.7193332,194.0306575,239.7379445,214.9243719,197.8377979,172.6120508
6,179.1070146,218.7147247,304.762657,233.863524,211.8998817,179.7597178
5,218.1315378,253.9581939,319.6221744,289.8102013,250.6571658,212.2949996
4,342.9685108,289.0351643,362.3904768,306.0009811,271.6427974,216.7113905
3,354.8020946,353.4054039,399.9438304,366.2816145,296.4548123,245.8668267
2,342.9769039,422.6106447,410.3791728,344.8994205,316.3295235,248.5026598
1,316.0583325,383.0374997,397.1424035,405.1989827,322.4240542,257.6582771
0,245.410184,342.638688,369.9649263,394.190657,357.6782251,279.432686
