Radius (cm),1.0D,1.5D,2.0D,2.5D,3.0D,3.5D
0,1099.29891,1176.705191,1138.030117,1094.354936,910.0182961,759.1087516
1,1139.599607,1155.664133,1123.662803,1090.351422,904.5116079,778.3125633
2,1068.529498,1040.177538,1047.721906,991.9762312,914.8389511,739.5888736
3,876.3383736,864.0083012,956.0298944,937.4620203,828.542434,739.3739536
4,733.3154138,748.8039918,863.0582375,813.140109,786.3044261,717.0352273
5,637.3713841,720.286274,751.6371647,723.0705614,746.7974801,681.9584753
6,572.2568457,634.5021401,717.07535,651.220898,699.59118,645.5250499
7,490.0103589,601.6279247,623.9394442,585.8233312,600.009514,599.1551872
8,441.0675703,555.7869741,599.9961957,544.7018908,575.8823149,572.2736758
9,420.8668208,497.510439,569.9994997,500.245774,528.6806293,502.7121251
10,393.5195384,457.2262094,496.7667672,464.6401929,504.1380617,490.4825761
11,378.7532719,430.2903549,456.5284917,441.5317223,475.5288672,464.3383873
