Mass_Flux,Z=66mm,Z=330mm,Z=594mm,Z=990mm
5.35,0.94,2.04,3.04,3.68
7.18,1.21,2.54,3.99,4.91
8.9,1.45,2.99,4.82,5.56
8.86,1.6,3.26,5.18,6.14
10.24,1.58,3.2,5.12,6.53
12.06,1.74,3.41,5.67,6.88
13.38,1.8,3.71,6.31,7.69
14.58,1.99,4.08,6.91,7.95
7.81,1.36,3,4.24,NaN
10.55,1.6,3.41,5.05,NaN
13.55,1.8,3.85,6.11,NaN
16.04,1.93,3.99,6.54,NaN
17.96,2.08,4.18,6.75,NaN
18.05,2.02,4.4,6.71,NaN
20.21,2.17,4.49,7.2,NaN
22.56,2.27,4.97,7.31,NaN
24.74,2.37,4.99,7.63,NaN
