Mass_Flux_365,Z=365mm,Mass_Flux_537,Z=537mm,Mass_Flux_771,Z=771mm,Mass_Flux_1022,Z=1022mm,Mass_Flux_1317,Z=1317mm
6.99,18.5,6.17,24.9,5.76,26.7,4.41,26.2,4.41,25.7
10.08,22.1,10.19,27.4,11.85,44.9,5.83,35.3,5.27,38.3
13.08,25,11.95,34.1,12.68,46.9,7.21,40.6,7.56,47.6
16.33,26.8,15.3,37,17.05,56.3,9.12,48.2,9.03,54.9
19,29.5,19.86,43.8,22.37,66.1,12.63,53.3,10.85,65.6
21.95,34.8,24.75,50,NaN,NaN,15.09,58.6,12.73,70.1
24.84,36.4,31.5,55.2,NaN,NaN,17.13,64.9,15.25,78.1
29.29,38.4,37.72,63.6,NaN,NaN,NaN,NaN,17.51,84.4
NaN,NaN,43.72,72.8,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,52.32,88.2,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,62.18,92.1,NaN,NaN,NaN,NaN,NaN,NaN
