Y,m=22.49,m=22.37,m=17.05,m=12.68,m=11.85,m=8.75
6.4,1044.4,985.3,1100,1142.6,1160.6,1185.8
14.3,1145.2,1123.1,1172.1,1184.4,1176.5,1136.1
22.2,1181.5,1185.8,1190.2,1169.3,1154.8,1087.7
29.3,1178.6,1199.6,1157,1098.5,1085.6,995.4
36.5,1110.1,1150.5,1076.2,992.5,983.8,897.2
42.8,1071.1,1121.6,1027.1,926.8,921.8,846
49.2,1013.4,1067.5,957.9,869.8,846.1,794.1
56.3,940.5,990.3,900.1,814.3,809.9,740.7
63.4,894.4,922.5,848.2,771.7,755.8,697.4
70.6,840.3,869.8,794.8,727.7,711.8,651.2
77.7,785.4,809.9,746.5,679.4,663.5,607.3
84.1,747.9,768.1,706.1,644,626.7,576.2
90.4,706.1,721.2,670.7,609.4,591.3,549.5
98.3,663.5,678.6,631.7,576.2,558.9,514.9
106.3,622.4,643.3,595.7,537.9,523.5,486
