Z,m=12.68,m=17.05,m=22.37
0.066,14.18,13.67,10.73
0.198,12.95,13.55,13.49
0.33,17.16,19.45,17.90
0.462,21.46,24.68,23.01
0.594,26.99,30.16,27.15
0.726,28.49,31.05,NaN
0.858,30.92,33.01,NaN
0.99,33.54,35.65,NaN
