cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 3.6801020E+001, 1.1740606E+003, 1.2086425E+003, 4.8794500E+000, 1.5008060E+002, 2.1964821E+002, 7.7265921E-001, 8.1008372E-002, 6.5819465E-002, 5.1748727E-003, 6.4911201E-004, 9.8946465E-002, 4.4421856E-003, 7.4030773E-001, 5.2083555E-003, 1.5664189E-003
 3.8831633E+001, 1.1417122E+003, 1.1713397E+003, 4.9043244E+000, 1.5957024E+002, 2.3167098E+002, 8.6114311E-001, 8.8214047E-002, 6.2726908E-002, 4.1063358E-003, 5.0192297E-004, 9.3763498E-002, 3.4998305E-003, 7.4398293E-001, 4.1223755E-003, 1.3707206E-003
 4.0862245E+001, 1.1077483E+003, 1.1324641E+003, 4.9154156E+000, 1.6713004E+002, 2.4107049E+002, 9.3195843E-001, 9.5341026E-002, 5.9526629E-002, 3.2310425E-003, 3.8555533E-004, 8.8602664E-002, 2.7295066E-003, 7.4736507E-001, 3.2356214E-003, 1.2024689E-003
 4.2892857E+001, 1.0727395E+003, 1.0927159E+003, 4.9132567E+000, 1.7283803E+002, 2.4796091E+002, 1.0071818E+000, 1.0231145E-001, 5.6282864E-002, 2.5211587E-003, 2.9408923E-004, 8.3527628E-002, 2.1063178E-003, 7.5047015E-001, 2.5186299E-003, 1.0582242E-003
 4.4923469E+001, 1.0372506E+003, 1.0527086E+003, 4.8957768E+000, 1.7641654E+002, 2.5219522E+002, 1.0896911E+000, 1.0906755E-001, 5.3042560E-002, 1.9569661E-003, 2.2320081E-004, 7.8585470E-002, 1.6126237E-003, 7.5330878E-001, 1.9505633E-003, 9.3556818E-004
 4.6954082E+001, 1.0015473E+003, 1.0128285E+003, 4.8693510E+000, 1.7781632E+002, 2.5366232E+002, 1.1662055E+000, 1.1558953E-001, 4.9836595E-002, 1.5126882E-003, 1.6857444E-004, 7.3795891E-002, 1.2254373E-003, 7.5591095E-001, 1.5045298E-003, 8.3100130E-004
 4.8984694E+001, 9.6602087E+002, 9.7355044E+002, 4.8374009E+000, 1.7744441E+002, 2.5270684E+002, 1.2258766E+000, 1.2182854E-001, 4.6709431E-002, 1.1653695E-003, 1.2669282E-004, 6.9199710E-002, 9.2424690E-004, 7.5829354E-001, 1.1567574E-003, 7.4164585E-004
 5.1015306E+001, 9.3130365E+002, 9.3557586E+002, 4.7570484E+000, 1.7535438E+002, 2.4948178E+002, 1.3061222E+000, 1.2770971E-001, 4.3716470E-002, 8.9618418E-004, 9.4745537E-005, 6.4856383E-002, 6.9218473E-004, 7.6045971E-001, 8.8787470E-004, 6.6539392E-004
 5.3045918E+001, 8.9764059E+002, 8.9909009E+002, 4.7071543E+000, 1.7183767E+002, 2.4447464E+002, 1.3382940E+000, 1.3323670E-001, 4.0868800E-002, 6.8829151E-004, 7.0453390E-005, 6.0766314E-002, 5.1425462E-004, 7.6243374E-001, 6.8070201E-004, 5.9990089E-004
 5.5076531E+001, 8.6525339E+002, 8.6430514E+002, 4.6511745E+000, 1.6716780E+002, 2.3797067E+002, 1.3686890E+000, 1.3839606E-001, 3.8182592E-002, 5.3029080E-004, 5.2217625E-005, 5.6941666E-002, 3.8028368E-004, 7.6422721E-001, 5.2360925E-004, 5.4368501E-004
 5.7107143E+001, 8.3444105E+002, 8.3150616E+002, 4.5906376E+000, 1.6188104E+002, 2.3064966E+002, 1.3956400E+000, 1.4315574E-001, 3.5683310E-002, 4.1185499E-004, 3.8688143E-005, 5.3408293E-002, 2.8103096E-004, 7.6584448E-001, 4.0608846E-004, 4.9554400E-004
 5.9137755E+001, 8.0526449E+002, 8.0070130E+002, 4.5280496E+000, 1.5613796E+002, 2.2281558E+002, 1.4206133E+000, 1.4753510E-001, 3.3368098E-002, 3.2306364E-004, 2.8653306E-005, 5.0153552E-002, 2.0768520E-004, 7.6730502E-001, 3.1813403E-004, 4.5399173E-004
 6.1168367E+001, 7.7783336E+002, 7.7202666E+002, 4.4642167E+000, 1.5025555E+002, 2.1483619E+002, 1.4382657E+000, 1.5153526E-001, 3.1242244E-002, 2.5630219E-004, 2.1212320E-005, 4.7178001E-002, 1.5346518E-004, 7.6861954E-001, 2.5209932E-004, 4.1798491E-004
 6.3198980E+001, 7.5218752E+002, 7.4545435E+002, 4.3972982E+000, 1.4434471E+002, 2.0679286E+002, 1.4558858E+000, 1.5517902E-001, 2.9297667E-002, 2.0598859E-004, 1.5702963E-005, 4.4465641E-002, 1.1342854E-004, 7.6980261E-001, 2.0239913E-004, 3.8661109E-004
