s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100"
 0.0000000E+000,-3.4014536E-006,-5.1856500E-006,-7.2832725E-006,-6.6391116E-006,-5.1774797E-006,-2.6350543E-006,-4.0729748E-006,-5.7806879E-006,-5.4377536E-006,-4.3876844E-006,-1.9714762E-006,-3.0770345E-006,-4.6758553E-006,-4.4543771E-006,-3.6469516E-006,-1.1242611E-006,-1.7375049E-006,-2.7674880E-006,-2.7851674E-006,-2.3924637E-006
 5.0348784E-001, 1.2537339E-002, 1.5769973E-002, 1.8591528E-002, 1.5818286E-002, 1.2273903E-002, 2.3013486E-003, 3.0352725E-003, 3.6389593E-003, 3.0608465E-003, 2.2974245E-003, 8.5047104E-004, 9.6780464E-004, 9.3015287E-004, 9.7127419E-004, 8.6001904E-004, 4.3421068E-004, 5.1293534E-004, 8.0843419E-004, 5.0941631E-004, 4.3282117E-004
 1.0005207E+000, 1.1247953E-001, 1.4634462E-001, 1.7249511E-001, 1.4602175E-001, 1.0898070E-001, 2.1661464E-002, 2.8714142E-002, 3.3930081E-002, 2.8727226E-002, 2.1434292E-002, 8.0642698E-003, 8.7768745E-003, 8.9352937E-003, 8.7847593E-003, 8.0251253E-003, 4.0260669E-003, 4.5606424E-003, 7.6162909E-003, 4.5417533E-003, 4.0429768E-003
 1.5001309E+000, 2.0319115E-001, 2.7861583E-001, 3.2574344E-001, 2.7747842E-001, 1.9021908E-001, 3.9539451E-002, 5.6145507E-002, 6.5031962E-002, 5.6281500E-002, 3.8729124E-002, 1.4204324E-002, 1.6328611E-002, 1.5551477E-002, 1.6319608E-002, 1.5059007E-002, 7.4128632E-003, 8.1183828E-003, 1.3865116E-002, 8.1914929E-003, 7.5969398E-003
 2.0023266E+000, 3.4299565E-001, 6.3598286E-001, 5.0488316E-001, 5.5352207E-001, 3.3229725E-001, 6.2324504E-002, 8.9043673E-002, 9.8311354E-002, 8.4014176E-002, 6.5842114E-002, 2.0813236E-002, 2.0973584E-002, 2.2930397E-002, 2.2635437E-002, 2.3831020E-002, 1.0788639E-002, 1.2858783E-002, 2.6145452E-002, 1.2048672E-002, 1.0302553E-002
 2.5013925E+000, 5.6749017E-001, 9.5498759E-001, 8.8598745E-001, 9.2472301E-001, 5.1335747E-001, 9.3286882E-002, 1.2690390E-001, 1.4036515E-001, 1.3333627E-001, 8.6784300E-002, 3.5671086E-002, 2.7064721E-002, 4.1607048E-002, 3.3762660E-002, 3.8980338E-002, 1.8785453E-002, 1.6269464E-002, 3.7792374E-002, 1.6479514E-002, 1.5418090E-002
 3.0004845E+000, 7.2212614E-001, 1.0385717E+000, 1.7458403E+000, 1.0925925E+000, 7.3793370E-001, 2.6975049E-001, 1.8160525E-001, 1.9605849E-001, 2.5573161E-001, 1.3998891E-001, 4.6266608E-002, 4.8169357E-002, 5.1486187E-002, 4.9902545E-002, 4.7727132E-002, 2.0652116E-002, 2.2827670E-002, 4.6103495E-002, 2.4099704E-002, 1.9472160E-002
 3.5000281E+000, 7.8069085E-001, 1.2561243E+000, 1.7736281E+000, 1.0920666E+000, 7.5280754E-001, 3.1800644E-001, 4.5065810E-001, 5.9387679E-001, 4.7441617E-001, 3.4657018E-001, 5.2336797E-002, 5.8561393E-002, 5.7793241E-002, 6.9172463E-002, 5.5551445E-002, 2.0981193E-002, 2.9878508E-002, 5.5779316E-002, 2.9557208E-002, 2.1636111E-002
 4.0001574E+000, 1.6545461E+000, 1.8452091E+000, 1.6916354E+000, 1.8666197E+000, 1.3384462E+000, 3.7593951E-001, 4.5536759E-001, 5.9576592E-001, 3.4749806E-001, 3.0905820E-001, 2.3175975E-001, 2.6423332E-001, 3.3430773E-001, 2.5506441E-001, 2.6865537E-001, 2.9185915E-002, 3.9037989E-002, 1.0185916E-001, 3.9937731E-002, 2.9341383E-002
 4.5003011E+000, 1.3297207E+000, 1.9458193E+000, 2.0921151E+000, 1.7226111E+000, 1.4688103E+000, 3.3538544E-001, 3.7232287E-001, 5.3360323E-001, 4.6059644E-001, 3.5970620E-001, 2.3264797E-001, 2.4687982E-001, 2.5091625E-001, 1.6770458E-001, 1.8093178E-001, 1.3443217E-001, 2.3716915E-001, 2.6979769E-001, 2.2895737E-001, 1.6830784E-001
 5.0004025E+000, 1.5692446E+000, 1.7885441E+000, 2.7148763E+000, 1.9910091E+000, 1.4320310E+000, 3.5728770E-001, 4.5520724E-001, 9.6934492E-001, 5.4468359E-001, 4.7696091E-001, 1.5425445E-001, 1.8825359E-001, 4.2635552E-001, 4.0367429E-001, 2.6302746E-001, 1.4607017E-001, 1.9366215E-001, 2.8150096E-001, 1.9566462E-001, 1.6730033E-001
