s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 0.0000000E+000,-2.2911670E-003,-3.6608511E-003,-6.0330087E-003,-4.0464929E-003,-2.8643207E-003,-3.7357010E-003,-5.1609526E-003,-5.7255953E-003,-5.6752185E-003,-4.8250566E-003,-2.5812306E-003,-3.5079406E-003,-5.0798697E-003,-3.9775094E-003,-2.7118597E-003,-2.0461488E-003,-3.2121563E-003,-5.1662820E-003,-3.6229610E-003,-2.3720321E-003,-5.2361658E-003,-5.1381730E-003,-5.4237507E-003,-4.8647007E-003,-3.6455777E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0111483E-001, 4.3655520E-003, 5.3389201E-003, 4.9053123E-003, 5.4124225E-003, 4.5024085E-003, 5.4665187E-004, 6.2003682E-004, 4.4097833E-004, 7.0398428E-004, 5.6261194E-004,-7.2594858E-005,-1.1865467E-004,-2.2607644E-004,-5.1675850E-005,-7.4317858E-005,-1.6639166E-004,-2.1153079E-004,-3.0603569E-004,-1.9951112E-004,-1.6269707E-004,-4.2086742E-004,-3.0538404E-004,-3.3165459E-004,-2.6357174E-004,-1.6709423E-004, 1.9999633E+001, 1.9999725E+001, 1.9999708E+001, 1.9999756E+001, 1.9999833E+001
 1.0022297E+000, 5.5792348E-002, 7.1401366E-002, 7.3418668E-002, 7.0676508E-002, 5.5819818E-002, 1.0447526E-002, 1.3393440E-002, 1.4297413E-002, 1.3339808E-002, 1.0454557E-002, 2.5383403E-003, 3.0905236E-003, 2.8134494E-003, 3.0469724E-003, 2.5494878E-003, 8.7050432E-004, 9.0820049E-004, 1.2558540E-003, 8.5514751E-004, 8.5589679E-004, 9.7072217E-004, 3.8197184E-004, 9.9035047E-005, 4.0264364E-005, 5.7233297E-006, 1.9999953E+001, 1.9999836E+001, 1.9999744E+001, 1.9999779E+001, 1.9999833E+001
 1.5033445E+000, 1.5704437E-001, 2.1371186E-001, 2.3305686E-001, 2.1185692E-001, 1.5796264E-001, 3.2633904E-002, 4.2683451E-002, 4.6655219E-002, 4.2671019E-002, 3.2822625E-002, 1.0400625E-002, 1.1453097E-002, 1.1474260E-002, 1.1254703E-002, 1.0241063E-002, 4.6838479E-003, 5.0684779E-003, 7.5477358E-003, 4.8272380E-003, 4.6474136E-003, 6.1991974E-003, 3.1663961E-003, 9.9623880E-004, 3.0633051E-004, 6.7720587E-005, 2.0002644E+001, 2.0001104E+001, 2.0000132E+001, 1.9999910E+001, 1.9999865E+001
 2.0012279E+000, 2.5663026E-001, 3.7697336E-001, 4.0617114E-001, 4.1359630E-001, 2.4858451E-001, 6.1891585E-002, 7.0114418E-002, 7.5877520E-002, 6.4710309E-002, 6.1062391E-002, 1.9928875E-002, 1.6653982E-002, 2.1523216E-002, 1.6602197E-002, 1.9167590E-002, 8.6520615E-003, 8.7629265E-003, 1.6367502E-002, 8.3699815E-003, 8.6287511E-003, 1.2695609E-002, 6.5566080E-003, 2.2479806E-003, 6.1773991E-004, 1.4429542E-004, 2.0009369E+001, 2.0004778E+001, 2.0001422E+001, 2.0000271E+001, 1.9999932E+001
 2.5011975E+000, 3.5986930E-001, 5.6125452E-001, 6.7013806E-001, 7.6986954E-001, 4.0958264E-001, 8.4297815E-002, 1.0238536E-001, 1.1858701E-001, 1.0598079E-001, 8.5530075E-002, 3.3031530E-002, 2.7497531E-002, 4.1859348E-002, 2.7829561E-002, 3.1668515E-002, 1.6610083E-002, 1.4363937E-002, 2.8146003E-002, 1.4886132E-002, 1.5835587E-002, 1.6263337E-002, 7.1207185E-003, 2.1861664E-003, 5.8431357E-004, 1.6189824E-004, 2.0018879E+001, 2.0009005E+001, 2.0002725E+001, 2.0000591E+001, 2.0000003E+001
 3.0011195E+000, 4.5481723E-001, 7.9983801E-001, 1.4684480E+000, 7.6817566E-001, 4.3746436E-001, 1.5979300E-001, 2.1854378E-001, 1.5684902E-001, 2.0504470E-001, 1.4986328E-001, 3.8580256E-002, 4.5750762E-002, 4.1213047E-002, 4.8345029E-002, 3.8880969E-002, 2.2212285E-002, 3.2694125E-002, 2.5073812E-002, 3.2045971E-002, 2.4536307E-002, 1.4019408E-002, 6.1312419E-003, 1.9774200E-003, 5.9944375E-004, 1.9066819E-004, 2.0025457E+001, 2.0011708E+001, 2.0003562E+001, 2.0000830E+001, 2.0000070E+001
 3.5011745E+000, 4.7680321E-001, 9.2033762E-001, 1.7010835E+000, 8.4958319E-001, 5.2363410E-001, 2.7802715E-001, 3.2897900E-001, 4.3502535E-001, 3.7992880E-001, 2.0623766E-001, 9.4389431E-002, 9.6882426E-002, 6.9685301E-002, 7.4959754E-002, 5.3338103E-002, 2.7700336E-002, 4.3988675E-002, 3.4474516E-002, 4.2252705E-002, 3.4830195E-002, 1.8203613E-002, 7.7313706E-003, 2.4780651E-003, 7.9673993E-004, 2.7404383E-004, 2.0032523E+001, 2.0014539E+001, 2.0004448E+001, 2.0001118E+001, 2.0000159E+001
 4.0002104E+000, 5.9551799E-001, 1.1296008E+000, 2.1119552E+000, 1.1089695E+000, 6.3538704E-001, 2.5464382E-001, 3.8219372E-001, 5.4154518E-001, 2.6544153E-001, 2.5851251E-001, 1.5435644E-001, 2.6985977E-001, 2.7647050E-001, 1.7767034E-001, 1.4180462E-001, 7.2972160E-002, 9.7280718E-002, 8.4196542E-002, 7.7560490E-002, 4.7958442E-002, 2.3485583E-002, 9.2049782E-003, 2.9275504E-003, 9.9959080E-004, 3.8730751E-004, 2.0042081E+001, 2.0018137E+001, 2.0005604E+001, 2.0001515E+001, 2.0000303E+001
 4.5020019E+000, 7.0038917E-001, 1.2737622E+000, 2.4480592E+000, 1.1675757E+000, 7.0933603E-001, 2.1900093E-001, 4.7354331E-001, 6.7591411E-001, 3.4084333E-001, 2.3558634E-001, 1.1273785E-001, 1.4404926E-001, 2.8101705E-001, 2.5739019E-001, 1.1146537E-001, 1.2789845E-001, 1.7378672E-001, 2.2745010E-001, 2.0712460E-001, 7.7409175E-002, 1.1686896E-001, 7.1964572E-002, 9.4674675E-003, 1.4773065E-003, 5.6929695E-004, 2.0147083E+001, 2.0082892E+001, 2.0010091E+001, 2.0002074E+001, 2.0000535E+001
 5.0020717E+000, 8.3116589E-001, 1.4757098E+000, 3.0292806E+000, 1.3559954E+000, 8.2409953E-001, 2.7457187E-001, 5.4264922E-001, 6.6764853E-001, 3.1058148E-001, 2.7016096E-001, 1.4524293E-001, 2.9625534E-001, 3.7977220E-001, 2.2165748E-001, 1.3290025E-001, 7.6072633E-002, 1.5897048E-001, 2.3953458E-001, 2.1486757E-001, 1.5165874E-001, 1.4967003E-001, 1.2102072E-001, 1.0882244E-001, 5.1379818E-002, 1.1308262E-003, 2.0291038E+001, 2.0216782E+001, 2.0151042E+001, 2.0048116E+001, 2.0000938E+001
 5.5008522E+000, 9.5309201E-001, 1.6299561E+000, 4.1782346E+000, 1.5836226E+000, 9.6339929E-001, 3.0667559E-001, 4.4154043E-001, 6.5979118E-001, 4.4018094E-001, 2.9675436E-001, 1.7199604E-001, 2.2010557E-001, 3.8104193E-001, 2.7038978E-001, 1.5550178E-001, 1.6237936E-001, 2.7703327E-001, 2.7058201E-001, 2.5264802E-001, 1.3546468E-001, 1.5591864E-001, 1.1568391E-001, 1.0837347E-001, 1.0450566E-001, 7.1887854E-002, 2.0388197E+001, 2.0294756E+001, 2.0233204E+001, 2.0181871E+001, 2.0079108E+001
 6.0009112E+000, 1.1227516E+000, 1.9275660E+000, 4.4028699E+000, 1.8154831E+000, 1.1101587E+000, 3.5526344E-001, 4.9468775E-001, 7.5148864E-001, 6.4113792E-001, 3.4333838E-001, 2.0326539E-001, 3.0277530E-001, 3.4293944E-001, 2.2777016E-001, 1.6795516E-001, 1.3137429E-001, 2.0231064E-001, 2.5074566E-001, 2.5802021E-001, 2.0538230E-001, 2.2223074E-001, 1.7392521E-001, 1.5695262E-001, 1.0320362E-001, 6.3576145E-002, 2.0558090E+001, 2.0430242E+001, 2.0345715E+001, 2.0243065E+001, 2.0148344E+001
