s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 0.0000000E+000,-2.2911670E-003,-3.6608511E-003,-6.0330087E-003,-4.0464929E-003,-2.8643207E-003,-3.7357010E-003,-5.1609526E-003,-5.7255953E-003,-5.6752185E-003,-4.8250566E-003,-2.5812306E-003,-3.5079406E-003,-5.0798697E-003,-3.9775094E-003,-2.7118597E-003,-2.0461488E-003,-3.2121563E-003,-5.1662820E-003,-3.6229610E-003,-2.3720321E-003,-5.2361658E-003,-5.1381730E-003,-5.4237507E-003,-4.8647007E-003,-3.6455777E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0111483E-001, 4.3656861E-003, 5.3390791E-003, 4.9054116E-003, 5.4125825E-003, 4.5025440E-003, 5.4661379E-004, 6.1997966E-004, 4.4089368E-004, 7.0393561E-004, 5.6257146E-004,-7.2676151E-005,-1.1876249E-004,-2.2620184E-004,-5.1778264E-005,-7.4400534E-005,-1.6647023E-004,-2.1163378E-004,-3.0615598E-004,-1.9961510E-004,-1.6277753E-004,-4.2099193E-004,-3.0549462E-004,-3.3175735E-004,-2.6366392E-004,-1.6715576E-004, 1.9999552E+001, 1.9999664E+001, 1.9999643E+001, 1.9999703E+001, 1.9999796E+001
 1.0022297E+000, 5.5801888E-002, 7.1413748E-002, 7.3430869E-002, 7.0688263E-002, 5.5829122E-002, 1.0450068E-002, 1.3396790E-002, 1.4300627E-002, 1.3343156E-002, 1.0457017E-002, 2.5387594E-003, 3.0910181E-003, 2.8138689E-003, 3.0474748E-003, 2.5499076E-003, 8.7050403E-004, 9.0818042E-004, 1.2558061E-003, 8.5512717E-004, 8.5589329E-004, 9.7060923E-004, 3.8183571E-004, 9.8878885E-005, 4.0136405E-005, 5.6303819E-006, 2.0000008E+001, 1.9999843E+001, 1.9999725E+001, 1.9999760E+001, 1.9999816E+001
 1.5033445E+000, 1.5710620E-001, 2.1379167E-001, 2.3313131E-001, 2.1193192E-001, 1.5801817E-001, 3.2652682E-002, 4.2711674E-002, 4.6680682E-002, 4.2696833E-002, 3.2840751E-002, 1.0405829E-002, 1.1459408E-002, 1.1480254E-002, 1.1260941E-002, 1.0246370E-002, 4.6852375E-003, 5.0701108E-003, 7.5494664E-003, 4.8288410E-003, 4.6487929E-003, 6.2002235E-003, 3.1669402E-003, 9.9639152E-004, 3.0636500E-004, 6.7685861E-005, 2.0003362E+001, 2.0001439E+001, 2.0000219E+001, 1.9999928E+001, 1.9999860E+001
 2.0013606E+000, 2.5680269E-001, 3.7719257E-001, 4.0637345E-001, 4.1424631E-001, 2.4872915E-001, 6.1944926E-002, 7.0176573E-002, 7.5950254E-002, 6.4769017E-002, 6.1110775E-002, 1.9944288E-002, 1.6672914E-002, 2.1542204E-002, 1.6621483E-002, 1.9184873E-002, 8.6575548E-003, 8.7695606E-003, 1.6374652E-002, 8.3762942E-003, 8.6340792E-003, 1.2700368E-002, 6.5599087E-003, 2.2496149E-003, 6.1847416E-004, 1.4448412E-004, 2.0011310E+001, 2.0005795E+001, 2.0001759E+001, 2.0000357E+001, 1.9999941E+001
 2.5004892E+000, 3.5985997E-001, 5.6164787E-001, 6.6986723E-001, 7.7014721E-001, 4.1011097E-001, 8.4382079E-002, 1.0258188E-001, 1.1880933E-001, 1.0613177E-001, 8.5628330E-002, 3.3070514E-002, 2.7542018E-002, 4.1899155E-002, 2.7863814E-002, 3.1709261E-002, 1.6613862E-002, 1.4373125E-002, 2.8165464E-002, 1.4896454E-002, 1.5848214E-002, 1.6277801E-002, 7.1302412E-003, 2.1908915E-003, 5.8641348E-004, 1.6258294E-004, 2.0022085E+001, 2.0010491E+001, 2.0003187E+001, 2.0000705E+001, 2.0000021E+001
 3.0017725E+000, 4.5469073E-001, 7.9913706E-001, 1.4694029E+000, 7.6967138E-001, 4.3801320E-001, 1.6035064E-001, 2.1957730E-001, 1.5688050E-001, 2.0432113E-001, 1.4927639E-001, 3.8662290E-002, 4.5905191E-002, 4.1328857E-002, 4.8426187E-002, 3.8970943E-002, 2.2213776E-002, 3.2781165E-002, 2.5130511E-002, 3.2134906E-002, 2.4573027E-002, 1.4050093E-002, 6.1473203E-003, 1.9851042E-003, 6.0315816E-004, 1.9209610E-004, 2.0028867E+001, 2.0013242E+001, 2.0004045E+001, 2.0000959E+001, 2.0000095E+001
 3.5025093E+000, 4.7757742E-001, 9.0738129E-001, 1.7380452E+000, 8.5500672E-001, 5.2630867E-001, 2.7892907E-001, 3.3271071E-001, 4.4603799E-001, 3.7150398E-001, 2.2394914E-001, 9.2780069E-002, 1.0426308E-001, 6.6794036E-002, 7.5869126E-002, 5.3540430E-002, 2.7840996E-002, 4.4416735E-002, 3.4729019E-002, 4.2711065E-002, 3.5200909E-002, 1.8306119E-002, 7.7729842E-003, 2.4926432E-003, 8.0248461E-004, 2.7626999E-004, 2.0036662E+001, 2.0016335E+001, 2.0005014E+001, 2.0001282E+001, 2.0000199E+001
 4.0008245E+000, 5.9498187E-001, 1.1232389E+000, 2.1429123E+000, 1.1146372E+000, 6.3940453E-001, 2.5281368E-001, 3.6348995E-001, 5.8629376E-001, 2.7701677E-001, 2.5755012E-001, 1.6015899E-001, 2.7776489E-001, 2.5580880E-001, 2.1506344E-001, 1.4863161E-001, 6.8448256E-002, 9.5489456E-002, 5.6773605E-002, 7.9964382E-002, 4.8439954E-002, 2.3616775E-002, 9.2830124E-003, 2.9534070E-003, 1.0083243E-003, 3.9228893E-004, 2.0047199E+001, 2.0020313E+001, 2.0006293E+001, 2.0001729E+001, 2.0000368E+001
 4.5016837E+000, 6.9620235E-001, 1.2574785E+000, 2.5421379E+000, 1.1777449E+000, 7.1254543E-001, 2.2323968E-001, 4.9308399E-001, 6.2282244E-001, 3.5569865E-001, 2.3565279E-001, 1.1154801E-001, 1.4304971E-001, 2.2960525E-001, 1.8726507E-001, 1.0074434E-001, 1.1787587E-001, 1.7023531E-001, 1.6869685E-001, 1.3580235E-001, 8.4061083E-002, 8.6670552E-002, 6.8278020E-002, 2.7888856E-002, 1.4974355E-003, 5.6598336E-004, 2.0114042E+001, 2.0073031E+001, 2.0019553E+001, 2.0002363E+001, 2.0000630E+001
 5.0010341E+000, 8.2631539E-001, 1.4372480E+000, 3.1634701E+000, 1.3590923E+000, 8.2810130E-001, 2.8165587E-001, 5.7747240E-001, 6.7048693E-001, 3.0749974E-001, 2.6698884E-001, 1.8426454E-001, 2.9825226E-001, 3.1908723E-001, 2.5948802E-001, 1.3604439E-001, 1.1526799E-001, 1.6155252E-001, 2.4746649E-001, 2.5058056E-001, 1.5575542E-001, 1.2442400E-001, 1.0559434E-001, 1.3325150E-001, 7.6894813E-002, 1.5588868E-003, 2.0239273E+001, 2.0198372E+001, 2.0195724E+001, 2.0074043E+001, 2.0001228E+001
 5.5018014E+000, 9.5042325E-001, 1.6262659E+000, 4.2004553E+000, 1.5915966E+000, 9.6991579E-001, 3.1770507E-001, 5.2734467E-001, 8.9124251E-001, 4.0979053E-001, 2.9984997E-001, 1.5853430E-001, 2.4010606E-001, 4.7377436E-001, 3.2664960E-001, 1.7064439E-001, 1.2755446E-001, 2.3192179E-001, 2.8908292E-001, 2.2197203E-001, 1.5484946E-001, 2.0037244E-001, 1.3785704E-001, 1.1498709E-001, 9.7604989E-002, 9.2433766E-002, 2.0396036E+001, 2.0303398E+001, 2.0264984E+001, 2.0195328E+001, 2.0104831E+001
 6.0016897E+000, 1.1041119E+000, 1.9063829E+000, 4.2314975E+000, 1.8251293E+000, 1.1177225E+000, 3.4297342E-001, 5.7681578E-001, 9.3014158E-001, 4.7641158E-001, 3.4690024E-001, 1.6626842E-001, 2.9777318E-001, 4.7719727E-001, 2.7555135E-001, 1.4781996E-001, 1.2373343E-001, 2.1106463E-001, 3.1111408E-001, 1.9928709E-001, 1.3338707E-001, 1.9035944E-001, 1.6669829E-001, 1.4347523E-001, 1.3148653E-001, 1.0712566E-001, 2.0524033E+001, 2.0413326E+001, 2.0374236E+001, 2.0296921E+001, 2.0206854E+001
