s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 4.5004958E+000, 1.0430375E+000, 2.0856218E+000, 2.5809711E+000, 2.2230855E+000, 1.0828303E+000, 2.7309762E-001, 4.6101533E-001, 9.0302065E-001, 3.6796675E-001, 2.6799120E-001, 1.4981290E-001, 2.3367660E-001, 4.9932279E-001, 2.0766460E-001, 1.2257450E-001, 1.7598741E-001, 2.1770065E-001, 2.8872822E-001, 2.2058555E-001, 2.6760823E-001, 2.4812273E-001, 4.7344705E-002, 1.1206333E-002, 1.7774139E-003, 5.0715983E-004, 2.0348102E+001, 2.0084042E+001, 2.0019379E+001, 2.0002969E+001, 2.0000656E+001
 5.0002116E+000, 1.2188796E+000, 2.3494592E+000, 3.2183359E+000, 2.3716787E+000, 1.2287164E+000, 3.0776790E-001, 4.5562739E-001, 1.0230237E+000, 4.1588124E-001, 2.8630044E-001, 1.4954658E-001, 1.8888242E-001, 5.7976007E-001, 2.4358078E-001, 1.4888244E-001, 1.1391310E-001, 2.2609982E-001, 3.1469323E-001, 2.3143003E-001, 1.1067118E-001, 2.9597952E-001, 2.4766797E-001, 6.6691893E-002, 3.1866337E-003, 7.1930602E-004, 2.0621747E+001, 2.0328772E+001, 2.0062676E+001, 2.0004333E+001, 2.0000955E+001
 5.5008511E+000, 1.3650940E+000, 2.6347663E+000, 4.3370019E+000, 2.6522586E+000, 1.3987554E+000, 3.4388160E-001, 6.9788772E-001, 1.7107735E+000, 4.9100991E-001, 3.3778211E-001, 1.8514041E-001, 3.8248688E-001, 7.0815056E-001, 3.1948866E-001, 1.3028494E-001, 1.9817349E-001, 4.1234261E-001, 3.6230888E-001, 1.8284899E-001, 1.3608803E-001, 3.7542481E-001, 2.7321427E-001, 1.9651447E-001, 1.5887206E-001, 3.8064303E-002, 2.0883742E+001, 2.0573989E+001, 2.0300506E+001, 2.0181247E+001, 2.0027768E+001
 6.0004145E+000, 1.4547947E+000, 2.8789100E+000, 4.0409239E+000, 2.9919995E+000, 1.5946365E+000, 4.0043247E-001, 5.6279221E-001, 1.3592588E+000, 6.1395762E-001, 3.5833840E-001, 1.5410191E-001, 3.1431211E-001, 8.1911964E-001, 2.8670255E-001, 1.7506295E-001, 1.8453409E-001, 3.2266705E-001, 5.1053559E-001, 1.2738802E-001, 1.1599797E-001, 4.0829117E-001, 2.4967581E-001, 1.6266943E-001, 1.0272916E-001, 1.1593369E-001, 2.1090721E+001, 2.0700077E+001, 2.0409028E+001, 2.0286072E+001, 2.0188458E+001
 6.5004897E+000, 1.6553873E+000, 3.1244686E+000, 4.4288465E+000, 3.1316237E+000, 1.7670800E+000, 4.5092573E-001, 6.3624982E-001, 1.4907710E+000, 7.6737101E-001, 4.4562789E-001, 1.7055068E-001, 2.7269699E-001, 6.7967502E-001, 4.2159788E-001, 2.1958206E-001, 1.6006576E-001, 3.3942015E-001, 5.5988333E-001, 3.5072838E-001, 1.9493761E-001, 3.9297829E-001, 2.8245536E-001, 2.2444678E-001, 1.6853718E-001, 8.3887699E-002, 2.1272100E+001, 2.0845597E+001, 2.0565058E+001, 2.0368593E+001, 2.0214147E+001
 7.0005649E+000, 1.8026333E+000, 3.5405666E+000, 5.0239518E+000, 3.1801204E+000, 1.9042875E+000, 5.0059139E-001, 7.1724449E-001, 1.5133516E+000, 7.3941268E-001, 5.0201553E-001, 1.8647128E-001, 2.9897927E-001, 7.6017909E-001, 6.6108940E-001, 2.4683626E-001, 2.1264320E-001, 2.6325175E-001, 6.6926427E-001, 5.4583155E-001, 3.2975811E-001, 5.1870726E-001, 4.9781500E-001, 2.4123987E-001, 1.5789501E-001, 1.7788115E-001, 2.1630583E+001, 2.1217058E+001, 2.0676407E+001, 2.0498920E+001, 2.0387324E+001
 7.5006418E+000, 2.0696139E+000, 3.8656484E+000, 5.8916644E+000, 3.8108302E+000, 2.0995896E+000, 5.6556473E-001, 8.1712399E-001, 1.9829569E+000, 8.2556013E-001, 5.8814642E-001, 1.9751428E-001, 4.3103225E-001, 9.2465921E-001, 5.1259612E-001, 2.8521199E-001, 2.4832731E-001, 3.3537060E-001, 7.3786759E-001, 4.7364336E-001, 3.1946109E-001, 4.5214168E-001, 3.3253278E-001, 2.8465658E-001, 1.9873077E-001, 1.7330836E-001, 2.1723888E+001, 2.1306575E+001, 2.0897976E+001, 2.0601319E+001, 2.0479670E+001
 8.0006426E+000, 2.2142235E+000, 4.0752923E+000, 6.5610955E+000, 4.1765984E+000, 2.1690506E+000, 5.6828911E-001, 1.0305012E+000, 2.1226335E+000, 9.1742086E-001, 5.7730281E-001, 1.9919286E-001, 4.1142148E-001, 8.0464594E-001, 4.4013234E-001, 2.0264737E-001, 2.7329142E-001, 4.6174662E-001, 4.6968864E-001, 3.0125926E-001, 1.9678914E-001, 4.8651274E-001, 3.3534395E-001, 2.8093949E-001, 2.7670791E-001, 2.1113082E-001, 2.1933639E+001, 2.1418744E+001, 2.1011769E+001, 2.0769167E+001, 2.0604607E+001
 8.5002588E+000, 2.5369584E+000, 4.6739372E+000, 6.7279912E+000, 4.8241127E+000, 2.4812420E+000, 6.7180907E-001, 1.1277853E+000, 2.0207101E+000, 9.5101505E-001, 6.9598481E-001, 3.0692583E-001, 6.2001410E-001, 1.2066598E+000, 5.3941933E-001, 2.6089814E-001, 2.8441938E-001, 5.7834337E-001, 9.5820419E-001, 5.3064464E-001, 1.6637448E-001, 6.7039290E-001, 4.0926008E-001, 2.5567973E-001, 2.0625911E-001, 2.0194778E-001, 2.2184693E+001, 2.1539220E+001, 2.1047768E+001, 2.0865784E+001, 2.0745280E+001
 9.0007320E+000, 2.6334875E+000, 4.7506024E+000, 7.7287213E+000, 4.5920846E+000, 2.6760459E+000, 7.9017604E-001, 1.4203720E+000, 2.4838006E+000, 1.5448232E+000, 8.4222749E-001, 2.4754737E-001, 4.3987278E-001, 1.1261862E+000, 7.8758218E-001, 3.8402507E-001, 2.2170725E-001, 3.3972770E-001, 6.3651788E-001, 5.0555928E-001, 2.9830681E-001, 5.7834694E-001, 5.4756919E-001, 3.9367996E-001, 2.8935588E-001, 2.2805740E-001, 2.2606286E+001, 2.1937380E+001, 2.1293543E+001, 2.0979998E+001, 2.0793192E+001
