s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100"
 0.0000000E+000,-3.4014536E-006,-5.1856500E-006,-7.2832725E-006,-6.6391116E-006,-5.1774797E-006,-2.6350543E-006,-4.0729748E-006,-5.7806879E-006,-5.4377536E-006,-4.3876844E-006,-1.9714762E-006,-3.0770345E-006,-4.6758553E-006,-4.4543771E-006,-3.6469516E-006,-1.1242611E-006,-1.7375049E-006,-2.7674880E-006,-2.7851674E-006,-2.3924637E-006
 5.0348784E-001, 1.2998436E-002, 1.6414885E-002, 1.9325825E-002, 1.6460760E-002, 1.2734820E-002, 2.3745762E-003, 3.1328764E-003, 3.7632140E-003, 3.1680112E-003, 2.3828183E-003, 8.7634561E-004, 9.9606044E-004, 9.6304736E-004, 1.0007246E-003, 8.9534231E-004, 4.4708254E-004, 5.2597660E-004, 8.3503784E-004, 5.2458529E-004, 4.4869413E-004
 1.0005207E+000, 1.1238694E-001, 1.4676778E-001, 1.7319632E-001, 1.4645915E-001, 1.0884471E-001, 2.1747029E-002, 2.8809066E-002, 3.3936168E-002, 2.8825138E-002, 2.1516230E-002, 8.0931229E-003, 8.7954814E-003, 9.0159682E-003, 8.7816900E-003, 8.0778191E-003, 4.0771880E-003, 4.5915194E-003, 7.7026632E-003, 4.5592888E-003, 4.0791335E-003
 1.5015506E+000, 1.9245920E-001, 2.6685870E-001, 3.0769057E-001, 2.6634859E-001, 1.8036303E-001, 3.7795039E-002, 5.3693524E-002, 6.2618892E-002, 5.3862860E-002, 3.7273521E-002, 1.3659801E-002, 1.5429565E-002, 1.5049421E-002, 1.5591079E-002, 1.4544490E-002, 7.1644933E-003, 7.7249443E-003, 1.3529202E-002, 7.8304151E-003, 7.2188073E-003
 2.0006156E+000, 3.5089109E-001, 4.5350316E-001, 4.9304485E-001, 5.6898729E-001, 3.2780304E-001, 6.3848916E-002, 8.7731533E-002, 9.9303333E-002, 8.6608509E-002, 6.6293716E-002, 2.0196869E-002, 2.0947178E-002, 2.1845055E-002, 2.2094561E-002, 2.3231580E-002, 9.8705659E-003, 1.1591432E-002, 2.7406887E-002, 1.1760714E-002, 1.0470757E-002
 2.5001327E+000, 6.9871627E-001, 9.1643972E-001, 1.0882673E+000, 8.9443851E-001, 4.4460285E-001, 9.3058559E-002, 1.2797619E-001, 1.4569930E-001, 1.3683881E-001, 8.9093844E-002, 3.6004162E-002, 3.1423473E-002, 4.2521278E-002, 3.1754372E-002, 3.8711972E-002, 1.7404538E-002, 1.4423549E-002, 3.9534233E-002, 1.5856122E-002, 1.5888044E-002
 3.0013333E+000, 7.4954073E-001, 9.8869365E-001, 1.8355747E+000, 1.0544565E+000, 6.8730721E-001, 1.2847768E-001, 1.7856468E-001, 2.2304542E-001, 1.7805463E-001, 1.7165118E-001, 4.9047279E-002, 5.1840679E-002, 5.5279763E-002, 5.1145742E-002, 5.0730885E-002, 2.0852153E-002, 2.3068916E-002, 5.0140462E-002, 2.2860252E-002, 2.1811097E-002
 3.5018207E+000, 9.3247981E-001, 1.0737359E+000, 1.7114039E+000, 1.1090168E+000, 8.6902542E-001, 2.5505971E-001, 5.2983925E-001, 6.6991022E-001, 6.1290196E-001, 3.5916642E-001, 6.3127357E-002, 7.0855356E-002, 8.3589851E-002, 1.4492096E-001, 1.0451241E-001, 1.9719760E-002, 2.9414822E-002, 6.1743858E-002, 2.9634127E-002, 2.1775255E-002
 4.0015223E+000, 1.4201295E+000, 1.9548620E+000, 1.8417605E+000, 1.9246011E+000, 1.3351453E+000, 3.2916282E-001, 4.7583330E-001, 6.7843132E-001, 5.0994642E-001, 3.4238288E-001, 2.0840907E-001, 3.2945231E-001, 4.1559639E-001, 3.5472843E-001, 3.2986252E-001, 2.6630059E-002, 3.9262933E-002, 1.7385095E-001, 8.8635213E-002, 1.0969636E-001
 4.5018134E+000, 1.3619170E+000, 1.7750992E+000, 2.3332381E+000, 1.6475392E+000, 1.2440397E+000, 3.2144480E-001, 4.4450666E-001, 7.1484729E-001, 6.0677767E-001, 4.1002389E-001, 2.4001458E-001, 2.7267196E-001, 2.9005645E-001, 2.4058720E-001, 1.5895075E-001, 7.2787939E-002, 2.0687575E-001, 2.8714842E-001, 2.4609960E-001, 2.4840250E-001
 5.0012170E+000, 1.4282618E+000, 2.0229418E+000, 2.8631905E+000, 1.7387014E+000, 1.5386100E+000, 3.2669124E-001, 6.3555185E-001, 9.6101890E-001, 4.5948115E-001, 4.4313480E-001, 2.0736689E-001, 3.5667556E-001, 2.9968386E-001, 3.7713585E-001, 2.8858556E-001, 1.6047811E-001, 2.4105382E-001, 3.2638427E-001, 2.4871195E-001, 2.1308327E-001
