s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 4.5021457E+000, 6.3565008E-001, 1.0478537E+000, 3.8029244E+000, 1.0460835E+000, 6.1496802E-001, 2.0886701E-001, 2.8990077E-001, 8.6454074E-001, 3.3528360E-001, 2.0742178E-001, 1.1022811E-001, 1.9421456E-001, 3.7100060E-001, 1.8983197E-001, 1.2970615E-001, 4.5783338E-002, 1.4068625E-001, 2.0205506E-001, 1.3160314E-001, 1.1894150E-001, 1.6239704E-001, 1.1744113E-001, 4.0381991E-002, 2.3982921E-003, 9.4293116E-004, 2.0472650E+001, 2.0226462E+001, 2.0067493E+001, 2.0009089E+001, 2.0003563E+001
 5.0020123E+000, 7.2462405E-001, 1.2006512E+000, 3.4519333E+000, 1.2365368E+000, 7.1224269E-001, 2.4893964E-001, 4.1110373E-001, 7.3571070E-001, 3.0610325E-001, 2.2624600E-001, 2.1451542E-001, 3.5480995E-001, 2.6289145E-001, 1.3766854E-001, 1.0057062E-001, 1.0880566E-001, 2.4563723E-001, 2.9582260E-001, 9.9379712E-002, 7.2417314E-002, 1.7512129E-001, 9.6283337E-002, 9.4665971E-002, 6.5955954E-002, 1.3932594E-002, 2.0615651E+001, 2.0349643E+001, 2.0251427E+001, 2.0122167E+001, 2.0020160E+001
 5.5012418E+000, 7.9490393E-001, 1.3384020E+000, 4.5175510E+000, 1.3942062E+000, 7.7802311E-001, 2.5832093E-001, 3.5459698E-001, 1.1422339E+000, 4.5387341E-001, 2.4575887E-001, 2.4239003E-001, 2.2914178E-001, 4.3043193E-001, 2.9246258E-001, 1.9568951E-001, 2.0887401E-001, 1.5739093E-001, 2.1348475E-001, 1.1219172E-001, 8.0861865E-002, 1.6617708E-001, 1.4918240E-001, 1.1079065E-001, 8.2890170E-002, 7.1146144E-002, 2.0764077E+001, 2.0515418E+001, 2.0352214E+001, 2.0238505E+001, 2.0155431E+001
 6.0021646E+000, 9.1882701E-001, 1.5441883E+000, 4.8099578E+000, 1.5451701E+000, 8.9747723E-001, 3.0088190E-001, 4.0385739E-001, 1.0547480E+000, 5.8907003E-001, 2.9627872E-001, 1.5112886E-001, 2.3659712E-001, 6.1239817E-001, 4.3747200E-001, 1.8744684E-001, 1.4517253E-001, 2.3215342E-001, 3.6873298E-001, 2.3809056E-001, 1.6318658E-001, 2.6332573E-001, 1.5235389E-001, 6.7122192E-002, 6.4065411E-002, 7.6214791E-002, 2.1007026E+001, 2.0624708E+001, 2.0384909E+001, 2.0297970E+001, 2.0255708E+001
 6.5011096E+000, 9.8148280E-001, 1.6647537E+000, 5.1094905E+000, 1.9704320E+000, 1.0584603E+000, 3.1861453E-001, 4.2574734E-001, 1.0982308E+000, 4.3718047E-001, 3.2387459E-001, 1.4069352E-001, 2.2704140E-001, 5.1476418E-001, 3.2519290E-001, 3.0551750E-001, 8.3479651E-002, 1.6032741E-001, 3.3031179E-001, 3.5646203E-001, 3.1881304E-001, 2.5728294E-001, 1.7423252E-001, 1.1266114E-001, 5.1996008E-002, 3.2178424E-002, 2.1213473E+001, 2.0786744E+001, 2.0475835E+001, 2.0282726E+001, 2.0215569E+001
 7.0003199E+000, 1.0470818E+000, 1.7685057E+000, 4.5706753E+000, 1.9185902E+000, 1.1202452E+000, 3.5037861E-001, 7.2488805E-001, 1.0768746E+000, 5.1350204E-001, 4.2113764E-001, 1.8903356E-001, 3.2356668E-001, 4.7071501E-001, 4.4693579E-001, 2.0667254E-001, 1.2734039E-001, 2.4821168E-001, 2.7942641E-001, 3.3758220E-001, 1.9273959E-001, 1.7975589E-001, 1.3744935E-001, 1.1992628E-001, 6.6859339E-002, 5.8730691E-002, 2.1193840E+001, 2.0823899E+001, 2.0563875E+001, 2.0337902E+001, 2.0274824E+001
 7.5007032E+000, 1.1376842E+000, 1.9769093E+000, 7.8835271E+000, 2.0254469E+000, 1.1749689E+000, 4.3071960E-001, 5.7350929E-001, 1.4691185E+000, 8.7347146E-001, 4.4092366E-001, 2.2407685E-001, 2.7643739E-001, 5.4064796E-001, 4.8640005E-001, 2.5756564E-001, 1.9523608E-001, 2.1541403E-001, 2.3628663E-001, 3.7340749E-001, 2.3851900E-001, 2.3031193E-001, 1.6926266E-001, 1.2817195E-001, 1.0012449E-001, 7.4650823E-002, 2.1373324E+001, 2.0925553E+001, 2.0655247E+001, 2.0441229E+001, 2.0331485E+001
 8.0024877E+000, 1.3724971E+000, 2.3661134E+000, 5.5364314E+000, 2.1849496E+000, 1.2550113E+000, 6.4774867E-001, 7.7784153E-001, 1.4325740E+000, 5.8229020E-001, 4.3085319E-001, 3.2233352E-001, 4.4329305E-001, 8.7374172E-001, 2.9213300E-001, 1.8957645E-001, 1.2783510E-001, 2.3952312E-001, 4.4449913E-001, 2.5517644E-001, 1.6902755E-001, 2.1498159E-001, 1.5208017E-001, 1.1353298E-001, 9.5989080E-002, 8.0803556E-002, 2.1405578E+001, 2.0965612E+001, 2.0707127E+001, 2.0499525E+001, 2.0402475E+001
 8.5029575E+000, 1.5172847E+000, 2.7160512E+000, 7.7275453E+000, 2.2236332E+000, 1.2748756E+000, 4.9061889E-001, 6.2699601E-001, 1.0117695E+000, 7.7097057E-001, 4.5043554E-001, 2.6035797E-001, 3.1453729E-001, 5.4601274E-001, 3.9335467E-001, 2.6865493E-001, 2.7118849E-001, 3.1155255E-001, 3.7209540E-001, 1.7572272E-001, 9.6015759E-002, 2.9464662E-001, 2.4217212E-001, 2.1651988E-001, 1.3779900E-001, 1.0124989E-001, 2.1681028E+001, 2.1205010E+001, 2.0921796E+001, 2.0617689E+001, 2.0475059E+001
 9.0011606E+000, 1.7107955E+000, 3.3609803E+000, 6.3296916E+000, 2.2557590E+000, 1.3309566E+000, 7.2269586E-001, 1.0900540E+000, 1.5583600E+000, 6.2038658E-001, 4.6571370E-001, 4.4622232E-001, 6.3187961E-001, 7.6884344E-001, 4.2707067E-001, 3.0868817E-001, 2.0583414E-001, 2.4366204E-001, 4.5691749E-001, 3.5532041E-001, 2.7265599E-001, 2.6740793E-001, 1.3712037E-001, 1.1404084E-001, 1.5295976E-001, 1.2479176E-001, 2.1726844E+001, 2.1166137E+001, 2.0949184E+001, 2.0783863E+001, 2.0588238E+001
