s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C
Time,"HF_y-25_z20","HF_y-15_z20","HF_y0_z20","HF_y15_z20","HF_y25_z20","HF_y-25_z50","HF_y-15_z50","HF_y0_z50","HF_y15_z50","HF_y25_z50","HF_y-25_z75","HF_y-15_z75","HF_y0_z75","HF_y15_z75","HF_y25_z75","HF_y-25_z100","HF_y-15_z100","HF_y0_z100","HF_y15_z100","HF_y25_z100","Flux-1","Flux-2","Flux-3","Flux-4","Flux-5","Temp-1","Temp-2","Temp-3","Temp-4","Temp-5"
 0.0000000E+000,-8.5087153E-004,-1.3847773E-003,-2.1069906E-003,-1.6235771E-003,-9.5246376E-004,-9.2117314E-004,-1.7104471E-003,-2.8881960E-003,-2.3958805E-003,-1.4216821E-003,-8.6010325E-004,-1.5689259E-003,-2.6425307E-003,-2.2636947E-003,-1.1382606E-003,-7.5793652E-004,-1.2422856E-003,-2.1557283E-003,-1.8520962E-003,-9.1492175E-004,-2.2113961E-003,-3.4051878E-003,-3.2298453E-003,-2.2576831E-003,-1.1663010E-003, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.0010416E-001, 1.4246923E-002, 1.7849552E-002, 1.9213898E-002, 1.7751267E-002, 1.4336262E-002, 1.6964293E-003, 2.1810608E-003, 2.5442264E-003, 2.1976986E-003, 1.6990245E-003, 4.0696415E-004, 4.8573827E-004, 4.1902555E-004, 4.8235565E-004, 3.8834048E-004, 1.6093048E-004, 1.5106770E-004, 2.3739992E-004, 1.3818458E-004, 1.4056892E-004, 1.3995094E-004, 8.4015302E-005,-3.8828231E-006,-1.2200843E-005,-1.0001990E-005, 1.9999976E+001, 1.9999947E+001, 1.9999939E+001, 1.9999960E+001, 1.9999972E+001
 1.0002083E+000, 1.1513883E-001, 1.5563021E-001, 1.7729144E-001, 1.5263447E-001, 1.1496934E-001, 1.9610339E-002, 2.5957947E-002, 3.0241084E-002, 2.5908129E-002, 1.9578013E-002, 6.2472621E-003, 7.1940799E-003, 6.8245575E-003, 7.0537800E-003, 6.3009603E-003, 2.9793759E-003, 3.2087125E-003, 5.1982592E-003, 3.1041226E-003, 2.9841551E-003, 4.0571112E-003, 2.9803295E-003, 8.9661134E-004, 1.5838787E-004, 6.1174992E-005, 2.0001668E+001, 2.0001216E+001, 2.0000320E+001, 2.0000034E+001, 2.0000002E+001
 1.5003125E+000, 2.0670860E-001, 2.8858201E-001, 3.2598539E-001, 2.7865545E-001, 1.9272031E-001, 3.6873429E-002, 5.3163330E-002, 5.9836755E-002, 5.3941545E-002, 3.7100225E-002, 1.3462900E-002, 1.4704502E-002, 1.4317121E-002, 1.4445341E-002, 1.3033879E-002, 6.9166114E-003, 7.1142318E-003, 1.2452126E-002, 7.0059952E-003, 6.2752103E-003, 1.1188430E-002, 8.0209427E-003, 2.4510222E-003, 3.9493990E-004, 1.0180071E-004, 2.0008953E+001, 2.0006443E+001, 2.0001930E+001, 2.0000277E+001, 2.0000049E+001
 2.0006178E+000, 3.3934059E-001, 4.6069007E-001, 5.0596351E-001, 4.4072929E-001, 3.2093085E-001, 6.6897896E-002, 7.7928661E-002, 8.7562457E-002, 7.9335924E-002, 6.6235548E-002, 2.1855857E-002, 1.9743003E-002, 2.2591841E-002, 2.0649248E-002, 2.1500114E-002, 8.7069954E-003, 1.0185544E-002, 2.4124070E-002, 8.9152997E-003, 9.2161445E-003, 2.2363966E-002, 1.2556107E-002, 3.1393132E-003, 4.8662660E-004, 1.2939717E-004, 2.0021692E+001, 2.0014230E+001, 2.0003927E+001, 2.0000556E+001, 2.0000098E+001
 2.5010281E+000, 6.3691082E-001, 9.1060171E-001, 7.2195679E-001, 9.9913810E-001, 5.3857690E-001, 8.3336488E-002, 1.1322502E-001, 1.2404043E-001, 1.1655324E-001, 8.9192972E-002, 4.1654529E-002, 2.2927232E-002, 5.3845763E-002, 2.6779596E-002, 4.0788487E-002, 1.5106559E-002, 1.5671588E-002, 4.2163316E-002, 1.1267586E-002, 2.0469296E-002, 2.8932516E-002, 1.4696803E-002, 3.5639309E-003, 5.9380795E-004, 1.6473479E-004, 2.0039731E+001, 2.0022424E+001, 2.0005763E+001, 2.0000839E+001, 2.0000155E+001
 3.0010690E+000, 7.0554398E-001, 1.0943711E+000, 1.4587958E+000, 1.1659044E+000, 7.2705363E-001, 1.5325228E-001, 3.5632581E-001, 1.9786930E-001, 2.5849750E-001, 1.6340861E-001, 4.6338167E-002, 3.6902877E-002, 5.7079770E-002, 4.1975255E-002, 4.8100677E-002, 2.8197129E-002, 2.4586201E-002, 5.1286770E-002, 2.1210940E-002, 3.0981439E-002, 4.2376336E-002, 1.9831947E-002, 4.2510670E-003, 7.1885776E-004, 2.0226772E-004, 2.0061404E+001, 2.0032249E+001, 2.0007786E+001, 2.0001161E+001, 2.0000223E+001
 3.5002687E+000, 7.3126586E-001, 1.1948861E+000, 1.9401603E+000, 1.1561116E+000, 7.1208015E-001, 2.9907446E-001, 5.0392256E-001, 5.8209124E-001, 4.5177549E-001, 3.6509510E-001, 5.4925435E-002, 6.3553202E-002, 6.8107922E-002, 5.3607526E-002, 5.5821928E-002, 3.0515326E-002, 2.6658314E-002, 5.0481590E-002, 2.6302590E-002, 3.0573364E-002, 4.9376339E-002, 2.8320035E-002, 6.3334660E-003, 1.0086425E-003, 2.5938108E-004, 2.0088047E+001, 2.0046478E+001, 2.0010634E+001, 2.0001593E+001, 2.0000312E+001
 4.0000101E+000, 1.2015387E+000, 1.3885348E+000, 2.5468442E+000, 1.3626852E+000, 1.1327187E+000, 3.3726277E-001, 5.0605284E-001, 6.5332798E-001, 4.1993904E-001, 3.1480217E-001, 1.8836724E-001, 3.2519102E-001, 2.3827649E-001, 2.6029523E-001, 2.0395156E-001, 4.4289531E-002, 1.0315572E-001, 1.9782118E-001, 5.8155821E-002, 4.0898913E-002, 5.7657776E-002, 3.7132044E-002, 9.4491603E-003, 1.5189898E-003, 3.9061462E-004, 2.0115169E+001, 2.0065544E+001, 2.0015495E+001, 2.0002330E+001, 2.0000464E+001
