s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CARBON DIOXIDE,MLR_PROPANE,MLR_ProductsBurner,MLR_METHANE,MLR_ProductsSample
 0.0000000E+000, 0.0000000E+000,-1.3645735E-003,-5.2282354E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3645736E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0022297E+000, 7.1462160E-001,-1.7132270E-001, 7.2359110E-003,-1.3002931E-001, 9.2945089E-005, 0.0000000E+000, 0.0000000E+000, 4.1781661E-001, 4.2059845E-001, 0.0000000E+000, 1.9855467E-006, 1.6561280E-005, 0.0000000E+000, 1.2433892E-008, 0.0000000E+000
 2.0016954E+000, 2.2320888E+000,-6.3539458E-001, 2.5354209E-002,-2.7685020E-001, 1.0630869E-003, 0.0000000E+000, 0.0000000E+000, 1.3437556E+000, 1.3462613E+000, 0.0000000E+000, 1.9860889E-006, 4.9533341E-005, 0.0000000E+000, 1.2439947E-008, 0.0000000E+000
 3.0008769E+000, 3.6306537E+000,-1.0567406E+000, 3.9862460E-002,-8.4044152E-001, 3.9682754E-003, 0.0000000E+000, 0.0000000E+000, 1.7802032E+000, 1.7773023E+000, 0.0000000E+000, 1.9878107E-006, 8.2442697E-005, 0.0000000E+000, 1.2461034E-008, 0.0000000E+000
 4.0003324E+000, 5.0358365E+000,-1.4819675E+000, 6.0803969E-002,-1.2999752E+000, 9.3731367E-003, 0.0000000E+000, 0.0000000E+000, 2.3288338E+000, 2.3240709E+000, 0.0000000E+000, 1.9920169E-006, 1.1536176E-004, 0.0000000E+000, 1.2528739E-008, 0.0000000E+000
 5.0002117E+000, 6.7179819E+000,-1.9880408E+000, 5.5249331E-002,-1.5643700E+000, 1.8647094E-002, 0.0000000E+000, 0.0000000E+000, 3.2513518E+000, 3.2394675E+000, 0.0000000E+000, 2.0008342E-006, 1.4828345E-004, 0.0000000E+000, 1.2764757E-008, 0.0000000E+000
 6.0004144E+000, 8.1277290E+000,-2.4377323E+000,-8.2844961E-002,-1.9193130E+000, 2.9073880E-002, 0.0000000E+000, 0.0000000E+000, 3.7373773E+000, 3.7169126E+000, 0.0000000E+000, 2.0172020E-006, 1.8123091E-004, 0.0000000E+000, 1.3634820E-008, 0.0000000E+000
 7.0005651E+000, 9.4930042E+000,-2.8855424E+000,-2.4675155E-001,-2.1411708E+000, 4.0493100E-002, 0.0000000E+000, 0.0000000E+000, 4.2855066E+000, 4.2600326E+000, 0.0000000E+000, 2.0468757E-006, 2.1417153E-004, 0.0000000E+000, 1.6849654E-008, 0.0000000E+000
 8.0006428E+000, 1.0973864E+001,-3.3897387E+000,-4.8432389E-001,-2.4220858E+000, 5.2351789E-002, 0.0000000E+000, 0.0000000E+000, 4.7614717E+000, 4.7300677E+000, 0.0000000E+000, 2.1042954E-006, 2.4713392E-004, 0.0000000E+000, 2.8746315E-008, 0.0000000E+000
 9.0007324E+000, 1.2683064E+001,-3.9774398E+000,-1.2638615E+000,-2.7380735E+000, 6.6153382E-002, 0.0000000E+000, 0.0000000E+000, 4.8087373E+000, 4.7698422E+000, 0.0000000E+000, 2.2121331E-006, 2.8007635E-004, 0.0000000E+000, 6.5934594E-008, 0.0000000E+000
 1.0000490E+001, 1.3341701E+001,-4.2332354E+000,-3.0621006E+000,-2.9518067E+000, 7.3580980E-002, 0.0000000E+000, 0.0000000E+000, 3.2180401E+000, 3.1681393E+000, 0.0000000E+000, 2.4300516E-006, 3.1302218E-004, 0.0000000E+000, 1.8495139E-007, 0.0000000E+000
 1.1000008E+001, 1.5734077E+001,-5.0437974E+000,-5.7869157E+000,-3.3460967E+000, 9.0622237E-002, 0.0000000E+000, 0.0000000E+000, 1.7053711E+000, 1.6478890E+000, 0.0000000E+000, 2.8306716E-006, 3.4595012E-004, 0.0000000E+000, 5.2920165E-007, 0.0000000E+000
 1.2000057E+001, 1.6996513E+001,-5.4556084E+000,-4.8812508E+000,-3.5087877E+000, 1.0163344E-001, 0.0000000E+000, 0.0000000E+000, 3.3209121E+000, 3.2524999E+000, 0.0000000E+000, 3.5005582E-006, 3.7889398E-004, 0.0000000E+000, 1.4180429E-006, 0.0000000E+000
 1.3000542E+001, 1.8902162E+001,-6.0901706E+000,-5.0270679E+000,-3.7152228E+000, 1.1645233E-001, 0.0000000E+000, 0.0000000E+000, 4.2652874E+000, 4.1861526E+000, 0.0000000E+000, 4.5801499E-006, 4.1184821E-004, 0.0000000E+000, 3.5299890E-006, 0.0000000E+000
 1.4000513E+001, 1.9619112E+001,-6.3374688E+000,-8.3202081E+000,-3.8664612E+000, 1.2934524E-001, 0.0000000E+000, 0.0000000E+000, 1.3173103E+000, 1.2243196E+000, 0.0000000E+000, 6.3101153E-006, 4.4479969E-004, 0.0000000E+000, 8.3935810E-006, 0.0000000E+000
 1.5000016E+001, 2.2384333E+001,-7.2867025E+000,-6.9945128E+000,-4.2758662E+000, 1.4663582E-001, 0.0000000E+000, 0.0000000E+000, 4.0782984E+000, 3.9738868E+000, 0.0000000E+000, 8.8945392E-006, 4.7773437E-004, 0.0000000E+000, 1.8029276E-005, 0.0000000E+000
 1.6000307E+001, 2.4534281E+001,-7.9622395E+000,-9.6122472E+000,-4.7108830E+000, 1.6109270E-001, 0.0000000E+000, 0.0000000E+000, 2.5122755E+000, 2.4100035E+000, 0.0000000E+000, 1.2632610E-005, 5.1067487E-004, 0.0000000E+000, 3.3577976E-005, 0.0000000E+000
