s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_MMA,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-7.3124606E-003, 2.9184847E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3124577E-003, 1.2690201E-005, 0.0000000E+000, 0.0000000E+000
 2.0173801E-001, 8.6977205E-002,-1.2609720E-002, 1.5068430E-001,-3.8402449E-004,-1.2934282E-005, 0.0000000E+000, 0.0000000E+000, 6.6268452E-002, 2.2465482E-001,-6.3984744E-002, 6.6614710E-006, 0.0000000E+000
 4.0127543E-001, 3.5310726E-001,-4.5678144E-002, 2.5789950E-001,-7.2214101E-003,-2.9810116E-005, 0.0000000E+000, 0.0000000E+000, 2.9630663E-001, 5.5807740E-001,-1.9384817E-001, 1.8731037E-005,-2.3369286E-217
 6.0111821E-001, 6.4199298E-001,-1.6117977E-001,-1.3401098E-001,-2.2008836E-002,-3.9542625E-005, 0.0000000E+000, 0.0000000E+000, 4.5731299E-001, 3.2475385E-001,-3.0837374E-001, 3.0935484E-005,-1.8773955E-160
 8.0032331E-001, 9.3798523E-001,-3.0902750E-001, 9.5838312E-002,-2.4775625E-002,-4.0648191E-005, 0.0000000E+000, 0.0000000E+000, 6.0400463E-001, 6.9997977E-001,-4.0342412E-001, 4.3243791E-005,-2.0073212E-132
 1.0007653E+000, 1.2450045E+000,-4.0723898E-001, 4.7054201E-003,-1.6626714E-002,-3.3641796E-005, 0.0000000E+000, 0.0000000E+000, 8.2320739E-001, 8.2581060E-001,-4.7841115E-001, 5.5543217E-005,-6.8194023E-115
 1.2001888E+000, 1.7331257E+000,-5.4969990E-001, 2.1707334E-002,-2.4727253E-002, 1.9955177E-005, 0.0000000E+000, 0.0000000E+000, 1.1632383E+000, 1.1804258E+000,-5.3492475E-001, 8.4526365E-005,-1.1690220E-101
 1.4000378E+000, 2.7567002E+000,-9.1933758E-001, 3.4008478E-002,-4.3284461E-002, 1.8172395E-004, 0.0000000E+000, 0.0000000E+000, 1.8082527E+000, 1.8282684E+000,-5.7600245E-001, 1.2984088E-004,-1.9011135E-091
 1.6009781E+000, 3.8839695E+000,-1.2944733E+000, 4.6365590E-002,-6.5657765E-002, 4.3736908E-004, 0.0000000E+000, 0.0000000E+000, 2.5505420E+000, 2.5706414E+000,-6.0526398E-001, 1.7525471E-004,-3.9910377E-083
 1.8005503E+000, 5.0073583E+000,-1.6715319E+000, 5.9450067E-002,-9.9011509E-002, 7.8537971E-004, 0.0000000E+000, 0.0000000E+000, 3.2772196E+000, 3.2970504E+000,-6.2565499E-001, 2.2067047E-004,-2.6897158E-076
 2.0001225E+000, 6.1916868E+000,-2.0672544E+000, 7.3845057E-002,-1.6778317E-001, 1.2219934E-003, 0.0000000E+000, 0.0000000E+000, 4.0108439E+000, 4.0317162E+000,-6.3964071E-001, 2.6596847E-004,-2.1777727E-070
 2.2009344E+000, 7.1349459E+000,-2.3941908E+000, 8.4523506E-002,-2.3335406E-001, 1.6880237E-003, 0.0000000E+000, 0.0000000E+000, 4.5734208E+000, 4.5936125E+000,-6.4921966E-001, 3.0460094E-004,-3.6427953E-065
 2.4005067E+000, 7.7564729E+000,-2.6073000E+000, 9.0448684E-002,-3.4168558E-001, 2.1066237E-003, 0.0000000E+000, 0.0000000E+000, 4.8817485E+000, 4.9000426E+000,-6.5571965E-001, 3.3676235E-004,-1.8284846E-051
 2.6000788E+000, 8.5565284E+000,-2.8976332E+000, 9.8665249E-002,-4.6932190E-001, 2.5613238E-003, 0.0000000E+000, 0.0000000E+000, 5.2726643E+000, 5.2907999E+000,-6.6009945E-001, 3.6882308E-004,-1.7858122E-039
 2.8008907E+000, 9.3452161E+000,-3.1830687E+000, 1.0664268E-001,-5.3730067E-001, 3.0285239E-003, 0.0000000E+000, 0.0000000E+000, 5.7127612E+000, 5.7345179E+000,-6.6306123E-001, 4.0090277E-004,-5.0782239E-028
 3.0004630E+000, 1.0229248E+001,-3.4807558E+000, 1.1583046E-001,-6.3235378E-001, 3.4947138E-003, 0.0000000E+000, 0.0000000E+000, 6.2163468E+000, 6.2354638E+000,-6.6505326E-001, 4.3306418E-004,-4.5900595E-021
 3.2000351E+000, 1.0499854E+001,-3.6062855E+000, 1.0269291E-001,-7.2284654E-001, 4.0456720E-003, 0.0000000E+000, 0.0000000E+000, 6.2547704E+000, 6.2774601E+000,-6.6631861E-001, 4.6575055E-004,-1.1254505E-005
 3.4008470E+000, 1.1964321E+001,-4.1260733E+000,-1.4443234E+000,-7.0348276E-001, 4.6975337E-003, 0.0000000E+000, 0.0000000E+000, 5.6779765E+000, 5.6951393E+000,-6.6104580E-001, 4.9919043E-004,-1.0300105E-003
 3.6004193E+000, 1.2315393E+001,-4.2040639E+000,-5.0762577E+000,-6.6363643E-001, 5.2971880E-003, 0.0000000E+000, 0.0000000E+000, 2.3833059E+000, 2.3767318E+000,-6.4723960E-001, 5.3267388E-004,-3.4558824E-003
 3.8012309E+000, 1.2667143E+001,-4.4155489E+000,-8.9515584E+000,-7.6704255E-001, 5.9820958E-003, 0.0000000E+000, 0.0000000E+000,-1.4933674E+000,-1.4610245E+000,-6.3225071E-001, 5.6611325E-004,-6.1029435E-003
 4.0008035E+000, 1.4538235E+001,-4.9762802E+000,-5.8603544E+000,-8.7520049E-001, 6.6649906E-003, 0.0000000E+000, 0.0000000E+000, 2.8074065E+000, 2.8330647E+000,-6.4470844E-001, 5.9955571E-004,-3.9956651E-003
 4.2003756E+000, 1.4301040E+001,-4.9742991E+000,-4.7492548E+000,-9.1211460E-001, 7.3114448E-003, 0.0000000E+000, 0.0000000E+000, 3.6435361E+000, 3.6726829E+000,-6.4933611E-001, 6.2795857E-004,-3.2121181E-003
 4.4003906E+000, 1.6201734E+001,-5.6092346E+000,-4.3670328E+000,-9.6678153E-001, 7.8675254E-003, 0.0000000E+000, 0.0000000E+000, 5.2525134E+000, 5.2665524E+000,-6.5092300E-001, 6.5164058E-004,-2.9269547E-003
 4.6007991E+000, 1.4246463E+001,-4.9509822E+000,-6.6378313E+000,-9.7179906E-001, 8.1098176E-003, 0.0000000E+000, 0.0000000E+000, 1.6810501E+000, 1.6939600E+000,-6.4218188E-001, 6.7527923E-004,-4.3418112E-003
 4.8000937E+000, 1.6990775E+001,-5.8992170E+000,-6.2558585E+000,-9.1924495E-001, 8.7009816E-003, 0.0000000E+000, 0.0000000E+000, 3.8844128E+000, 3.9251558E+000,-6.4356864E-001, 6.9890104E-004,-4.1705541E-003
 5.0005016E+000, 1.7702548E+001,-6.1071787E+000,-7.2384112E+000,-9.3484437E-001, 9.4888941E-003, 0.0000000E+000, 0.0000000E+000, 3.4193662E+000, 3.4316029E+000,-6.3961484E-001, 7.2260070E-004,-4.8904701E-003
 5.2009096E+000, 1.7079443E+001,-5.9622439E+000,-8.1892053E+000,-1.0678538E+000, 1.0088199E-002, 0.0000000E+000, 0.0000000E+000, 1.8574769E+000, 1.8702278E+000,-6.3596563E-001, 7.4222936E-004,-5.4740606E-003
 5.4002042E+000, 1.8152639E+001,-6.3220588E+000,-8.2640737E+000,-1.0758825E+000, 1.0636086E-002, 0.0000000E+000, 0.0000000E+000, 2.4644145E+000, 2.5012602E+000,-6.3563267E-001, 7.5792382E-004,-5.5254822E-003
 5.6006122E+000, 1.9525762E+001,-6.8598970E+000,-7.2406314E+000,-1.0002422E+000, 1.1134901E-002, 0.0000000E+000, 0.0000000E+000, 4.4133660E+000, 4.4361263E+000,-6.3956623E-001, 7.7359979E-004,-4.9018372E-003
 5.8010201E+000, 1.8279308E+001,-6.3704001E+000,-1.0292905E+001,-9.3388949E-001, 1.1485784E-002, 0.0000000E+000, 0.0000000E+000, 6.9083352E-001, 6.9359938E-001,-6.2759433E-001, 7.8928503E-004,-6.8841358E-003
 6.0003152E+000, 1.9091580E+001,-6.6437767E+000,-1.0565472E+001,-1.0054414E+000, 1.1826681E-002, 0.0000000E+000, 0.0000000E+000, 8.5109121E-001, 8.8871599E-001,-6.2652138E-001, 8.0499706E-004,-7.0328391E-003
 6.2007232E+000, 1.8663132E+001,-6.4472827E+000,-9.5022400E+000,-9.9459651E-001, 1.2005045E-002, 0.0000000E+000, 0.0000000E+000, 1.7036893E+000, 1.7310175E+000,-6.3085379E-001, 8.1927932E-004,-6.1982731E-003
 6.4000177E+000, 2.0575770E+001,-7.1102497E+000,-6.0346126E+000,-9.5411666E-001, 1.2208442E-002, 0.0000000E+000, 0.0000000E+000, 6.4540081E+000, 6.4889998E+000,-6.4439287E-001, 8.3220657E-004,-3.9816041E-003
 6.6004257E+000, 1.9095918E+001,-6.6329372E+000,-7.9142877E+000,-9.2828361E-001, 1.2076099E-002, 0.0000000E+000, 0.0000000E+000, 3.6345410E+000, 3.6324855E+000,-6.3708467E-001, 8.4520546E-004,-5.1574372E-003
 6.8008337E+000, 1.9085499E+001,-6.7014662E+000,-1.0027546E+001,-1.0921977E+000, 1.2114024E-002, 0.0000000E+000, 0.0000000E+000, 1.2478500E+000, 1.2764029E+000,-6.2891822E-001, 8.5816851E-004,-6.3969966E-003
 7.0001283E+000, 2.0392238E+001,-7.0961956E+000,-1.1451349E+001,-1.1557558E+000, 1.2519979E-002, 0.0000000E+000, 0.0000000E+000, 6.7256436E-001, 7.0145786E-001,-6.2332260E-001, 8.7112471E-004,-7.2508093E-003
 7.2005363E+000, 2.2501227E+001,-7.7670218E+000,-9.1645645E+000,-1.2299187E+000, 1.3070817E-002, 0.0000000E+000, 0.0000000E+000, 4.3281398E+000, 4.3527933E+000,-6.3212348E-001, 8.8576467E-004,-5.8731353E-003
 7.4009442E+000, 2.1932485E+001,-7.6221301E+000,-1.1069669E+001,-1.2270404E+000, 1.3788284E-002, 0.0000000E+000, 0.0000000E+000, 2.0179977E+000, 2.0274340E+000,-6.2481077E-001, 9.0203127E-004,-6.9456853E-003
