X_O2,ETA,ETA_NORM
0.209,0.856,1
0.190,0.845,0.987
0.180,0.837,0.978
0.179,0.841,0.982
0.170,0.829,0.968
0.161,0.813,0.95
0.152,0.725,0.847
0.142,0.728,0.85
0.132,0.703,0.821
0.127,0.681,0.796
0.116,0.35,0.409
0.112,0.088,0.103
