X_O2,ETA,ETA_NORM
0.209,0.946,1
0.209,0.93,0.983
0.193,0.931,0.984
0.190,0.909,0.961
0.181,0.928,0.981
0.180,0.903,0.955
0.172,0.928,0.981
0.171,0.894,0.945
0.160,0.921,0.974
0.148,0.886,0.937
0.143,0.888,0.939
0.141,0.873,0.923
0.134,0.879,0.929
0.131,0.857,0.906
0.126,0.849,0.897
0.121,0.844,0.892
0.118,0.839,0.887
0.115,0.804,0.85
0.112,0.731,0.773
0.109,0.673,0.711
0.108,0.381,0.403
0.103,0.216,0.228
