X_O2,ETA,ETA_NORM
0.209,0.861,1
0.209,0.865,1.005
0.191,0.842,0.978
0.189,0.863,1.002
0.170,0.859,0.998
0.168,0.817,0.949
0.161,0.816,0.948
0.159,0.856,0.994
0.151,0.81,0.941
0.149,0.85,0.987
0.142,0.805,0.935
0.139,0.83,0.964
0.140,0.848,0.985
0.133,0.784,0.911
0.132,0.827,0.961
0.130,0.843,0.979
0.121,0.836,0.971
0.122,0.815,0.947
0.120,0.776,0.901
0.115,0.809,0.94
0.111,0.829,0.963
0.099,0.779,0.905
0.099,0.755,0.877
0.095,0.566,0.657
0.089,0.516,0.599
0.082,0.125,0.145
