X_O2,ETA,ETA_NORM
0.209,1.018,1
0.209,1.015,0.997
0.191,1,0.982
0.190,1.002,0.984
0.181,0.981,0.964
0.179,0.992,0.974
0.171,0.969,0.952
0.169,0.989,0.972
0.160,0.975,0.958
0.161,0.95,0.933
0.150,0.959,0.942
0.149,0.949,0.932
0.139,0.925,0.909
0.132,0.889,0.873
0.131,0.821,0.806
0.125,0.795,0.781
0.124,0.436,0.428
0.121,0.188,0.185
