z,Tmean,Trms,Wmean,Wrms,Vmean,Vrms,X_CH3OH,X_O2,X_CO2,X_H2O,X_CO,X_H2
0.484899999999999,633.796,189.938937556258,0.02197,0.0895439556865789,-0.0079183,0.119057969073893,0.644592977181224,0.0125571776820629,0.0249942122095363,0.0817668433148394,0.0160824946987833,0.0242803031014038
0.969900000000001,801.152,249.214164926474,0.0463391,0.166576408893937,-0.0143371,0.125892811550144,0.514508725615795,0.0163494351927998,0.0332963906354701,0.109484933452159,0.0232089623125018,0.034700394735141
1.4548,915.962,289.855998730404,0.0907098,0.225559083168912,-0.017897,0.126321415444888,0.442284742835173,0.0172227700143381,0.038425318620406,0.126833717410714,0.0282368862906476,0.0420155937569131
1.9398,1003.96,319.893732354981,0.150321,0.268966354773232,-0.0198785,0.135010369972088,0.395655174984762,0.0170042357544786,0.0421806109053892,0.139724447401243,0.0326968727394833,0.048524482359842
2.4247,1071.96,340.227864820035,0.22027,0.306625830614448,-0.0208292,0.143404672169354,0.359631105777921,0.0172710018483537,0.0450519146558824,0.149100805409481,0.0367105642471976,0.0545083718806739
2.9097,1100.86,338.946898495915,0.289085,0.337724739988056,-0.0189149,0.148031753350421,0.334102626992588,0.0188332894157299,0.0464703181694666,0.151565801573455,0.0390071304762661,0.0601249365720201
3.3946,1122.89,337.758789670972,0.361902,0.369247884218718,-0.0181291,0.151140993777334,0.31197425442791,0.0204866685313004,0.0475555103823117,0.152810089477506,0.0416374216888304,0.0640306578514222
3.8796,1145.29,338.808205331571,0.442641,0.403437727536729,-0.0185009,0.156315386318814,0.292751846594454,0.0215826787315085,0.0485887859361426,0.154032624307853,0.0440693696272683,0.0675449358713815
4.3645,1166.36,339.489322365226,0.528432,0.438695794372365,-0.018479,0.163098436534505,0.276164765167185,0.0224078026667577,0.0495287014350157,0.155075250693654,0.0462879357129647,0.0706817174415784
4.8495,1186.71,340.923745139584,0.618072,0.475660593280545,-0.0189524,0.168567493900811,0.26062722601615,0.0232222800499186,0.0503908588042524,0.156003633881037,0.0484393532532092,0.0736780431935154
5.3344,1205.95,342.027776649792,0.712065,0.512462681568131,-0.0208036,0.172402726196543,0.245841292157946,0.0240051670819443,0.0509598570427481,0.156943687301782,0.050062835380606,0.0763805482845467
5.8194,1220.74,342.794399020754,0.806611,0.546711989991074,-0.0233503,0.176293505268912,0.233985516191219,0.0247395013052388,0.0511779317914547,0.157710231921081,0.0510946943607779,0.078142492665321
6.3043,1233.94,344.367536216758,0.898862,0.580974181870417,-0.0259983,0.179761230525383,0.223504705496707,0.0255114790949897,0.0513713642334503,0.158406435346046,0.052181406692656,0.0795748824818465
6.7893,1246.3,346.877499990991,0.990298,0.617042948262112,-0.0283891,0.18251904010267,0.213806910378753,0.0262776856958081,0.0515653485620289,0.15906825139271,0.0531569392968172,0.0808473362946333
7.2742,1257.89,350.690746955206,1.08275,0.6547488067954,-0.0300606,0.184683513070333,0.205011234153467,0.0269708621771409,0.0517652416534535,0.159713153555265,0.0540170523231061,0.0819445286030097
7.7592,1269.26,355.328017471181,1.17543,0.693022366161439,-0.0307958,0.186508176764452,0.196533581824652,0.0276559678759063,0.0519810520650983,0.160342758700362,0.0548220131636474,0.0829526543815973
8.2441,1276.87,358.689280575821,1.2666,0.72927086874494,-0.0308264,0.18831967502096,0.188979253666054,0.0284891853622812,0.0521259786255324,0.160488835474342,0.0552885048126523,0.0835545197660902
8.7291,1279.46,360.678527223343,1.35439,0.761690225747974,-0.0303074,0.190131270442292,0.183130996269483,0.029421168683141,0.0521647388612197,0.160079059900121,0.0554928525688192,0.0837986384905797
9.214,1281.05,363.5010316354,1.43791,0.793163917484904,-0.029261,0.191811626342096,0.177816989197357,0.0303775575442275,0.0521932407871888,0.159609987939705,0.0558032504438759,0.0841157689769307
9.699,1282.41,367.159365943455,1.51926,0.826370982065561,-0.0279865,0.19351227351256,0.172693140047031,0.0313707391262197,0.0522389974829508,0.15913552278528,0.0560284534821449,0.0843104059889823
