r,Tmean02,Tmean04,Tmean06,Tmean08,Tmean10,Tmean12,Tmean14,Tmean16,Tmean18,Tmean20,Tmean30,Trms02,Trms04,Trms06,Trms08,Trms10,Trms12,Trms14,Trms16,Trms18,Trms20,Trms30,Wmean02,Wmean04,Wmean06,Wmean08,Wmean10,Wmean12,Wmean14,Wmean16,Wmean18,Wmean20,Wmean30,Wrms02,Wrms04,Wrms06,Wrms08,Wrms10,Wrms12,Wrms14,Wrms16,Wrms18,Wrms20,Wrms30,Vmean02,Vmean04,Vmean06,Vmean08,Vmean10,Vmean12,Vmean14,Vmean16,Vmean18,Vmean20,Vmean30,Vrms02,Vrms04,Vrms06,Vrms08,Vrms10,Vrms12,Vrms14,Vrms16,Vrms18,Vrms20,Vrms30
-73.4848,298.152,298.152,298.152,298.152,298.152,298.152,298.152,298.152,298.152,298.152,298.152,0.00821015834195663,0.00820847732530218,0.00827363281757174,0.00832851127152986,0.00837874095553741,0.00841029725990705,0.00837646106658414,0.00836005382757791,0.00834419558735292,0.00826927445426744,0.00789542272459176,0.000673929,0.000678336,0.00067503,0.00066751,0.00065634,0.000641309,0.000623061,0.000601621,0.000578683,0.000552879,0.000405046,0.00257242686970884,0.0025023708757896,0.00244530570685957,0.00241341459347539,0.00241301263983428,0.00244569621989322,0.00251593918845428,0.00262506380874827,0.00277171787886141,0.00294141462565209,0.00395748657609852,0.000126068,0.000138623,0.000140497,0.00014294,0.000145174,0.000146843,0.000148577,0.000150132,0.000151661,0.000153156,0.00016114,0.00249552198948436,0.00248314921017646,0.00246865550452063,0.00245454883838151,0.00244071915631438,0.00242687247295774,0.00241290281611175,0.00239875175872786,0.00238413716048385,0.00236894913410989,0.00228477132334945
-71.9697,298.154,298.155,298.155,298.155,298.155,298.155,298.155,298.155,298.155,298.155,298.153,0.0113885468783335,0.0113675854956099,0.0114599301917595,0.011536333906402,0.0116100818257237,0.0116562000669172,0.0116154207844572,0.0115819255739277,0.0115739794366501,0.0114693504611203,0.0109656281169845,0.00133471,0.00133923,0.0013308,0.00131328,0.00128813,0.00125488,0.00121503,0.00116921,0.00111942,0.00106537,0.000759205,0.00338784592329698,0.00332054212441282,0.00327081029715879,0.00325143045443079,0.00326943420181535,0.00332708581193813,0.00342931480036464,0.00357611521067205,0.00376378798552735,0.00398045223561344,0.005264437291867,4.71828e-05,6.56578e-05,6.60708e-05,6.68876e-05,6.76664e-05,6.74736e-05,6.73299e-05,6.71448e-05,6.6971e-05,6.67802e-05,6.96325e-05,0.00250724350632323,0.00249510921604646,0.00248100584441069,0.00246731432938732,0.00245393357693317,0.00244059623862695,0.0024272020929457,0.00241367354876338,0.00239980415867629,0.00238555444289163,0.00230890883319372
-70.4545,298.157,298.157,298.157,298.157,298.158,298.158,298.158,298.158,298.157,298.157,298.155,0.0138560816972187,0.0138225902058912,0.0139358171629797,0.0140288631043289,0.0141203399392508,0.014177517413144,0.0141304989296203,0.0140851340071722,0.0140814771952377,0.0139538883469806,0.0133473967499284,0.00199549,0.00200012,0.00198658,0.00195906,0.00191991,0.00186846,0.001807,0.00173679,0.00166016,0.00157787,0.00111336,0.00404196734276763,0.00397367588008886,0.00392643604302935,0.00391396218683829,0.00394407150036609,0.00401965172620714,0.00414613072635198,0.00432276531863575,0.00454419409796721,0.00479958331524727,0.00630610022121438,-3.17019e-05,-7.30699e-06,-8.35569e-06,-9.16451e-06,-9.84123e-06,-1.18953e-05,-1.39177e-05,-1.58425e-05,-1.7719e-05,-1.95958e-05,-2.18747e-05,0.00251890849377265,0.00250701416031103,0.00249329701399573,0.00248001411286307,0.00246707721808621,0.00245424326422627,0.00244141762097352,0.0024285036545165,0.00241536953694461,0.00240204496211041,0.00233279874828499
-68.9394,298.159,298.159,298.16,298.16,298.16,298.16,298.16,298.16,298.16,298.16,298.157,0.0159419572198648,0.015905470756944,0.0160332467080127,0.0161397645583819,0.0162412745805248,0.0163100582463706,0.0162587514895825,0.0162027775396689,0.0161971293752936,0.0160501401863037,0.0153646021751297,0.00265624,0.00266206,0.00264355,0.00260597,0.00255293,0.00248331,0.00240026,0.00230567,0.0022021,0.00209149,0.00146979,0.00460501900104658,0.00453463339201749,0.00448832931055643,0.00448075886429966,0.00452042033443794,0.00461077000076994,0.00475768851439436,0.0049598387070549,0.00521064295456904,0.00549969090040522,0.00719973610627501,-6.00585e-05,-2.90924e-05,-3.03439e-05,-3.17698e-05,-3.27796e-05,-3.5567e-05,-3.83717e-05,-4.09634e-05,-4.35135e-05,-4.6246e-05,-5.08446e-05,0.00255130554814589,0.00253958264287658,0.00252616507774136,0.0025131931879583,0.0025005579377411,0.00248804943680788,0.00247558881884694,0.0024630570435944,0.00245039588638244,0.00243770383763081,0.00237489789254191
-67.4242,298.162,298.162,298.163,298.163,298.163,298.163,298.164,298.163,298.163,298.163,298.159,0.0191494125236259,0.0191528587944463,0.0192835681345544,0.0194167968522102,0.0195403428833785,0.0196340775184372,0.0195990816111368,0.0195256241897666,0.0195245742591228,0.0193330804581163,0.0184232733247922,0.00351926,0.00352605,0.00350618,0.00346132,0.003396,0.00331001,0.00320657,0.00308788,0.00295689,0.00281708,0.00205044,0.00551176015443343,0.00544068929456553,0.00539869428658449,0.00540318424634955,0.00546374413749399,0.00558458592914461,0.00577047658343745,0.00601936873766677,0.00632337726219146,0.00667186630561494,0.00870776664822846,-6.25837e-05,-2.76756e-05,-2.71567e-05,-2.97479e-05,-3.14163e-05,-3.47005e-05,-3.83663e-05,-4.19421e-05,-4.55696e-05,-4.97274e-05,-6.2867e-05,0.00258667933845693,0.00257594642801437,0.00256340788794917,0.00255129770901006,0.0025394979818854,0.00252787262337326,0.00251635450602653,0.0025048313316469,0.00249331105159384,0.00248193472919817,0.00243296732407157
-65.9091,298.165,298.166,298.166,298.166,298.167,298.167,298.167,298.167,298.167,298.167,298.163,0.0229555657739033,0.0230103020406078,0.0231427094351547,0.0233098691545019,0.0234666785037849,0.0235890228708185,0.0235776801233709,0.0234848035972201,0.0234964252600263,0.0232483977942567,0.0220346999071918,0.00456935,0.00457876,0.00456074,0.0045113,0.00443507,0.00433433,0.00421159,0.00406911,0.00391037,0.00374066,0.0028389,0.00660254496387567,0.00653022204829208,0.00649281140955134,0.0065115973462738,0.00659762078328241,0.00675589372326119,0.00698950642034185,0.00729575904207369,0.00766540931718587,0.00808700191665613,0.0105363655973016,-0.000114856,-7.95226e-05,-7.72222e-05,-8.29753e-05,-8.72564e-05,-9.247e-05,-9.86801e-05,-0.000105113,-0.000111709,-0.000119047,-0.000150713,0.00259536509955729,0.00258613418058692,0.00257514465613099,0.0025645486932402,0.00255427876317367,0.00254429951067086,0.0025345492695941,0.00252494158348268,0.00251553771587706,0.0025065115200214,0.0024792458530771
-64.3939,298.169,298.169,298.17,298.17,298.171,298.171,298.171,298.171,298.171,298.17,298.166,0.0262148049773406,0.0263080786071503,0.0264445268439426,0.026639969969953,0.0268243359656861,0.0269700945493337,0.0269757298325736,0.0268667638542494,0.0268878225224729,0.026593363833859,0.0251324093552528,0.00561943,0.00563148,0.0056153,0.00556127,0.00547415,0.00535864,0.00521662,0.00505033,0.00486385,0.00466425,0.00362737,0.00753708829721398,0.00746233207516256,0.00742746928637204,0.00745703694506069,0.00756337887455071,0.00775219968783055,0.00802545948840314,0.00837994033391646,0.0088052143642276,0.00928898810420166,0.01209152595829,-0.000167129,-0.00013137,-0.000127288,-0.000136203,-0.000143096,-0.00015024,-0.000158994,-0.000168285,-0.000177848,-0.000188366,-0.00023856,0.00260402380941496,0.00259628003112145,0.00258682817365205,0.00257772962119769,0.00256897450357142,0.00256062101842502,0.00255261238733968,0.00254489096033602,0.00253756970347614,0.00253084768407741,0.00252467819731545
-62.8788,298.172,298.172,298.174,298.174,298.175,298.175,298.175,298.175,298.175,298.174,298.169,0.0291051026454125,0.0292334910676094,0.0293749723404125,0.0295948644193549,0.029805150561606,0.0299662143087845,0.0299872806369634,0.0298680263827391,0.0298899648711737,0.0295559638651829,0.0278847807952654,0.00666848,0.00668268,0.00666919,0.00661101,0.00651315,0.00638302,0.00622187,0.00603197,0.00581796,0.00558867,0.0044161,0.00836814196820298,0.00829085640932226,0.0082577720966372,0.00829638475481942,0.0084202612786065,0.00863566442145594,0.00894369051342901,0.00934070661138653,0.00981518721166336,0.0103540330306601,0.013471005901565,-0.000171243,-0.000134612,-0.000126818,-0.000137038,-0.000144909,-0.000152494,-0.000162429,-0.000173355,-0.000184704,-0.000197126,-0.000261848,0.00263872696579241,0.00263258428165178,0.0026247457019681,0.00261717404847289,0.0026098946338885,0.00260304437150042,0.00259658044358344,0.00259047872023686,0.00258489264767417,0.00258006782856575,0.00259170407261323
-61.3636,298.176,298.176,298.177,298.178,298.179,298.179,298.179,298.179,298.179,298.179,298.173,0.032586500272352,0.0327346910784263,0.0329284071889304,0.0331817721045757,0.0334601255227771,0.033643127084146,0.0336815973492945,0.0335941959272729,0.0335428084691786,0.0331891548551632,0.0311947431468829,0.00783264,0.00784529,0.00782947,0.00776468,0.0076537,0.00750565,0.00732278,0.00710811,0.00686636,0.00660617,0.00526662,0.00938704426323856,0.00931641025288174,0.0092979352546681,0.00936083329624024,0.00952052519559714,0.00978382849399968,0.0101505664866548,0.0106158372255795,0.0111657064263754,0.0117852874381578,0.0153280788098183,-0.000152444,-0.000121272,-0.000108455,-0.000117192,-0.00012646,-0.00013503,-0.00014579,-0.000158173,-0.000170874,-0.000184023,-0.000259213,0.00267996828339441,0.00267660232384267,0.00267145465991845,0.00266656520640317,0.00266194102113477,0.00265775469146421,0.00265409118155349,0.00265099415314331,0.00264856564955449,0.00264719474160856,0.00268417957670496
-59.8485,298.179,298.18,298.182,298.182,298.183,298.184,298.184,298.184,298.184,298.184,298.178,0.0363421243187572,0.0364972601711416,0.0367675128340224,0.0370588720821344,0.037422987587845,0.0376378798552735,0.0376911130108942,0.0376514275957765,0.0374990666550516,0.0371354278284228,0.0347619044357469,0.00909042,0.00909896,0.00907534,0.00900128,0.00887505,0.00870617,0.00849927,0.00825861,0.00798855,0.00769611,0.00616577,0.0104911867774814,0.0104312990562058,0.0104330724142028,0.0105270128716555,0.0107305172289131,0.0110511537859176,0.0114873408585277,0.0120323729995375,0.0126695698427374,0.0133817039273779,0.0174004884988899,-0.000197489,-0.000177836,-0.000162255,-0.000170467,-0.000184262,-0.000196787,-0.000210424,-0.000226208,-0.000241938,-0.00025706,-0.000346329,0.00268314367859792,0.00268294427821377,0.00268121241232395,0.00267987126556482,0.002678884096037,0.00267844917816262,0.00267885983209275,0.00268023879533149,0.00268258084687116,0.00268644746831201,0.0027586645319792
-58.3333,298.183,298.184,298.186,298.186,298.187,298.188,298.189,298.189,298.189,298.188,298.183,0.0397445593760957,0.0399066410513338,0.0402418935936171,0.0405669816476405,0.0410045119468578,0.0412476666006697,0.0413131940183763,0.0413119837335367,0.0410760270717605,0.040700982789117,0.0379956576466311,0.0103482,0.0103526,0.0103212,0.0102379,0.0100964,0.00990668,0.00967575,0.0094091,0.00911074,0.00878606,0.00706493,0.0114897345487178,0.011438006819372,0.0114563083059073,0.0115762688289448,0.0118172754897227,0.0121873705121326,0.0126839662566565,0.0132989097297485,0.0140129582886698,0.0148070253596055,0.0192510778919,-0.000242534,-0.0002344,-0.000216055,-0.000223742,-0.000242064,-0.000258545,-0.000275058,-0.000294243,-0.000313002,-0.000330097,-0.000433446,0.00268631345899915,0.0026892731359979,0.00269093478181839,0.00269310972669143,0.00269572253765108,0.00269898314185176,0.00270340156099681,0.00270916961447599,0.00271617009776634,0.00272513485904826,0.00283118879624796
