Time,HRR,HF_z20,HF_z50,HF_z75,HF_z100,u_exp_HRR,u_exp_HF_z20,u_exp_HF_z50,u_exp_HF_z75,u_exp_HF_z100
[s],[kW],[kW m-2],[kW m-2],[kW m-2],[kW m-2],[kW],[kW m-2],[kW m-2],[kW m-2],[kW m-2]
20,30,25.3,10.6,6.3,3.6,3,1.9,0.9,0.7,0.4
40,50,40.5,17.2,9.7,5.6,5,2.5,1.2,0.8,0.4
60,59,49.9,23.2,12.6,6.9,5.9,2.8,1.3,0.9,0.4
80,62,56.7,27.3,15.2,8.1,6.2,2.6,1.2,0.8,0.4
