s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7775068E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.7775068E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0086355E-001, 2.6254799E+000, 0.0000000E+000,-8.5274050E-001, 2.9877764E-002,-2.7685549E-002, 3.5087627E-004, 0.0000000E+000, 0.0000000E+000, 1.7236455E+000, 1.7752825E+000, 1.6784087E-002, 7.6918574E-005,-1.8519094E-092,-5.4957535E-081
 1.0007266E+000, 7.0053897E+000, 0.0000000E+000,-2.3809576E+000, 8.9797548E-002, 6.9908313E-003, 1.7541576E-003, 0.0000000E+000, 0.0000000E+000, 4.7230538E+000, 4.7229746E+000, 4.4279708E-002, 1.9852260E-004,-2.9347862E-077,-2.0241450E-069
 1.5008411E+000, 1.1392964E+001, 0.0000000E+000,-3.8440409E+000,-3.1139015E+000,-6.8238538E-002, 3.1042888E-003, 0.0000000E+000, 0.0000000E+000, 4.4035881E+000, 4.3698875E+000, 5.9519376E-002, 2.6662989E-004,-1.1113422E-070,-8.3475815E-064
 2.0007327E+000, 1.2914155E+001, 0.0000000E+000,-4.3797743E+000,-5.3587720E+000,-1.8668745E-001, 3.5387819E-003, 0.0000000E+000, 0.0000000E+000, 3.0409530E+000, 2.9924599E+000, 6.6277555E-002, 2.9683940E-004,-3.6649783E-067,-1.0208006E-060
 2.5002401E+000, 1.3772013E+001, 0.0000000E+000,-4.6613390E+000,-6.4993599E+000,-2.3971121E-001, 3.7910218E-003, 0.0000000E+000, 0.0000000E+000, 2.4158298E+000, 2.3753943E+000, 6.8957007E-002, 3.0881805E-004,-2.6437304E-065,-4.4958960E-059
 3.0006769E+000, 1.4607022E+001, 0.0000000E+000,-4.9409496E+000,-7.0014316E+000,-2.4512050E-001, 3.8333738E-003, 0.0000000E+000, 0.0000000E+000, 2.4823599E+000, 2.4233535E+000, 6.9972284E-002, 3.1335620E-004,-1.0343989E-063,-5.0027449E-058
 3.5007176E+000, 1.4044341E+001, 0.0000000E+000,-4.7718826E+000,-6.8908103E+000,-2.5568949E-001, 4.0137143E-003, 0.0000000E+000, 0.0000000E+000, 2.1876398E+000, 2.1299729E+000, 7.0350019E-002, 3.1504495E-004,-4.0305075E-060,-3.3104082E-055
 4.0002022E+000, 1.4255352E+001, 0.0000000E+000,-4.8327132E+000,-8.0830997E+000,-2.9285496E-001, 3.9475735E-003, 0.0000000E+000, 0.0000000E+000, 1.0861071E+000, 1.0506321E+000, 7.0489376E-002, 3.1566802E-004,-5.2410374E-057,-9.4372723E-053
 4.5006185E+000, 1.4320775E+001, 0.0000000E+000,-4.8469607E+000,-6.8409400E+000,-2.9429760E-001, 3.8340245E-003, 0.0000000E+000, 0.0000000E+000, 2.4074177E+000, 2.3424104E+000, 7.0540747E-002, 3.1589765E-004,-2.5495479E-054,-1.3070947E-050
 5.0004778E+000, 1.4383310E+001, 0.0000000E+000,-4.8805287E+000,-7.4814947E+000,-3.3147333E-001, 3.9759558E-003, 0.0000000E+000, 0.0000000E+000, 1.7184792E+000, 1.6937897E+000, 7.0559667E-002, 3.1598223E-004,-4.0108606E-052,-6.4896686E-049
 5.5003572E+000, 1.4558837E+001, 0.0000000E+000,-4.9290085E+000,-7.4136132E+000,-3.4124921E-001, 3.9857471E-003, 0.0000000E+000, 0.0000000E+000, 1.9241286E+000, 1.8789521E+000, 7.0566624E-002, 3.1601333E-004,-2.6465280E-050,-1.6643448E-047
 6.0000553E+000, 1.4701153E+001, 0.0000000E+000,-4.9855839E+000,-7.5138834E+000,-3.7225077E-001, 3.9443623E-003, 0.0000000E+000, 0.0000000E+000, 1.8583953E+000, 1.8333797E+000, 7.0569183E-002, 3.1602477E-004,-9.5079508E-049,-2.8931918E-046
