Time,Chi_r
0.500, 0.213
1.000, 0.220
1.500, 0.219
2.000, 0.220
2.500, 0.220
3.000, 0.220
3.500, 0.219
4.000, 0.220
4.500, 0.219
5.000, 0.220
5.500, 0.219
6.000, 0.220
6.500, 0.220
7.000, 0.220
7.500, 0.219
8.000, 0.220
8.500, 0.220
9.000, 0.219
9.500, 0.220
10.000, 0.219
10.500, 0.220
11.000, 0.220
11.500, 0.219
12.000, 0.219
12.500, 0.220
13.000, 0.220
13.500, 0.220
14.000, 0.220
14.500, 0.219
15.000, 0.220
15.500, 0.219
16.000, 0.220
16.500, 0.219
17.000, 0.219
17.500, 0.220
18.000, 0.220
18.500, 0.219
19.000, 0.220
19.500, 0.220
20.000, 0.220
20.500, 0.220
21.000, 0.219
21.500, 0.220
22.000, 0.219
22.500, 0.219
23.000, 0.219
23.500, 0.219
24.000, 0.220
24.500, 0.220
25.000, 0.220
25.500, 0.219
26.000, 0.219
26.500, 0.220
27.000, 0.219
27.500, 0.220
28.000, 0.219
28.500, 0.220
29.000, 0.219
29.500, 0.220
30.000, 0.219
30.500, 0.219
31.000, 0.220
31.500, 0.219
32.000, 0.220
32.500, 0.220
33.000, 0.219
33.500, 0.220
34.000, 0.220
34.500, 0.219
35.000, 0.220
35.500, 0.220
36.000, 0.220
36.500, 0.220
37.000, 0.220
37.500, 0.220
38.000, 0.220
38.500, 0.219
39.000, 0.219
39.500, 0.220
40.000, 0.220
