s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1267552E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1267552E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0056815E-001, 2.1941385E+000, 0.0000000E+000,-7.3230278E-001, 2.8405807E-002,-1.1662987E-001, 2.3126000E-004, 0.0000000E+000, 0.0000000E+000, 1.3704994E+000, 1.3738429E+000, 1.6849080E-002, 7.6544974E-005,-6.2338744E-100,-7.0544479E-088
 1.0003628E+000, 5.8322824E+000, 0.0000000E+000,-1.9738133E+000, 7.1102930E-002,-5.6637344E-002, 8.9553495E-004, 0.0000000E+000, 0.0000000E+000, 3.8127596E+000, 3.8738302E+000, 4.4277421E-002, 1.9840953E-004,-9.6762632E-085,-3.2135376E-076
 1.5003259E+000, 9.6981872E+000, 0.0000000E+000,-3.2921756E+000,-1.6628344E+000,-5.4444202E-002, 1.4504309E-003, 0.0000000E+000, 0.0000000E+000, 4.6510569E+000, 4.6901835E+000, 5.9515452E-002, 2.6656970E-004,-1.3717427E-077,-3.8942702E-070
 2.0004163E+000, 1.2072678E+001, 0.0000000E+000,-4.0932750E+000,-5.6500580E+000,-1.5237116E-001, 1.6732330E-003, 0.0000000E+000, 0.0000000E+000, 2.1580150E+000, 2.1786472E+000, 6.6275642E-002, 2.9681592E-004,-1.2538914E-073,-1.0392103E-066
 2.5002723E+000, 1.3885072E+001, 0.0000000E+000,-4.7070592E+000,-6.1165981E+000,-2.1105973E-001, 1.7831104E-003, 0.0000000E+000, 0.0000000E+000, 2.7754479E+000, 2.8521385E+000, 6.8957195E-002, 3.0881236E-004,-1.7113674E-071,-7.0071639E-065
 3.0002427E+000, 1.3718620E+001, 0.0000000E+000,-4.6584053E+000,-7.6512794E+000,-2.8304143E-001, 1.8377111E-003, 0.0000000E+000, 0.0000000E+000, 1.1689502E+000, 1.1277321E+000, 6.9972306E-002, 3.1335437E-004,-4.9690771E-068,-1.5365790E-062
 3.5000570E+000, 1.4787758E+001, 0.0000000E+000,-5.0088417E+000,-7.1425937E+000,-2.8357596E-001, 1.8564497E-003, 0.0000000E+000, 0.0000000E+000, 2.3367152E+000, 2.3546034E+000, 7.0349870E-002, 3.1504353E-004,-8.7466651E-064,-8.0552080E-059
 4.0003548E+000, 1.3841108E+001, 0.0000000E+000,-4.7068316E+000,-6.7203500E+000,-3.0611221E-001, 1.8796928E-003, 0.0000000E+000, 0.0000000E+000, 2.0994285E+000, 2.1096935E+000, 7.0489359E-002, 3.1566763E-004,-3.6359011E-060,-1.1003968E-055
