Time,Chi_r
0.500, 0.279
1.001, 0.299
1.501, 0.298
2.001, 0.299
2.500, 0.298
3.000, 0.300
3.500, 0.300
4.000, 0.299
4.500, 0.299
5.001, 0.300
5.501, 0.300
6.000, 0.299
6.501, 0.299
7.001, 0.299
7.500, 0.300
8.000, 0.298
8.501, 0.299
9.000, 0.299
9.501, 0.300
10.000, 0.299
10.501, 0.299
11.001, 0.299
11.501, 0.299
12.000, 0.299
12.501, 0.299
13.001, 0.299
13.501, 0.300
14.000, 0.298
14.500, 0.300
15.000, 0.299
15.500, 0.299
16.001, 0.300
16.500, 0.298
17.001, 0.300
17.500, 0.299
18.000, 0.299
18.501, 0.299
19.000, 0.300
19.500, 0.298
20.001, 0.300
20.501, 0.299
21.000, 0.300
21.501, 0.300
22.000, 0.298
22.500, 0.300
23.001, 0.299
23.500, 0.299
24.001, 0.299
24.500, 0.299
25.001, 0.299
25.500, 0.299
26.001, 0.299
26.501, 0.299
27.000, 0.299
27.501, 0.299
28.000, 0.299
28.501, 0.300
29.000, 0.299
29.501, 0.299
30.001, 0.299
30.500, 0.299
31.001, 0.299
31.501, 0.299
32.001, 0.299
32.500, 0.299
33.001, 0.299
33.501, 0.299
34.000, 0.298
34.501, 0.300
35.000, 0.299
35.500, 0.300
36.001, 0.299
36.500, 0.299
37.000, 0.299
37.501, 0.299
38.000, 0.300
38.501, 0.299
39.000, 0.299
39.501, 0.299
40.000, 0.299
