s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8008137E-003, 3.8290979E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8008133E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0015960E+000, 3.5493457E+000, 0.0000000E+000,-6.0410463E-001, 4.9419011E-002,-2.5894859E-003, 1.9971020E-004, 0.0000000E+000,-1.6891000E-002, 2.8849453E+000, 2.9753793E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4660536E-005, 9.6335100E-006
 2.0014529E+000, 7.9101269E+000, 0.0000000E+000,-1.7921076E+000,-4.0058645E+000,-5.5005004E-003, 1.5574392E-003, 0.0000000E+000,-3.8769456E-002, 2.0657113E+000, 2.0694422E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7204049E-004, 1.9576462E-005
 3.0009282E+000, 8.9824006E+000, 0.0000000E+000,-2.1643247E+000,-6.6195810E+000,-4.1595708E-003, 2.6628322E-003, 0.0000000E+000,-4.1541781E-002, 1.4701238E-001, 1.5545639E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8990677E-004, 2.1609463E-005
 4.0008812E+000, 9.1532332E+000, 0.0000000E+000,-2.2251902E+000,-6.6084550E+000,-2.8786888E-003, 3.4842135E-003, 0.0000000E+000,-4.1986104E-002, 2.6214055E-001, 2.7820736E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9250472E-004, 2.1905083E-005
 5.0006433E+000, 9.1731077E+000, 0.0000000E+000,-2.2393230E+000,-6.6545571E+000,-3.9644803E-003, 4.1813978E-003, 0.0000000E+000,-4.2158161E-002, 2.2348975E-001, 2.3728643E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0383691E-007, 1.9286017E-004, 2.1945531E-005
 6.0022955E+000, 9.1720366E+000, 0.0000000E+000,-2.2099385E+000,-6.9598171E+000,-3.7804289E-003, 4.7836156E-003, 0.0000000E+000,-4.2196564E-002,-5.0582543E-002,-3.8912336E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3419027E-003, 1.9290836E-004, 2.1951014E-005
 7.0007219E+000, 9.1764041E+000, 0.0000000E+000,-2.2064620E+000,-6.9694022E+000,-2.3226778E-003, 5.3605807E-003, 0.0000000E+000,-4.1949752E-002,-7.2347206E-002,-3.8371889E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2983400E-002, 1.9291488E-004, 2.1951756E-005
 8.0003624E+000, 9.1623785E+000, 0.0000000E+000,-2.1732989E+000,-6.8608130E+000,-4.4756586E-003, 5.8161361E-003, 0.0000000E+000,-4.1536298E-002, 7.8248235E-002, 8.8070736E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1614750E-002, 1.9291576E-004, 2.1951856E-005
