s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8008137E-003, 3.8290979E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8008133E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0013955E+000, 3.5837548E+000, 0.0000000E+000,-5.3932194E-001, 5.0913343E-002,-3.4436818E-003, 1.7972016E-004, 0.0000000E+000,-1.6540064E-002, 2.9829302E+000, 3.0755422E+000, 3.2112000E-001, 0.0000000E+000, 7.8295995E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.6313286E-006
 2.0016596E+000, 7.9276597E+000, 0.0000000E+000,-1.6656852E+000,-4.1553408E+000,-4.0473474E-003, 1.5774552E-003, 0.0000000E+000,-4.0033686E-002, 2.0645351E+000, 2.0641301E+000, 3.2112000E-001, 0.0000000E+000, 1.5914087E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9576200E-005
 3.0001309E+000, 8.9784947E+000, 0.0000000E+000,-2.0263521E+000,-6.7955410E+000,-7.7274818E-003, 2.6771963E-003, 0.0000000E+000,-4.2308957E-002, 1.0573662E-001, 1.0924237E-001, 3.2112000E-001, 0.0000000E+000, 1.7566909E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1609365E-005
 4.0011435E+000, 9.1475771E+000, 0.0000000E+000,-2.1054054E+000,-6.9280295E+000,-5.1632395E-003, 3.5117609E-003, 0.0000000E+000,-4.2956946E-002, 4.9973146E-002, 6.9533775E-002, 3.2112000E-001, 0.0000000E+000, 1.7807274E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1905043E-005
 5.0007968E+000, 9.1607074E+000, 0.0000000E+000,-2.0912228E+000,-6.6421875E+000,-2.7465477E-003, 4.2201613E-003, 0.0000000E+000,-4.3092077E-002, 3.5996327E-001, 3.8567872E-001, 3.2112000E-001, 0.0000000E+000, 1.7840191E-004, 0.0000000E+000, 0.0000000E+000, 1.8334992E-007, 0.0000000E+000, 2.1945534E-005
 6.0003915E+000, 9.1701838E+000, 0.0000000E+000,-2.0808304E+000,-7.1019928E+000,-4.6716826E-003, 4.8460872E-003, 0.0000000E+000,-4.3238728E-002,-8.7740501E-002,-5.5703842E-002, 3.2112000E-001, 0.0000000E+000, 1.7844645E-004, 0.0000000E+000, 0.0000000E+000, 4.3354383E-003, 0.0000000E+000, 2.1951013E-005
 7.0001941E+000, 9.1529395E+000, 0.0000000E+000,-2.0673499E+000,-7.0320927E+000,-3.4884573E-003, 5.4421029E-003, 0.0000000E+000,-4.2966218E-002,-3.2620323E-003, 1.2484328E-002, 3.2112000E-001, 0.0000000E+000, 1.7845248E-004, 0.0000000E+000, 0.0000000E+000, 1.2972543E-002, 0.0000000E+000, 2.1951755E-005
 8.0000048E+000, 9.1643054E+000, 0.0000000E+000,-2.0958119E+000,-6.9077715E+000,-3.7993987E-003, 5.9197169E-003, 0.0000000E+000,-4.2699816E-002, 1.0063383E-001, 1.2014258E-001, 3.2112000E-001, 0.0000000E+000, 1.7845330E-004, 0.0000000E+000, 0.0000000E+000, 2.1610225E-002, 0.0000000E+000, 2.1951856E-005
 9.0023117E+000, 9.1434440E+000, 0.0000000E+000,-2.0508647E+000,-7.0411889E+000,-5.2785636E-003, 6.2846766E-003, 0.0000000E+000,-4.1717910E-002,-1.1888603E-003, 1.0678655E-002, 3.2112000E-001, 0.0000000E+000, 1.7845341E-004, 0.0000000E+000, 0.0000000E+000, 3.0260322E-002, 0.0000000E+000, 2.1951869E-005
 1.0001081E+001, 9.1466851E+000, 0.0000000E+000,-2.0134670E+000,-7.3224526E+000,-3.8598471E-003, 6.5929618E-003, 0.0000000E+000,-4.0698929E-002,-2.4264543E-001,-2.2720025E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.8904226E-002, 0.0000000E+000, 2.1951871E-005
 1.1000442E+001, 9.1533591E+000, 0.0000000E+000,-1.9677410E+000,-7.1181136E+000,-3.5730131E-003, 6.8114203E-003, 0.0000000E+000,-3.9603360E-002, 2.0347451E-002, 3.1139468E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.7537192E-002, 0.0000000E+000, 2.1951871E-005
 1.2001106E+001, 9.1411096E+000, 0.0000000E+000,-1.9284450E+000,-7.2715276E+000,-3.2220074E-003, 6.9561666E-003, 0.0000000E+000,-3.8499017E-002,-9.8979275E-002,-9.3627836E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 5.6177098E-002, 0.0000000E+000, 2.1951872E-005
 1.3001771E+001, 9.1491506E+000, 0.0000000E+000,-1.8948419E+000,-7.0275542E+000,-3.5180578E-003, 7.0498920E-003, 0.0000000E+000,-3.7279476E-002, 1.9734623E-001, 1.9300692E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 6.4822114E-002, 0.0000000E+000, 2.1951872E-005
 1.4000124E+001, 9.1541494E+000, 0.0000000E+000,-1.8353678E+000,-7.1732145E+000,-3.3972067E-003, 7.1248522E-003, 0.0000000E+000,-3.6304895E-002, 9.3965236E-002, 1.1298985E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 7.3458889E-002, 0.0000000E+000, 2.1951872E-005
 1.5000689E+001, 9.1476299E+000, 0.0000000E+000,-1.8289908E+000,-7.6060752E+000,-3.1030041E-003, 7.1629762E-003, 0.0000000E+000,-3.5133880E-002,-3.4229424E-001,-3.1850997E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 8.2093556E-002, 0.0000000E+000, 2.1951872E-005
 1.6000616E+001, 9.1393545E+000, 0.0000000E+000,-1.7719890E+000,-7.3504425E+000,-2.6348154E-003, 7.1765658E-003, 0.0000000E+000,-3.4255572E-002,-3.4316698E-002,-1.2790812E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 9.0734966E-002, 0.0000000E+000, 2.1951872E-005
 1.7000750E+001, 9.1575085E+000, 0.0000000E+000,-1.6999128E+000,-7.4343819E+000,-2.5224040E-003, 7.1609430E-003, 0.0000000E+000,-3.3223599E-002,-6.2961306E-002,-5.3713303E-003, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 9.9375861E-002, 0.0000000E+000, 2.1951872E-005
 1.8000910E+001, 9.1439642E+000, 0.0000000E+000,-1.6635743E+000,-7.2343971E+000,-3.8046528E-003, 7.1581895E-003, 0.0000000E+000,-3.2381992E-002, 1.9967568E-001, 2.1696435E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.0801673E-001, 0.0000000E+000, 2.1951872E-005
