Time,Chi_r
0.503, 0.279
1.002, 0.346
1.500, 0.343
2.001, 0.337
2.501, 0.340
3.000, 0.340
3.501, 0.340
4.001, 0.340
4.501, 0.341
5.000, 0.339
5.500, 0.340
6.002, 0.339
6.501, 0.340
7.001, 0.340
7.501, 0.339
8.001, 0.340
8.501, 0.339
9.002, 0.338
9.501, 0.341
10.002, 0.340
10.501, 0.339
11.001, 0.338
11.500, 0.341
12.001, 0.339
12.501, 0.340
13.000, 0.340
13.501, 0.341
14.001, 0.339
14.501, 0.340
15.001, 0.340
15.501, 0.339
16.001, 0.340
16.501, 0.341
17.001, 0.339
17.500, 0.341
18.001, 0.341
18.502, 0.338
19.001, 0.340
19.501, 0.340
20.001, 0.339
20.500, 0.340
21.001, 0.340
21.501, 0.339
22.002, 0.340
22.502, 0.341
23.001, 0.338
23.501, 0.340
24.000, 0.340
24.500, 0.340
25.001, 0.338
25.501, 0.340
26.000, 0.340
26.501, 0.339
27.001, 0.340
27.501, 0.340
28.002, 0.339
28.501, 0.340
29.001, 0.339
29.501, 0.341
30.001, 0.340
30.501, 0.339
31.001, 0.341
31.501, 0.340
32.002, 0.339
32.500, 0.340
33.001, 0.340
33.501, 0.339
34.001, 0.339
34.501, 0.340
35.002, 0.341
35.502, 0.339
36.001, 0.340
36.501, 0.341
37.001, 0.338
37.500, 0.340
38.001, 0.341
38.501, 0.338
39.001, 0.340
39.501, 0.339
40.000, 0.340
