s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1044377E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1044377E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0004011E-001, 2.0158200E+000, 0.0000000E+000,-5.8074376E-001, 2.8318996E-002,-9.7690009E-002, 2.2258322E-004, 0.0000000E+000, 0.0000000E+000, 1.3607422E+000, 1.3659278E+000, 1.6737100E-002, 7.6470899E-005,-2.5387646E-099,-6.6953861E-088
 1.0000259E+000, 5.4302117E+000, 0.0000000E+000,-1.6218953E+000, 7.1386811E-002,-4.0435717E-002, 8.7938176E-004, 0.0000000E+000, 0.0000000E+000, 3.7868741E+000, 3.8401469E+000, 4.4007506E-002, 1.9832694E-004,-2.0074622E-084,-3.4392353E-076
 1.5004435E+000, 9.8138041E+000, 0.0000000E+000,-2.9347457E+000,-2.0702758E+000,-6.7617787E-002, 1.4764947E-003, 0.0000000E+000, 0.0000000E+000, 4.7057836E+000, 4.7426413E+000, 5.9175274E-002, 2.6655619E-004,-2.1467202E-077,-4.2654316E-070
 2.0001159E+000, 1.1881448E+001, 0.0000000E+000,-3.5565173E+000,-4.9966148E+000,-1.7415790E-001, 1.7237265E-003, 0.0000000E+000, 0.0000000E+000, 3.1492849E+000, 3.1558814E+000, 6.5899325E-002, 2.9681372E-004,-1.7945211E-073,-1.1453844E-066
 2.5003765E+000, 1.3517486E+001, 0.0000000E+000,-4.0415519E+000,-6.9172322E+000,-2.8393507E-001, 1.8182280E-003, 0.0000000E+000, 0.0000000E+000, 2.2631430E+000, 2.2765851E+000, 6.8565690E-002, 3.0881077E-004,-2.3015802E-071,-7.7841607E-065
 3.0004771E+000, 1.4638979E+001, 0.0000000E+000,-4.3872920E+000,-7.2396307E+000,-2.7998108E-001, 1.8637432E-003, 0.0000000E+000, 0.0000000E+000, 2.7276075E+000, 2.7339390E+000, 6.9575711E-002, 3.1335518E-004,-4.9394824E-068,-1.6860932E-062
 3.5001943E+000, 1.3833784E+001, 0.0000000E+000,-4.1438946E+000,-7.6932188E+000,-3.2191537E-001, 1.8706484E-003, 0.0000000E+000, 0.0000000E+000, 1.6947537E+000, 1.6766258E+000, 6.9951014E-002, 3.1504395E-004,-7.6457843E-064,-8.2184066E-059
 4.0001931E+000, 1.4519103E+001, 0.0000000E+000,-4.3494210E+000,-7.5250119E+000,-3.2594502E-001, 1.8882708E-003, 0.0000000E+000, 0.0000000E+000, 2.3104351E+000, 2.3206134E+000, 7.0089641E-002, 3.1566764E-004,-2.7086625E-060,-1.0121377E-055
 4.5003629E+000, 1.4042042E+001, 0.0000000E+000,-4.2073386E+000,-7.8689156E+000,-3.5826455E-001, 1.8732187E-003, 0.0000000E+000, 0.0000000E+000, 1.6221538E+000, 1.6093968E+000, 7.0140739E-002, 3.1589757E-004,-1.9921116E-057,-3.4977365E-053
 5.0000014E+000, 1.4249368E+001, 0.0000000E+000,-4.2588283E+000,-7.4761497E+000,-3.4672724E-001, 1.8621861E-003, 0.0000000E+000, 0.0000000E+000, 2.1591136E+000, 2.1695247E+000, 7.0159544E-002, 3.1598217E-004,-3.9289727E-055,-3.5367284E-051
 5.5001011E+000, 1.4407553E+001, 0.0000000E+000,-4.3138374E+000,-8.2858662E+000,-4.0004177E-001, 1.8799943E-003, 0.0000000E+000, 0.0000000E+000, 1.3827613E+000, 1.4096872E+000, 7.0166462E-002, 3.1601330E-004,-3.3556270E-053,-1.6811127E-049
 6.0002189E+000, 1.4586548E+001, 0.0000000E+000,-4.3742272E+000,-7.8463886E+000,-4.1640981E-001, 1.8860926E-003, 0.0000000E+000, 0.0000000E+000, 1.9534362E+000, 1.9514081E+000, 7.0169009E-002, 3.1602477E-004,-1.8111268E-051,-5.5631515E-048
 6.5004172E+000, 1.4351555E+001, 0.0000000E+000,-4.2919834E+000,-7.9832054E+000,-4.4252404E-001, 1.8655965E-003, 0.0000000E+000, 0.0000000E+000, 1.5927178E+000, 1.6357073E+000, 7.0169946E-002, 3.1602898E-004,-5.9534428E-050,-1.3577903E-046
 7.0002871E+000, 1.4070889E+001, 0.0000000E+000,-4.2138499E+000,-7.8564059E+000,-4.8347767E-001, 1.8582688E-003, 0.0000000E+000, 0.0000000E+000, 1.5200158E+000, 1.5190141E+000, 7.0170291E-002, 3.1603053E-004,-1.2919155E-048,-2.4755231E-045
 7.5002999E+000, 1.4558843E+001, 0.0000000E+000,-4.3503632E+000,-7.9002097E+000,-4.6500280E-001, 1.8456724E-003, 0.0000000E+000, 0.0000000E+000, 1.8055999E+000, 1.8451126E+000, 7.0170418E-002, 3.1603110E-004,-2.1081335E-047,-3.6511151E-044
 8.0002718E+000, 1.3873810E+001, 0.0000000E+000,-4.1563159E+000,-8.7819175E+000,-5.0474410E-001, 1.8565603E-003, 0.0000000E+000, 0.0000000E+000, 4.2336794E-001, 4.3268880E-001, 7.0170464E-002, 3.1603131E-004,-2.5907883E-046,-4.2702284E-043
 8.5003166E+000, 1.4577995E+001, 0.0000000E+000,-4.3579426E+000,-7.7652547E+000,-4.4493155E-001, 1.8385861E-003, 0.0000000E+000, 0.0000000E+000, 1.9842249E+000, 2.0117046E+000, 7.0170481E-002, 3.1603139E-004,-2.5996349E-045,-4.1951162E-042
 9.0004454E+000, 1.4528490E+001, 0.0000000E+000,-4.3576243E+000,-7.7328781E+000,-4.8421287E-001, 1.8396645E-003, 0.0000000E+000, 0.0000000E+000, 1.9469822E+000, 1.9556142E+000, 7.0170488E-002, 3.1603142E-004,-2.2551148E-044,-3.6339168E-041
 9.5002384E+000, 1.4237112E+001, 0.0000000E+000,-4.2657954E+000,-8.2818414E+000,-4.7697555E-001, 1.8523190E-003, 0.0000000E+000, 0.0000000E+000, 1.2234609E+000, 1.2143517E+000, 7.0170490E-002, 3.1603143E-004,-1.5649715E-043,-2.5426926E-040
 1.0000383E+001, 1.4601516E+001, 0.0000000E+000,-4.3658800E+000,-8.5279032E+000,-4.7674150E-001, 1.8598134E-003, 0.0000000E+000, 0.0000000E+000, 1.2142772E+000, 1.2328507E+000, 7.0170491E-002, 3.1603143E-004,-8.3989337E-043,-1.3784752E-039
 1.0500171E+001, 1.4016749E+001, 0.0000000E+000,-4.1982625E+000,-8.0488663E+000,-4.9854214E-001, 1.8549110E-003, 0.0000000E+000, 0.0000000E+000, 1.2635542E+000, 1.2729324E+000, 7.0170491E-002, 3.1603143E-004,-3.4685237E-042,-5.7396573E-039
 1.1000118E+001, 1.4146278E+001, 0.0000000E+000,-4.2310290E+000,-8.3383695E+000,-5.1136056E-001, 1.8823868E-003, 0.0000000E+000, 0.0000000E+000, 1.0669511E+000, 1.0674008E+000, 7.0170491E-002, 3.1603143E-004,-1.1252765E-041,-1.8729812E-038
 1.1500503E+001, 1.4133877E+001, 0.0000000E+000,-4.2378519E+000,-8.4925961E+000,-5.4729411E-001, 1.8784356E-003, 0.0000000E+000, 0.0000000E+000, 8.4531345E-001, 8.5801359E-001, 7.0170491E-002, 3.1603143E-004,-3.0046617E-041,-5.0181259E-038
 1.2000084E+001, 1.4444251E+001, 0.0000000E+000,-4.3204042E+000,-7.3769230E+000,-5.0600126E-001, 1.8879587E-003, 0.0000000E+000, 0.0000000E+000, 2.2349212E+000, 2.2428101E+000, 7.0170491E-002, 3.1603143E-004,-6.8396334E-041,-1.1440393E-037
 1.2500363E+001, 1.4709009E+001, 0.0000000E+000,-4.3954344E+000,-8.9602224E+000,-5.6792623E-001, 1.8971620E-003, 0.0000000E+000, 0.0000000E+000, 7.6103829E-001, 7.8732349E-001, 7.0170491E-002, 3.1603143E-004,-1.3945049E-040,-2.3343875E-037
 1.3000417E+001, 1.4048921E+001, 0.0000000E+000,-4.2170795E+000,-7.8294312E+000,-5.6086648E-001, 1.8615914E-003, 0.0000000E+000, 0.0000000E+000, 1.4381204E+000, 1.4434052E+000, 7.0170491E-002, 3.1603143E-004,-2.6623921E-040,-4.4649614E-037
 1.3500483E+001, 1.4688750E+001, 0.0000000E+000,-4.3853778E+000,-8.2000739E+000,-5.7921988E-001, 1.9111564E-003, 0.0000000E+000, 0.0000000E+000, 1.5263580E+000, 1.5259891E+000, 7.0170491E-002, 3.1603143E-004,-5.0639488E-040,-8.5464227E-037
 1.4000436E+001, 1.3881106E+001, 0.0000000E+000,-4.1605748E+000,-8.0139907E+000,-5.7532510E-001, 1.9074009E-003, 0.0000000E+000, 0.0000000E+000, 1.1245940E+000, 1.1331225E+000, 7.0170491E-002, 3.1603143E-004,-9.4821460E-040,-1.6197550E-036
 1.4500080E+001, 1.4457383E+001, 0.0000000E+000,-4.3392332E+000,-8.4278370E+000,-5.9459499E-001, 1.8941772E-003, 0.0000000E+000, 0.0000000E+000, 1.0911624E+000, 1.0976117E+000, 7.0170491E-002, 3.1603143E-004,-1.7750199E-039,-3.0632861E-036
 1.5000235E+001, 1.4438504E+001, 0.0000000E+000,-4.3223698E+000,-8.8787528E+000,-5.8945424E-001, 1.8902299E-003, 0.0000000E+000, 0.0000000E+000, 6.4646903E-001, 6.4981782E-001, 7.0170491E-002, 3.1603143E-004,-3.2313306E-039,-5.5221867E-036
 1.5500166E+001, 1.4278220E+001, 0.0000000E+000,-4.2718564E+000,-7.9866655E+000,-5.9489069E-001, 1.8799057E-003, 0.0000000E+000, 0.0000000E+000, 1.4192108E+000, 1.4266870E+000, 7.0170491E-002, 3.1603143E-004,-6.3164166E-039,-1.0456997E-035
