s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_PROPANE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8008137E-003, 3.8290979E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8008133E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0018935E+000, 3.5206594E+000, 0.0000000E+000,-3.8437039E-001, 5.1997481E-002,-2.3635506E-003, 6.2824661E-005, 0.0000000E+000,-1.2828874E-002, 3.0776249E+000, 3.1731569E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8536529E-005, 9.6349473E-006
 2.0021474E+000, 7.8865429E+000, 0.0000000E+000,-1.1003039E+000,-4.3948172E+000,-4.6826985E-003, 8.2662117E-004, 0.0000000E+000,-2.7430660E-002, 2.3643714E+000, 2.3601351E+000, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5958706E-004, 1.9578315E-005
 3.0003204E+000, 8.9664375E+000, 0.0000000E+000,-1.3592507E+000,-7.7043240E+000,-5.6425456E-003, 1.4455819E-003, 0.0000000E+000,-2.9220556E-002,-1.2732406E-001,-1.3055469E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7614434E-004, 2.1609580E-005
 4.0003729E+000, 9.1390325E+000, 0.0000000E+000,-1.4018427E+000,-7.4701344E+000,-2.7882561E-003, 1.9032562E-003, 0.0000000E+000,-2.9547731E-002, 2.1402606E-001, 2.3662261E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7855258E-004, 2.1905026E-005
 5.0020089E+000, 9.1586348E+000, 0.0000000E+000,-1.3953366E+000,-7.6818518E+000,-4.2906211E-003, 2.2888275E-003, 0.0000000E+000,-2.9556579E-002, 2.0248700E-002, 4.9887998E-002, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9434303E-007, 1.7888275E-004, 2.1945531E-005
 6.0004678E+000, 9.1629023E+000, 0.0000000E+000,-1.4243463E+000,-7.5703828E+000,-5.9391284E-003, 2.6239773E-003, 0.0000000E+000,-2.9615852E-002, 1.3133800E-001, 1.3524223E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3397172E-003, 1.7892744E-004, 2.1951014E-005
 7.0014324E+000, 9.1575068E+000, 0.0000000E+000,-1.3797054E+000,-7.6193645E+000,-4.1827237E-003, 2.9405909E-003, 0.0000000E+000,-2.9342144E-002, 9.5707664E-002, 1.2785267E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2977637E-002, 1.7893348E-004, 2.1951755E-005
 8.0004606E+000, 9.1487285E+000, 0.0000000E+000,-1.3991047E+000,-7.9358301E+000,-4.8241222E-003, 3.1975503E-003, 0.0000000E+000,-2.9181661E-002,-2.2208444E-001,-2.1701460E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1617205E-002, 1.7893430E-004, 2.1951856E-005
 9.0010900E+000, 9.1401655E+000, 0.0000000E+000,-1.3465411E+000,-7.5561376E+000,-3.5283892E-003, 3.3853815E-003, 0.0000000E+000,-2.8415301E-002, 2.1362885E-001, 2.0892848E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0255886E-002, 1.7893441E-004, 2.1951869E-005
 1.0001620E+001, 9.1451714E+000, 0.0000000E+000,-1.3002542E+000,-8.1383648E+000,-3.7521893E-003, 3.5262882E-003, 0.0000000E+000,-2.7737728E-002,-3.4647231E-001,-3.2141114E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8900828E-002, 1.7893443E-004, 2.1951871E-005
 1.1000861E+001, 9.1372745E+000, 0.0000000E+000,-1.2569056E+000,-7.6741144E+000,-2.3210841E-003, 3.6045314E-003, 0.0000000E+000,-2.7095993E-002, 1.5939588E-001, 1.8044196E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7539054E-002, 1.7893443E-004, 2.1951871E-005
 1.2000609E+001, 9.1160077E+000, 0.0000000E+000,-1.2091370E+000,-7.6912429E+000,-4.1105160E-003, 3.6514506E-003, 0.0000000E+000,-2.6383338E-002, 1.6688224E-001, 1.8878539E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6174982E-002, 1.7893443E-004, 2.1951872E-005
 1.3001815E+001, 9.0595371E+000, 0.0000000E+000,-1.1566832E+000,-8.1409195E+000,-2.6027954E-003, 3.6227139E-003, 0.0000000E+000,-2.4944632E-002,-2.7660784E-001,-2.6199030E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4820482E-002, 1.7893443E-004, 2.1951872E-005
 1.4001455E+001, 9.0571303E+000, 0.0000000E+000,-1.0341327E+000,-7.7986811E+000,-2.4190254E-003, 3.3802419E-003, 0.0000000E+000,-2.2629864E-002, 1.9415546E-001, 2.0264783E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3462911E-002, 1.7893443E-004, 2.1951872E-005
 1.5001958E+001, 9.1002890E+000, 0.0000000E+000,-9.9000235E-001,-8.3373608E+000,-3.0015503E-003, 3.2344720E-003, 0.0000000E+000,-2.1814923E-002,-2.7709059E-001,-2.4865614E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2103839E-002, 1.7893443E-004, 2.1951872E-005
 1.6001442E+001, 9.1467272E+000, 0.0000000E+000,-9.2719409E-001,-7.9617821E+000,-2.0337926E-003, 3.1637400E-003, 0.0000000E+000,-2.1439344E-002, 2.2171088E-001, 2.3744166E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0745336E-002, 1.7893443E-004, 2.1951872E-005
 1.7001339E+001, 9.1193417E+000, 0.0000000E+000,-9.0695314E-001,-8.5182368E+000,-2.9015991E-003, 3.0887272E-003, 0.0000000E+000,-2.1053115E-002,-3.4227474E-001,-3.2671420E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9381412E-002, 1.7893443E-004, 2.1951872E-005
 1.8001383E+001, 9.0797067E+000, 0.0000000E+000,-8.3968426E-001,-7.8992939E+000,-2.6822717E-003, 3.0199070E-003, 0.0000000E+000,-2.0537544E-002, 2.9105794E-001, 3.2052862E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0802182E-001, 1.7893443E-004, 2.1951872E-005
 1.9000423E+001, 8.8641104E+000, 0.0000000E+000,-7.0920163E-001,-8.2909171E+000,-2.5266443E-003, 2.7288545E-003, 0.0000000E+000,-1.8722204E-002,-2.1716872E-001,-1.5452823E-001, 3.2112000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1665889E-001, 1.7893443E-004, 2.1951872E-005
