s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5290144E-003, 1.0103503E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5290143E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002956E+000, 3.2697579E+000, 0.0000000E+000,-7.2615134E-001, 4.3300666E-002,-3.5621780E-002, 4.3670985E-004, 0.0000000E+000,-2.8562020E-002, 2.4916395E+000, 2.5231601E+000, 3.2112000E-001, 0.0000000E+000, 7.7789330E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5690029E-006
 2.0008285E+000, 7.7254185E+000, 0.0000000E+000,-2.1745498E+000,-3.7663184E+000,-2.2866851E-002, 1.8085518E-003, 0.0000000E+000,-5.7921405E-002, 1.7067227E+000, 1.7055706E+000, 3.2112000E-001, 0.0000000E+000, 1.5907682E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9568321E-005
 3.0002239E+000, 8.9393534E+000, 0.0000000E+000,-2.6136918E+000,-6.6566663E+000,-1.6362041E-002, 2.8421705E-003, 0.0000000E+000,-6.2404746E-002,-4.0562634E-001,-4.0692929E-001, 3.2112000E-001, 0.0000000E+000, 1.7566224E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1608522E-005
 4.0005307E+000, 9.1398120E+000, 0.0000000E+000,-2.6778269E+000,-6.3237555E+000,-1.8018704E-002, 3.7160820E-003, 0.0000000E+000,-6.4157758E-002, 5.7285960E-002, 5.9769173E-002, 3.2112000E-001, 0.0000000E+000, 1.7807207E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1904960E-005
 5.0006161E+000, 9.1739353E+000, 0.0000000E+000,-2.6965391E+000,-6.0168421E+000,-1.8676370E-002, 4.4540847E-003, 0.0000000E+000,-6.4800797E-002, 3.8635685E-001, 3.8153107E-001, 3.2112000E-001, 0.0000000E+000, 1.7840178E-004, 0.0000000E+000, 0.0000000E+000, 1.0917447E-007, 0.0000000E+000, 2.1945518E-005
 6.0005894E+000, 9.1743639E+000, 0.0000000E+000,-2.6984050E+000,-6.5480589E+000,-2.0035227E-002, 5.1024859E-003, 0.0000000E+000,-6.4257984E-002,-1.3996650E-001,-1.5129076E-001, 3.2112000E-001, 0.0000000E+000, 1.7844644E-004, 0.0000000E+000, 0.0000000E+000, 4.3290919E-003, 0.0000000E+000, 2.1951012E-005
 7.0005841E+000, 9.1424217E+000, 0.0000000E+000,-2.6899695E+000,-6.2939528E+000,-1.8880444E-002, 5.6619773E-003, 0.0000000E+000,-6.4259353E-002, 8.7896159E-002, 8.1021588E-002, 3.2112000E-001, 0.0000000E+000, 1.7845248E-004, 0.0000000E+000, 0.0000000E+000, 1.2969133E-002, 0.0000000E+000, 2.1951755E-005
 8.0005531E+000, 9.1422884E+000, 0.0000000E+000,-2.6687326E+000,-6.3411623E+000,-1.8729470E-002, 6.1520006E-003, 0.0000000E+000,-6.3741343E-002, 5.5372990E-002, 5.6074690E-002, 3.2112000E-001, 0.0000000E+000, 1.7845330E-004, 0.0000000E+000, 0.0000000E+000, 2.1608888E-002, 0.0000000E+000, 2.1951856E-005
 9.0000057E+000, 9.1442354E+000, 0.0000000E+000,-2.6355179E+000,-6.5132888E+000,-1.9491012E-002, 6.5290429E-003, 0.0000000E+000,-6.2904756E-002,-7.7546718E-002,-8.0438075E-002, 3.2112000E-001, 0.0000000E+000, 1.7845341E-004, 0.0000000E+000, 0.0000000E+000, 3.0246255E-002, 0.0000000E+000, 2.1951869E-005
 1.0000433E+001, 9.1420834E+000, 0.0000000E+000,-2.5892479E+000,-6.2860503E+000,-2.0229666E-002, 6.8115302E-003, 0.0000000E+000,-6.2397160E-002, 2.0328680E-001, 1.9096995E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.8885531E-002, 0.0000000E+000, 2.1951871E-005
