Time,Chi_r
0.501, 0.207
1.001, 0.219
1.500, 0.219
2.001, 0.220
2.501, 0.219
3.000, 0.220
3.501, 0.220
4.000, 0.219
4.500, 0.219
5.000, 0.221
5.501, 0.219
6.000, 0.219
6.501, 0.220
7.000, 0.220
7.500, 0.219
8.001, 0.219
8.501, 0.220
9.000, 0.219
9.501, 0.220
10.000, 0.219
10.500, 0.219
11.001, 0.220
11.501, 0.219
12.000, 0.220
12.500, 0.219
13.000, 0.220
13.500, 0.220
14.000, 0.219
14.500, 0.219
15.000, 0.220
15.500, 0.220
16.001, 0.219
16.500, 0.219
17.001, 0.220
17.500, 0.219
18.001, 0.220
18.501, 0.220
19.000, 0.220
19.501, 0.219
20.001, 0.219
20.501, 0.220
21.000, 0.219
21.500, 0.220
22.000, 0.220
22.500, 0.219
23.000, 0.220
23.500, 0.220
24.001, 0.220
24.501, 0.219
25.001, 0.220
25.500, 0.220
26.001, 0.219
26.500, 0.219
27.000, 0.220
27.500, 0.220
28.001, 0.220
28.500, 0.220
29.001, 0.219
29.500, 0.220
30.001, 0.220
30.500, 0.220
31.001, 0.219
31.500, 0.220
32.001, 0.220
32.500, 0.219
33.000, 0.219
33.500, 0.220
34.000, 0.219
34.500, 0.220
35.000, 0.219
35.500, 0.219
36.001, 0.220
36.500, 0.220
37.000, 0.219
37.500, 0.219
38.001, 0.220
38.500, 0.219
39.000, 0.220
39.501, 0.220
40.000, 0.220
