s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS 2,MLR_PRODUCTS 2,MLR_NITROGEN,MLR_EHTYLENE,MLR_PILOT FUEL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2179989E-003,-1.2790160E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2179989E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000086E+000, 3.0606258E+000, 0.0000000E+000,-7.8697362E-001, 3.8276774E-002,-8.9297343E-002, 4.8103441E-004, 0.0000000E+000,-7.3102788E-002, 2.1370238E+000, 2.1500098E+000, 3.2112000E-001, 0.0000000E+000, 7.7569842E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5420032E-006
 2.0000646E+000, 6.5961219E+000, 0.0000000E+000,-1.9480507E+000,-2.9428024E+000,-7.8353249E-002, 1.1438050E-003, 0.0000000E+000,-1.3583429E-001, 1.4857632E+000, 1.4922251E+000, 3.2112000E-001, 0.0000000E+000, 1.5905048E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9565081E-005
 3.0003715E+000, 8.6108353E+000, 0.0000000E+000,-2.4953370E+000,-6.2332879E+000,-6.8130404E-002, 1.5932262E-003, 0.0000000E+000,-1.4226454E-001,-3.1823863E-001,-3.2659134E-001, 3.2112000E-001, 0.0000000E+000, 1.7565844E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1608055E-005
 4.0003653E+000, 9.4001448E+000, 0.0000000E+000,-2.6500551E+000,-5.8982921E+000,-7.0364798E-002, 2.1322132E-003, 0.0000000E+000,-1.4365379E-001, 6.5405373E-001, 6.3991118E-001, 3.2112000E-001, 0.0000000E+000, 1.7807193E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1904943E-005
 5.0000076E+000, 9.0033184E+000, 0.0000000E+000,-2.4111438E+000,-5.4588533E+000,-7.3145776E-002, 2.4900010E-003, 0.0000000E+000,-1.4538386E-001, 9.3124253E-001, 9.1728168E-001, 3.2112000E-001, 0.0000000E+000, 1.7840172E-004, 0.0000000E+000, 0.0000000E+000, 7.1402941E-008, 0.0000000E+000, 2.1945511E-005
 6.0002842E+000, 9.0975305E+000, 0.0000000E+000,-2.4394610E+000,-6.3547072E+000,-7.2824238E-002, 2.8086421E-003, 0.0000000E+000,-1.4472076E-001, 1.0249719E-001, 8.8625970E-002, 3.2112000E-001, 0.0000000E+000, 1.7844643E-004, 0.0000000E+000, 0.0000000E+000, 4.3229679E-003, 0.0000000E+000, 2.1951010E-005
 7.0003562E+000, 9.1661442E+000, 0.0000000E+000,-2.5037201E+000,-6.2884839E+000,-7.2865074E-002, 3.2078791E-003, 0.0000000E+000,-1.4347157E-001, 1.7124698E-001, 1.6081134E-001, 3.2112000E-001, 0.0000000E+000, 1.7845248E-004, 0.0000000E+000, 0.0000000E+000, 1.2964524E-002, 0.0000000E+000, 2.1951755E-005
 8.0002317E+000, 9.0641880E+000, 0.0000000E+000,-2.4453532E+000,-6.5352366E+000,-6.9637147E-002, 3.4610871E-003, 0.0000000E+000,-1.4479466E-001,-1.1752909E-001,-1.2737257E-001, 3.2112000E-001, 0.0000000E+000, 1.7845330E-004, 0.0000000E+000, 0.0000000E+000, 2.1604394E-002, 0.0000000E+000, 2.1951856E-005
 9.0000372E+000, 9.0587299E+000, 0.0000000E+000,-2.3685352E+000,-6.4056151E+000,-6.8336346E-002, 3.6502366E-003, 0.0000000E+000,-1.4022884E-001, 8.7385093E-002, 7.9664656E-002, 3.2112000E-001, 0.0000000E+000, 1.7845341E-004, 0.0000000E+000, 0.0000000E+000, 3.0243002E-002, 0.0000000E+000, 2.1951869E-005
 1.0000087E+001, 9.1231471E+000, 0.0000000E+000,-2.3286691E+000,-6.7284931E+000,-6.8014555E-002, 3.9049247E-003, 0.0000000E+000,-1.3641499E-001,-1.2780874E-001,-1.3453978E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 3.8882355E-002, 0.0000000E+000, 2.1951871E-005
 1.1000243E+001, 9.1001668E+000, 0.0000000E+000,-2.3062999E+000,-6.5195883E+000,-6.5543492E-002, 4.0334789E-003, 0.0000000E+000,-1.3353399E-001, 8.2795516E-002, 7.9234594E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 4.7523101E-002, 0.0000000E+000, 2.1951871E-005
 1.2000113E+001, 9.1018160E+000, 0.0000000E+000,-2.2214914E+000,-6.9048838E+000,-6.3719644E-002, 4.1132329E-003, 0.0000000E+000,-1.3122323E-001,-2.0948078E-001,-2.1538883E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 5.6163358E-002, 0.0000000E+000, 2.1951872E-005
 1.3000245E+001, 9.1241007E+000, 0.0000000E+000,-2.1721701E+000,-6.3756030E+000,-6.2580709E-002, 4.2277522E-003, 0.0000000E+000,-1.2806984E-001, 3.9356788E-001, 3.8990490E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 6.4803364E-002, 0.0000000E+000, 2.1951872E-005
 1.4000203E+001, 9.1820067E+000, 0.0000000E+000,-2.0805318E+000,-7.0634934E+000,-6.2179714E-002, 4.3216932E-003, 0.0000000E+000,-1.2460495E-001,-1.4324392E-001,-1.4448142E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 7.3443580E-002, 0.0000000E+000, 2.1951872E-005
 1.5000367E+001, 9.0483581E+000, 0.0000000E+000,-2.0278813E+000,-7.0575147E+000,-5.8266508E-002, 4.3284790E-003, 0.0000000E+000,-1.2053549E-001,-2.1189565E-001,-2.1151138E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 8.2084354E-002, 0.0000000E+000, 2.1951872E-005
 1.6000309E+001, 9.0054101E+000, 0.0000000E+000,-1.9546726E+000,-7.2541111E+000,-5.8102233E-002, 4.3047381E-003, 0.0000000E+000,-1.1716166E-001,-3.7145108E-001,-3.7433270E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 9.0724655E-002, 0.0000000E+000, 2.1951872E-005
 1.7000147E+001, 9.0919480E+000, 0.0000000E+000,-1.9165684E+000,-6.7783010E+000,-5.3553833E-002, 4.3145132E-003, 0.0000000E+000,-1.1370642E-001, 2.3205538E-001, 2.3413291E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 9.9363591E-002, 0.0000000E+000, 2.1951872E-005
 1.8000231E+001, 9.0134036E+000, 0.0000000E+000,-1.8380473E+000,-7.1756890E+000,-4.9720672E-002, 4.2109512E-003, 0.0000000E+000,-1.1060361E-001,-1.6038512E-001,-1.5644605E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.0800343E-001, 0.0000000E+000, 2.1951872E-005
 1.9000093E+001, 9.0592603E+000, 0.0000000E+000,-1.7937062E+000,-7.1881950E+000,-4.7176670E-002, 4.1524138E-003, 0.0000000E+000,-1.0732881E-001,-7.9935554E-002,-7.2994008E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.1664307E-001, 0.0000000E+000, 2.1951872E-005
 2.0000217E+001, 9.0806604E+000, 0.0000000E+000,-1.7500927E+000,-7.0869410E+000,-4.6066176E-002, 4.1548472E-003, 0.0000000E+000,-1.0413585E-001, 9.1475675E-002, 9.7579632E-002, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.2528298E-001, 0.0000000E+000, 2.1951872E-005
 2.1000074E+001, 9.0393123E+000, 0.0000000E+000,-1.6769365E+000,-7.0299722E+000,-4.3316920E-002, 4.0640669E-003, 0.0000000E+000,-1.0144711E-001, 1.8658075E-001, 1.9170364E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.3392330E-001, 0.0000000E+000, 2.1951872E-005
 2.2000175E+001, 9.1155028E+000, 0.0000000E+000,-1.6031437E+000,-7.2637054E+000,-4.1381369E-002, 4.0288278E-003, 0.0000000E+000,-9.7878701E-002, 1.0172284E-001, 1.1342248E-001, 3.2112000E-001, 0.0000000E+000, 1.7845343E-004, 0.0000000E+000, 0.0000000E+000, 1.4256298E-001, 0.0000000E+000, 2.1951872E-005
