Time,Chi_r
0.502, 0.180
1.001, 0.223
1.501, 0.220
2.001, 0.220
2.500, 0.220
3.001, 0.220
3.501, 0.220
4.000, 0.221
4.500, 0.219
5.002, 0.220
5.501, 0.219
6.002, 0.221
6.501, 0.219
7.001, 0.221
7.501, 0.220
8.002, 0.220
8.501, 0.219
9.001, 0.221
9.501, 0.219
10.000, 0.220
10.501, 0.220
11.000, 0.220
11.501, 0.219
12.002, 0.220
12.501, 0.221
13.001, 0.219
13.502, 0.221
14.002, 0.219
14.501, 0.220
15.001, 0.220
15.502, 0.220
16.000, 0.220
16.502, 0.219
17.001, 0.220
17.501, 0.220
18.001, 0.221
18.501, 0.220
19.000, 0.220
19.501, 0.220
20.001, 0.220
20.501, 0.221
21.000, 0.220
21.501, 0.219
22.000, 0.221
22.500, 0.219
23.001, 0.220
23.500, 0.219
24.000, 0.221
24.501, 0.219
25.002, 0.221
25.501, 0.219
26.002, 0.220
26.500, 0.220
27.000, 0.220
27.501, 0.221
28.001, 0.220
28.500, 0.219
29.001, 0.221
29.500, 0.220
30.001, 0.220
30.501, 0.220
31.000, 0.220
31.501, 0.220
32.001, 0.220
32.501, 0.220
33.001, 0.220
33.501, 0.219
34.002, 0.220
34.502, 0.221
35.000, 0.220
35.501, 0.219
36.001, 0.220
36.501, 0.221
37.002, 0.220
37.500, 0.220
38.001, 0.220
38.500, 0.219
39.001, 0.221
39.502, 0.219
40.000, 0.221
