r,coarse,medium,fine 
-16,299.33,329.84,348.5
-15.68,302.53,340.76,365.98
-15.36,305.73,353.81,383.84
-15.04,313.06,369.81,401.35
-14.72,322.57,388.06,421.54
-14.4,332.08,408.7,445.63
-14.08,347.26,432.03,475.38
-13.76,365.79,457.01,510.34
-13.44,384.32,483.61,545.1
-13.12,406.73,510.63,577.18
-12.8,431.71,537.16,607.54
-12.48,456.69,563.16,634.59
-12.16,482.35,588.34,658.38
-11.84,508.5,613.85,678.12
-11.52,534.66,639.43,692.41
-11.2,560.58,664.81,701.37
-10.88,586.3,688.81,708.71
-10.56,612.02,711.02,716.73
-10.24,638.02,731.07,724.92
-9.92,664.29,745.37,731.92
-9.6,690.55,756.38,739.91
-9.28,718.94,764.17,747.68
-8.96,749.53,767.61,756.07
-8.64,780.12,769.93,768.4
-8.32,808.09,772.09,780.92
-8,833.04,774.94,790.94
-7.68,858,777.09,800.97
-7.36,882.45,779.34,808.22
-7.04,917.89,784.93,822.51
-6.72,961,793.66,840.82
-6.4,993.95,805.43,862.54
-6.08,1029.9,820.81,885.69
-5.76,1059.1,839.75,908.09
-5.44,1091.5,861.72,933.97
-5.12,1116.7,888.13,968.04
-4.8,1145.2,919.69,1006.9
-4.48,1169.3,953.65,1042.6
-4.16,1195.1,988.6,1076.2
-3.84,1217.5,1023.4,1114.1
-3.52,1238.9,1058.3,1156.2
-3.2,1254.8,1094.3,1185.3
-2.88,1266.6,1127.2,1200.9
-2.56,1272,1149.5,1215.3
-2.24,1271,1161.8,1229.2
-1.92,1266.1,1169,1234.8
-1.6,1256.6,1172.8,1232.8
-1.28,1245.8,1171.2,1219.8
-0.96,1234.7,1164.9,1204.7
-0.64,1223,1157.8,1198.5
-0.32,1217.3,1152.5,1190.3
0,1211.3,1147.7,1191.1
0.32,1216.3,1145.1,1197.9
0.64,1220.8,1148.1,1194.2
0.96,1232,1157.3,1188.5
1.28,1242.8,1166.6,1195.5
1.6,1254.4,1171.2,1206.9
1.92,1264.5,1170.2,1209.9
2.24,1270.3,1160.7,1209.8
2.56,1272.2,1142.8,1204.6
2.88,1268,1118,1193.6
3.2,1257.9,1089,1170.1
3.52,1243.7,1056.8,1141.4
3.84,1225.4,1021.5,1115.7
4.16,1206.7,985.54,1081.4
4.48,1184.8,951.77,1041.8
4.8,1164.8,922.06,1010
5.12,1138,896.12,984.79
5.44,1114,874.43,958.89
5.76,1082.2,856.16,925.27
6.08,1053.9,840.51,894.47
6.4,1017.9,827.63,869.52
6.72,984.95,816.97,847.23
7.04,940.4,808.43,827.8
7.36,903.58,801.98,813.57
7.68,877.79,799.13,803.86
8,850.92,796.35,788.64
8.32,824.06,791.72,774.03
8.64,793.53,785,761.12
8.96,759.83,776.29,748.87
9.28,726.13,764.76,740.53
9.6,695.2,750.36,739.35
9.92,666.98,734.36,737.43
10.24,638.75,716.83,730.98
10.56,612.58,694.72,722.76
10.88,588.62,671.86,713.9
11.2,564.66,648.75,701.86
11.52,540.89,627.1,687.16
11.84,517.34,604.75,670.61
12.16,493.79,581.62,649.85
12.48,469.62,557.25,625.81
12.8,444.61,531.51,600.49
13.12,419.6,505.06,571.25
13.44,396.51,477.97,540.79
13.76,376.35,451.11,509.61
14.08,356.18,425.94,477.25
14.4,339.37,402.61,448.5
14.72,328.25,382.63,426.85
15.04,317.13,365.99,408.03
15.36,308.48,351.73,390.79
15.68,304.53,340.07,374
16,300.59,329.65,357.54
