r,coarse,medium,fine
-16,0.30162,0.5292,0.60525
-15.68,0.35327,0.55858,0.64123
-15.36,0.40491,0.58725,0.67644
-15.04,0.45143,0.61879,0.71054
-14.72,0.49528,0.65222,0.74666
-14.4,0.53912,0.68683,0.78574
-14.08,0.5842,0.72286,0.82839
-13.76,0.63001,0.76031,0.87179
-13.44,0.67582,0.7995,0.91539
-13.12,0.72303,0.84047,0.95931
-12.8,0.77118,0.88155,1.0037
-12.48,0.81933,0.92263,1.0463
-12.16,0.86986,0.96334,1.0852
-11.84,0.92215,1.0044,1.1229
-11.52,0.97444,1.0456,1.1605
-11.2,1.0285,1.0864,1.1985
-10.88,1.084,1.128,1.2357
-10.56,1.1395,1.1692,1.2712
-10.24,1.1952,1.2098,1.3062
-9.92,1.2511,1.2486,1.3412
-9.6,1.3071,1.2877,1.3742
-9.28,1.366,1.3275,1.4045
-8.96,1.428,1.3685,1.4314
-8.64,1.49,1.4087,1.4571
-8.32,1.5471,1.4493,1.4844
-8,1.5986,1.4918,1.5147
-7.68,1.6502,1.5274,1.5452
-7.36,1.7036,1.564,1.5743
-7.04,1.7761,1.6128,1.6103
-6.72,1.8589,1.6563,1.6482
-6.4,1.9245,1.6999,1.6909
-6.08,1.9934,1.743,1.7359
-5.76,2.0598,1.7864,1.7816
-5.44,2.1307,1.829,1.8277
-5.12,2.1971,1.8701,1.8727
-4.8,2.2693,1.9114,1.9202
-4.48,2.3415,1.9548,1.9739
-4.16,2.4181,2,2.0334
-3.84,2.4942,2.0498,2.0905
-3.52,2.5745,2.1039,2.1479
-3.2,2.6523,2.1627,2.2119
-2.88,2.7296,2.2272,2.2774
-2.56,2.8007,2.295,2.3381
-2.24,2.8662,2.3647,2.3956
-1.92,2.9283,2.4334,2.4478
-1.6,2.9832,2.4987,2.4995
-1.28,3.0353,2.5556,2.5434
-0.96,3.0721,2.6021,2.5756
-0.64,3.1062,2.6402,2.596
-0.32,3.1178,2.6667,2.6099
0,3.1294,2.6796,2.6111
0.32,3.1161,2.6793,2.594
0.64,3.1028,2.6627,2.5613
0.96,3.0687,2.6294,2.5248
1.28,3.0326,2.583,2.4781
1.6,2.9832,2.5262,2.4222
1.92,2.9303,2.4627,2.3652
2.24,2.8702,2.3963,2.3058
2.56,2.8064,2.3285,2.2457
2.88,2.737,2.26,2.1857
3.2,2.6615,2.1938,2.1237
3.52,2.5849,2.1311,2.063
3.84,2.5053,2.0731,2.0031
4.16,2.4295,2.0193,1.9474
4.48,2.3529,1.9702,1.8942
4.8,2.2804,1.9255,1.8367
5.12,2.2058,1.8851,1.7827
5.44,2.1365,1.8459,1.7298
5.76,2.0633,1.8072,1.677
6.08,1.9947,1.7681,1.6326
6.4,1.9255,1.7288,1.5943
6.72,1.8608,1.6877,1.5548
7.04,1.7782,1.6456,1.5169
7.36,1.7048,1.5993,1.4799
7.68,1.6515,1.5644,1.4526
8,1.6012,1.5299,1.425
8.32,1.5509,1.4863,1.398
8.64,1.4964,1.4434,1.3728
8.96,1.4381,1.4003,1.3488
9.28,1.3798,1.3567,1.3256
9.6,1.324,1.3126,1.3003
9.92,1.2705,1.2686,1.2708
10.24,1.217,1.2249,1.2399
10.56,1.1642,1.1825,1.2092
10.88,1.1119,1.1402,1.1773
11.2,1.0596,1.0981,1.1439
11.52,1.0083,1.0561,1.1112
11.84,0.9583,1.0141,1.0796
12.16,0.90826,0.97215,1.0466
12.48,0.85798,0.93041,1.0082
12.8,0.80736,0.88963,0.9655
13.12,0.75675,0.84985,0.92106
13.44,0.70763,0.81106,0.87719
13.76,0.66077,0.77246,0.83529
14.08,0.6139,0.73379,0.79562
14.4,0.56832,0.69515,0.75479
14.72,0.52488,0.6569,0.71365
15.04,0.48145,0.62078,0.67682
15.36,0.43447,0.58676,0.64349
15.68,0.38076,0.55552,0.60933
16,0.32704,0.52391,0.57665
