r,coarse,medium,fine 
-16,365.24,432.19,470.21
-15.68,376.31,438.45,478.39
-15.36,387.38,444.49,485.86
-15.04,397.28,450.91,492.94
-14.72,406.58,457.44,499.24
-14.4,415.88,463.67,504.55
-14.08,425.17,469.61,509.98
-13.76,434.47,475.5,515.89
-13.44,443.76,481.47,521.92
-13.12,452.92,487.4,527.99
-12.8,461.99,493.14,534.15
-12.48,471.06,498.69,540.77
-12.16,480.13,504.02,546.82
-11.84,489.2,509.47,551.31
-11.52,498.27,515.04,555.27
-11.2,507.48,520.82,559.02
-10.88,516.78,527,562.52
-10.56,526.09,533.37,566.22
-10.24,535.59,539.91,569.42
-9.92,545.27,546.44,571.97
-9.6,554.96,553.25,573.94
-9.28,565.27,560.31,575.11
-8.96,576.25,567.54,577.05
-8.64,587.21,574.74,580.35
-8.32,597.55,582.14,585.02
-8,607.15,590.1,591.13
-7.68,616.76,596.66,598.66
-7.36,627.35,603.57,606.54
-7.04,643.72,613.18,615.54
-6.72,663.35,621.19,623.37
-6.4,679.59,629.14,632.63
-6.08,697.42,637.37,642.14
-5.76,715.26,646.29,652.9
-5.44,735.03,655.97,665.34
-5.12,755.88,665.97,677.8
-4.8,779.04,676.71,691.87
-4.48,803.35,688.77,708.45
-4.16,829.7,702.4,727.01
-3.84,857.43,718.87,745.7
-3.52,887.27,738.92,767.03
-3.2,917.43,762.48,792.29
-2.88,948.34,789.36,816.76
-2.56,977.61,819.42,838.07
-2.24,1005.3,851.42,859.36
-1.92,1031.7,883.6,879.61
-1.6,1055.5,914.29,900.09
-1.28,1078,940.62,917.01
-0.96,1094.3,961.36,928.34
-0.64,1109.8,978.03,933.8
-0.32,1115.7,990.27,935.56
0,1121.7,996.26,936.26
0.32,1115.9,996.03,931.89
0.64,1110.2,988.4,922.73
0.96,1094.3,972.58,912.73
1.28,1077.4,951.15,897.86
1.6,1054.9,925.21,875.15
1.92,1031.2,895.76,849.61
2.24,1005,864.78,825.34
2.56,977.65,833.49,803.49
2.88,948.69,803.51,781.13
3.2,918.29,776.11,759.53
3.52,888.38,751.33,739.52
3.84,858.78,729.07,718.98
4.16,831.11,709.59,699.29
4.48,804.29,693.59,681.4
4.8,779.48,680.5,665.5
5.12,755.88,670.08,650.78
5.44,734.46,661.13,637.65
5.76,714.19,652.71,625.71
6.08,695.93,644.71,616.67
6.4,678.36,636.94,609.77
6.72,662.6,629,601.88
7.04,643.89,621,592.86
7.36,628.29,611.53,584.79
7.68,618.27,604.57,578.98
8,609.25,597.65,572.44
8.32,600.23,588.69,565.69
8.64,590.48,579.99,559.43
8.96,580.06,571.43,553.95
9.28,569.65,563.04,549.51
9.6,559.66,555.3,546.25
9.92,550.07,548.14,542.72
10.24,540.48,541.63,539.02
10.56,531.03,535.73,536.38
10.88,521.73,530.02,534.9
11.2,512.43,524.49,533.39
11.52,503.16,519.13,530.66
11.84,493.91,513.89,527.06
12.16,484.68,508.64,523.11
12.48,475.28,503.27,518.72
12.8,465.7,497.68,513.23
13.12,456.11,492.01,506.2
13.44,446.61,486.29,499.59
13.76,437.21,480.34,493.4
14.08,427.82,474.04,486.56
14.4,418.54,467.43,479.27
14.72,409.49,460.33,472.18
15.04,400.44,453.06,465.79
15.36,390.69,445.97,460.15
15.68,379.64,439.33,454.47
16,368.58,432.5,448.65
