z,coarse,medium,fine  
24.78,1227.6,1120.7,1082.3
24.92,1225.1,1117.4,1078.1
25.06,1222.5,1114,1073.9
25.2,1219.9,1110.7,1069.7
25.34,1217.3,1107.4,1065.5
25.48,1214.7,1104.1,1061.4
25.62,1212.1,1100.8,1057.4
25.76,1209.5,1097.5,1053.4
25.9,1206.9,1094.2,1049.4
26.04,1204.2,1090.9,1045.4
26.18,1201.4,1087.6,1041.4
26.32,1198.7,1084.2,1037.4
26.46,1195.9,1080.9,1033.5
26.6,1193.1,1077.4,1029.5
26.74,1190.3,1074,1025.5
26.88,1187.5,1070.6,1021.6
27.02,1184.7,1067.1,1017.6
27.16,1181.8,1063.6,1013.6
27.3,1178.9,1060.1,1009.6
27.44,1176,1056.7,1005.5
27.58,1173.1,1053.2,1001.4
27.72,1170.2,1049.7,997.27
27.86,1167.3,1046.3,993.12
28,1164.4,1042.8,988.96
28.14,1161.5,1039.5,984.93
28.28,1158.5,1036.1,980.94
28.42,1155.5,1032.8,977.05
28.56,1152.5,1029.5,973.21
28.7,1149.5,1026.3,969.42
28.84,1146.6,1023.1,965.69
28.98,1143.6,1019.9,961.98
29.12,1140.6,1016.6,958.36
29.26,1137.6,1013.4,954.75
29.4,1134.6,1010.2,951.24
29.54,1131.6,1007,947.75
29.68,1128.6,1003.7,944.28
29.82,1125.6,1000.4,940.79
29.96,1122.6,997.19,937.27
30.1,1119.6,993.96,933.67
30.24,1116.6,990.74,930.03
30.38,1113.7,987.52,926.38
30.52,1110.7,984.3,922.74
30.66,1107.7,981.07,919.19
30.8,1104.8,977.85,915.68
30.94,1101.8,974.63,912.26
31.08,1098.8,971.44,908.9
31.22,1095.8,968.28,905.58
31.36,1092.8,965.11,902.31
31.5,1089.8,961.95,899.05
31.64,1086.8,958.92,895.81
31.78,1083.8,955.88,892.57
31.92,1080.8,952.85,889.37
32.06,1077.8,949.83,886.18
32.2,1074.8,946.82,883
32.34,1071.8,943.82,879.81
32.48,1068.8,940.81,876.61
32.62,1065.9,937.78,873.45
32.76,1062.9,934.73,870.29
32.9,1059.9,931.69,867.13
33.04,1056.9,928.66,863.97
33.18,1053.9,925.65,860.82
33.32,1051,922.65,857.72
33.46,1048,919.65,854.65
33.6,1045.1,916.7,851.61
33.74,1042.1,913.78,848.57
33.88,1039.2,910.86,845.61
34.02,1036.3,907.96,842.67
34.16,1033.4,905.15,839.77
34.3,1030.5,902.34,836.85
34.44,1027.6,899.53,833.89
34.58,1024.8,896.77,830.94
34.72,1021.9,894.04,828
34.86,1019,891.31,825.15
35,1016.1,888.58,822.31
35.14,1013.3,885.9,819.59
35.28,1010.5,883.21,816.9
35.42,1007.7,880.53,814.27
35.56,1004.9,877.89,811.72
35.7,1002.2,875.3,809.26
35.84,999.36,872.71,806.9
35.98,996.56,870.12,804.61
36.12,993.85,867.61,802.38
36.26,991.16,865.11,800.18
36.4,988.46,862.61,798.1
36.54,985.77,860.11,796.04
36.68,983.07,857.62,794.02
36.82,980.38,855.14,792.02
36.96,977.68,852.65,790.04
37.1,975.07,850.19,788.13
37.24,972.48,847.74,786.24
37.38,969.89,845.29,784.42
37.52,967.31,842.84,782.59
37.66,964.72,840.46,780.78
37.8,962.13,838.08,778.96
37.94,959.55,835.7,777.11
38.08,956.99,833.32,775.26
38.22,954.45,830.95,773.41
38.36,951.91,828.58,771.54
38.5,949.37,826.21,769.66
38.64,946.83,823.91,767.75
38.78,944.29,821.61,765.84
38.92,941.75,819.31,763.95
39.06,939.23,817.02,762.04
39.2,936.74,814.75,760.13
39.34,934.25,812.49,758.23
39.48,931.75,810.22,756.35
39.62,929.26,807.96,754.46
39.76,926.77,805.71,752.57
39.9,924.28,803.45,750.73
40.04,921.78,801.22,748.92
40.18,919.28,799.02,747.2
40.32,916.79,796.82,745.55
40.46,914.29,794.62,743.96
40.6,911.8,792.39,742.47
40.74,909.3,790.15,741.01
40.88,906.8,787.91,739.51
41.02,904.28,785.67,738.01
41.16,901.58,783.44,736.49
41.3,898.89,781.2,734.96
41.44,896.19,778.96,733.4
41.58,893.49,776.74,731.82
41.72,890.8,774.52,730.21
41.86,888.1,772.31,728.54
42,885.41,770.09,726.86
42.14,881.71,767.7,725.09
42.28,878,765.3,723.33
42.42,874.3,762.91,721.56
42.56,870.6,759.99,719.5
42.7,866.89,756.37,717.03
42.84,863.19,752.74,711.96
42.98,859.49,749.12,705.45
43.12,857.06,746.71,702.66
43.26,854.85,744.5,700.5
43.4,852.64,742.29,698.34
43.54,850.42,740.08,696.18
43.68,848.21,737.87,694.02
43.82,846,735.66,691.85
43.96,843.78,733.45,689.69
44.1,841.57,731.4,687.85
44.24,839.35,729.41,686.15
44.38,837.14,727.42,684.44
44.52,834.93,725.43,682.73
44.66,832.71,723.44,681.02
44.8,830.5,721.45,679.31
44.94,828.29,719.46,677.6
45.08,826.17,717.58,676.03
45.22,824.13,715.78,674.56
45.36,822.08,713.98,673.1
45.5,820.04,712.19,671.63
45.64,817.99,710.39,670.17
45.78,815.95,708.59,668.7
45.92,813.9,706.79,667.24
46.06,811.86,705.06,665.83
46.2,809.81,703.41,664.51
46.34,807.77,701.77,663.18
46.48,805.73,700.13,661.86
46.62,803.68,698.48,660.53
46.76,801.64,696.84,659.2
46.9,799.59,695.19,657.88
47.04,797.6,693.57,656.56
47.18,795.76,692,655.27
47.32,793.91,690.44,653.97
47.46,792.07,688.87,652.68
47.6,790.22,687.31,651.39
47.74,788.38,685.74,650.09
47.88,786.53,684.18,648.8
48.02,784.69,682.62,647.5
48.16,782.84,681.13,646.18
48.3,781,679.63,644.86
48.44,779.15,678.14,643.53
48.58,777.31,676.64,642.21
48.72,775.46,675.15,640.89
48.86,773.62,673.65,639.57
49,771.77,672.16,638.25
49.14,770.14,670.68,636.94
49.28,768.5,669.21,635.63
49.42,766.87,667.73,634.32
49.56,765.23,666.25,633.01
49.7,763.6,664.77,631.7
49.84,761.96,663.3,630.39
49.98,760.33,661.82,629.09
50.12,758.69,660.34,627.86
50.26,757.06,658.87,626.64
50.4,755.42,657.4,625.42
50.54,753.78,655.93,624.2
50.68,752.15,654.45,622.98
50.82,750.51,652.98,621.77
50.96,748.88,651.51,620.55
51.1,747.34,650.07,619.37
