r,coarse,medium,fine
-16,0.16406,0.2436,0.2825
-15.68,0.17468,0.25689,0.29929
-15.36,0.18469,0.26978,0.31581
-15.04,0.19669,0.28304,0.33202
-14.72,0.20922,0.29629,0.34909
-14.4,0.22104,0.30927,0.3662
-14.08,0.23486,0.32205,0.38219
-13.76,0.24934,0.33489,0.39571
-13.44,0.26302,0.34798,0.40643
-13.12,0.27642,0.36115,0.41497
-12.8,0.28943,0.37397,0.42207
-12.48,0.30188,0.38655,0.42944
-12.16,0.31252,0.39997,0.43871
-11.84,0.32185,0.41455,0.44997
-11.52,0.33091,0.42963,0.4601
-11.2,0.33888,0.44501,0.46803
-10.88,0.34598,0.45929,0.47298
-10.56,0.35294,0.47229,0.4765
-10.24,0.35923,0.48392,0.47898
-9.92,0.36493,0.49179,0.48035
-9.6,0.37054,0.49658,0.47976
-9.28,0.3719,0.49836,0.47749
-8.96,0.3689,0.49568,0.47135
-8.64,0.36589,0.48729,0.45897
-8.32,0.35872,0.47268,0.43905
-8,0.3465,0.44795,0.40973
-7.68,0.33383,0.42248,0.375
-7.36,0.32339,0.40473,0.35268
-7.04,0.31024,0.39215,0.34429
-6.72,0.29634,0.38917,0.33836
-6.4,0.2975,0.38147,0.33258
-6.08,0.2971,0.37282,0.32724
-5.76,0.296,0.36107,0.32222
-5.44,0.29491,0.34834,0.31841
-5.12,0.29434,0.33495,0.31517
-4.8,0.29338,0.32104,0.31128
-4.48,0.29184,0.30736,0.30503
-4.16,0.29018,0.29579,0.29843
-3.84,0.28633,0.28693,0.29314
-3.52,0.28211,0.28022,0.29051
-3.2,0.27732,0.27498,0.28777
-2.88,0.27237,0.27037,0.28353
-2.56,0.26741,0.26495,0.27928
-2.24,0.26223,0.25813,0.27579
-1.92,0.25726,0.25054,0.27257
-1.6,0.25285,0.24296,0.27126
-1.28,0.24924,0.23608,0.2671
-0.96,0.24709,0.23041,0.25923
-0.64,0.24522,0.22606,0.25382
-0.32,0.2446,0.22369,0.25213
0,0.24389,0.22348,0.25201
0.32,0.24409,0.22551,0.2532
0.64,0.24402,0.22944,0.25493
0.96,0.24491,0.23501,0.25748
1.28,0.24598,0.24134,0.26002
1.6,0.24871,0.24764,0.26179
1.92,0.25236,0.25377,0.26516
2.24,0.25737,0.2596,0.27053
2.56,0.26306,0.26467,0.27569
2.88,0.26865,0.26895,0.27997
3.2,0.27422,0.27308,0.28483
3.52,0.27942,0.27816,0.28986
3.84,0.28365,0.2854,0.29377
4.16,0.28736,0.29477,0.2973
4.48,0.28983,0.30574,0.30355
4.8,0.2919,0.318,0.31201
5.12,0.29302,0.33135,0.32139
5.44,0.29372,0.34501,0.32995
5.76,0.29423,0.35757,0.33698
6.08,0.29515,0.36871,0.34244
6.4,0.29535,0.37712,0.34629
6.72,0.29439,0.38521,0.34887
7.04,0.3075,0.38894,0.3506
7.36,0.31961,0.40318,0.35409
7.68,0.32918,0.4224,0.37289
8,0.341,0.44965,0.40354
8.32,0.35242,0.47624,0.42965
8.64,0.35959,0.49296,0.44927
8.96,0.36325,0.50318,0.46129
9.28,0.36689,0.50679,0.46779
9.6,0.36618,0.50403,0.47094
9.92,0.36122,0.4983,0.472
10.24,0.3562,0.48992,0.46905
10.56,0.35011,0.47863,0.46581
10.88,0.34283,0.46597,0.46438
11.2,0.33538,0.45198,0.46126
11.52,0.32751,0.43662,0.4539
11.84,0.31913,0.42047,0.44516
12.16,0.31052,0.40398,0.43754
12.48,0.30074,0.38764,0.42922
12.8,0.28933,0.3726,0.42115
13.12,0.27746,0.35828,0.41405
13.44,0.26507,0.34469,0.40669
13.76,0.25209,0.33119,0.39649
14.08,0.2384,0.31761,0.38456
14.4,0.22533,0.30402,0.37309
14.72,0.21406,0.29106,0.36107
15.04,0.20216,0.27828,0.34731
15.36,0.19049,0.26549,0.33179
15.68,0.18002,0.25279,0.31477
16,0.16889,0.23953,0.29684
