r,coarse,medium,fine 
-16,0.17232,0.2197,0.23784
-15.68,0.18501,0.22442,0.24229
-15.36,0.1977,0.22751,0.24645
-15.04,0.20382,0.23099,0.25017
-14.72,0.2065,0.23464,0.25357
-14.4,0.20919,0.23822,0.25653
-14.08,0.21166,0.24264,0.25935
-13.76,0.214,0.24751,0.26199
-13.44,0.21635,0.25278,0.2637
-13.12,0.21848,0.25834,0.26436
-12.8,0.22048,0.26344,0.26334
-12.48,0.22248,0.26787,0.25942
-12.16,0.22421,0.27024,0.25362
-11.84,0.22575,0.27047,0.24727
-11.52,0.22729,0.2685,0.24042
-11.2,0.22822,0.26312,0.2322
-10.88,0.22862,0.25379,0.22317
-10.56,0.22904,0.24172,0.21469
-10.24,0.22938,0.22685,0.20674
-9.92,0.22964,0.20913,0.19973
-9.6,0.2299,0.19071,0.19338
-9.28,0.23164,0.17231,0.18686
-8.96,0.23491,0.15725,0.18123
-8.64,0.23817,0.14562,0.17721
-8.32,0.24391,0.13921,0.17655
-8,0.25248,0.14231,0.18085
-7.68,0.26105,0.15864,0.19358
-7.36,0.27111,0.17675,0.2104
-7.04,0.28415,0.1946,0.21631
-6.72,0.29424,0.19872,0.21824
-6.4,0.2945,0.20325,0.21966
-6.08,0.29405,0.20798,0.22037
-5.76,0.29117,0.21458,0.2202
-5.44,0.28731,0.22255,0.2194
-5.12,0.28137,0.23129,0.21873
-4.8,0.27413,0.23998,0.21619
-4.48,0.26548,0.24796,0.21127
-4.16,0.2555,0.25416,0.20596
-3.84,0.24416,0.25706,0.20106
-3.52,0.23118,0.25536,0.19565
-3.2,0.21718,0.24812,0.18566
-2.88,0.20131,0.2343,0.17041
-2.56,0.18462,0.21347,0.15207
-2.24,0.16684,0.18757,0.13189
-1.92,0.14754,0.16002,0.11078
-1.6,0.12741,0.13342,0.089224
-1.28,0.1051,0.10894,0.069079
-0.96,0.081455,0.08673,0.051234
-0.64,0.055851,0.065144,0.032673
-0.32,0.028966,0.041861,0.011726
0,0.0011623,0.016207,-0.0096096
0.32,-0.026279,-0.010438,-0.030817
0.64,-0.053124,-0.036432,-0.051684
0.96,-0.078471,-0.061699,-0.073265
1.28,-0.10178,-0.087685,-0.094793
1.6,-0.12395,-0.11611,-0.11621
1.92,-0.14414,-0.14715,-0.137
2.24,-0.16354,-0.17847,-0.15666
2.56,-0.18154,-0.20722,-0.17325
2.88,-0.19768,-0.2308,-0.18568
3.2,-0.21207,-0.24754,-0.19382
3.52,-0.22467,-0.25699,-0.20019
3.84,-0.2365,-0.25949,-0.20566
4.16,-0.24701,-0.25638,-0.20806
4.48,-0.25697,-0.24999,-0.2077
4.8,-0.26519,-0.24223,-0.20744
5.12,-0.27243,-0.23401,-0.20649
5.44,-0.27799,-0.22618,-0.20447
5.76,-0.28236,-0.21947,-0.20176
6.08,-0.28496,-0.21398,-0.19974
6.4,-0.28597,-0.21026,-0.19875
6.72,-0.2857,-0.20678,-0.19761
7.04,-0.27543,-0.20363,-0.1955
7.36,-0.26196,-0.18647,-0.19045
7.68,-0.25212,-0.16899,-0.17458
8,-0.24455,-0.15249,-0.163
8.32,-0.23697,-0.14907,-0.16143
8.64,-0.23279,-0.15461,-0.16531
8.96,-0.23156,-0.16484,-0.17123
9.28,-0.23032,-0.17774,-0.17784
9.6,-0.22984,-0.19333,-0.18631
9.92,-0.23007,-0.2088,-0.19637
10.24,-0.23031,-0.22353,-0.20565
10.56,-0.23,-0.23691,-0.21309
10.88,-0.22911,-0.24815,-0.21901
11.2,-0.22821,-0.25714,-0.22448
11.52,-0.22701,-0.26254,-0.23039
11.84,-0.22544,-0.26531,-0.23592
12.16,-0.22387,-0.26625,-0.24152
12.48,-0.22198,-0.26522,-0.24679
12.8,-0.21965,-0.26189,-0.25078
13.12,-0.21732,-0.25771,-0.25284
13.44,-0.21496,-0.25287,-0.25401
13.76,-0.21254,-0.24773,-0.25486
14.08,-0.21012,-0.24285,-0.25495
14.4,-0.20768,-0.23835,-0.25379
14.72,-0.20522,-0.23469,-0.25184
15.04,-0.20276,-0.2309,-0.2494
15.36,-0.19658,-0.22739,-0.24663
15.68,-0.18329,-0.22444,-0.24368
16,-0.17001,-0.21986,-0.24
