r,coarse,medium,fine
-16,142.82,244.28,283.15
-15.68,156.88,249.56,290.21
-15.36,169.78,254.36,296.55
-15.04,180.65,259.37,302.49
-14.72,190.33,264.41,307.65
-14.4,199.55,269.25,311.56
-14.08,208.74,274.19,314.83
-13.76,217.74,279.39,318.14
-13.44,226.4,284.98,321.42
-13.12,234.64,290.91,325.22
-12.8,242.55,296.87,330.39
-12.48,250.21,302.83,337.79
-12.16,257.54,308.8,344.9
-11.84,264.59,314.73,348.95
-11.52,271.45,320.56,351.06
-11.2,278.38,326.23,354.22
-10.88,285.35,331.99,359.04
-10.56,292.14,337.72,364.99
-10.24,299.24,343.44,371.37
-9.92,306.61,348.59,377.01
-9.6,313.8,353.83,381.73
-9.28,321.72,359.15,385.35
-8.96,330.36,364.54,389.31
-8.64,338.77,369.68,393.7
-8.32,346.79,374.76,398.28
-8,354.41,379.9,403.99
-7.68,361.87,384.37,410.94
-7.36,369.7,389.23,418.76
-7.04,381.35,396.27,427.43
-6.72,394.45,401.42,432.91
-6.4,403.35,406.37,438.17
-6.08,412.67,411.32,442.62
-5.76,420.83,416.63,445.71
-5.44,429.28,422.12,448.85
-5.12,436.33,427.89,451.71
-4.8,443.58,433.75,455.81
-4.48,448.52,439.56,461.06
-4.16,453.1,445.02,465.82
-3.84,455.74,449.69,470.43
-3.52,457.57,454.46,475.19
-3.2,458.11,459.22,479.42
-2.88,457.6,463.54,484.02
-2.56,455.72,468.22,485.34
-2.24,452.36,472.8,486.02
-1.92,448.02,476.8,486.2
-1.6,442.73,480.26,485.84
-1.28,437.16,482.29,486.88
-0.96,432.2,482.33,488.96
-0.64,427.33,481.2,486.53
-0.32,425.45,479.9,482.28
0,423.58,478.34,480.49
0.32,425.7,476.85,481.04
0.64,427.68,477.26,484.68
0.96,432.51,477.75,488.52
1.28,437.09,477.99,490.32
1.6,442.02,477.89,486.25
1.92,446.32,477.65,478.95
2.24,449.43,476.78,473.5
2.56,451.47,474.32,470.73
2.88,452.35,469.86,466.17
3.2,452.27,463.8,461.88
3.52,451.39,456.81,457.07
3.84,449.58,449.67,450.68
4.16,446.98,443.02,444.05
4.48,442.82,437.53,437.6
4.8,438.27,432.57,432.52
5.12,432.67,428.38,428.05
5.44,427.4,424.57,425.01
5.76,420.98,420.71,422.76
6.08,415,416.68,420.62
6.4,407.53,412.57,418.01
6.72,400.47,408.78,413.71
7.04,389.18,405.24,407.25
7.36,378.88,399.24,400.17
7.68,371.67,394.25,394.15
8,364.57,389.02,388.4
8.32,357.31,382.29,383.17
8.64,349.31,375.29,378.01
8.96,340.56,368.16,373.09
9.28,331.58,361.08,368.6
9.6,322.84,354.77,363.71
9.92,314.35,348.9,358.01
10.24,305.63,343.43,352.38
10.56,297.35,337.99,347.69
10.88,289.64,332.49,343.96
11.2,281.7,326.92,340.21
11.52,274.03,321.3,334.89
11.84,266.74,315.64,328.2
12.16,259.24,310,321.15
12.48,251.46,304.45,315.67
12.8,243.36,299.06,310.88
13.12,234.97,293.83,305.66
13.44,226.64,288.79,300.55
13.76,218.56,283.81,295.61
14.08,210.18,278.48,290.6
14.4,201.81,272.9,285.56
14.72,193.72,267.24,280.89
15.04,185.27,261.54,276.21
15.36,175.43,255.83,271.02
15.68,162.96,250.2,266.04
16,149.45,243.86,261.07
