r,coarse,medium,fine 
-16,0.37781,0.46404,0.48579
-15.68,0.40671,0.47279,0.49866
-15.36,0.43369,0.48165,0.51275
-15.04,0.45391,0.49045,0.52732
-14.72,0.47066,0.4991,0.54175
-14.4,0.48683,0.50744,0.55574
-14.08,0.50306,0.51634,0.56669
-13.76,0.51912,0.52547,0.57372
-13.44,0.53469,0.53478,0.5785
-13.12,0.55031,0.54448,0.58336
-12.8,0.56582,0.55484,0.59168
-12.48,0.5809,0.56583,0.6029
-12.16,0.59548,0.57774,0.61134
-11.84,0.60962,0.58975,0.61421
-11.52,0.62343,0.60195,0.61855
-11.2,0.63663,0.61466,0.62462
-10.88,0.64932,0.62698,0.6307
-10.56,0.66177,0.63858,0.63665
-10.24,0.6755,0.64933,0.64397
-9.92,0.69034,0.65936,0.6507
-9.6,0.70487,0.6703,0.65418
-9.28,0.72031,0.68207,0.65919
-8.96,0.73664,0.69479,0.66842
-8.64,0.7526,0.70773,0.67977
-8.32,0.76703,0.72074,0.69334
-8,0.77981,0.73385,0.7115
-7.68,0.79238,0.74441,0.73247
-7.36,0.80589,0.75697,0.75276
-7.04,0.8279,0.77676,0.77916
-6.72,0.85485,0.79346,0.80429
-6.4,0.87665,0.81096,0.82802
-6.08,0.90039,0.82877,0.85013
-5.76,0.92455,0.84731,0.87194
-5.44,0.94962,0.86568,0.89776
-5.12,0.97251,0.88306,0.92823
-4.8,0.99584,0.90229,0.95861
-4.48,1.0188,0.92488,0.9894
-4.16,1.0422,0.95103,1.0175
-3.84,1.0632,0.97751,1.0472
-3.52,1.0828,1.0038,1.0782
-3.2,1.0997,1.0308,1.1062
-2.88,1.115,1.058,1.1364
-2.56,1.1276,1.0843,1.1699
-2.24,1.1377,1.1095,1.1967
-1.92,1.1462,1.1341,1.218
-1.6,1.1524,1.1563,1.2352
-1.28,1.1574,1.1753,1.2533
-0.96,1.1595,1.1921,1.2677
-0.64,1.1606,1.2051,1.2684
-0.32,1.1594,1.2146,1.2567
0,1.1581,1.2194,1.2473
0.32,1.1566,1.2168,1.2389
0.64,1.155,1.2108,1.2371
0.96,1.1538,1.202,1.2352
1.28,1.1526,1.1881,1.2262
1.6,1.1513,1.1678,1.2076
1.92,1.1492,1.142,1.1858
2.24,1.1443,1.1136,1.1591
2.56,1.1364,1.0835,1.1337
2.88,1.1241,1.0512,1.1061
3.2,1.1075,1.0173,1.0787
3.52,1.0884,0.98469,1.0504
3.84,1.0668,0.9549,1.019
4.16,1.0442,0.92779,0.98784
4.48,1.0198,0.90561,0.95715
4.8,0.99509,0.88663,0.92692
5.12,0.97116,0.86889,0.90061
5.44,0.94789,0.85154,0.8793
5.76,0.92613,0.83547,0.85886
6.08,0.9055,0.82025,0.83485
6.4,0.88657,0.80548,0.80734
6.72,0.86872,0.7904,0.7803
7.04,0.8443,0.77612,0.75637
7.36,0.82298,0.75802,0.7353
7.68,0.8081,0.74555,0.72129
8,0.79363,0.73391,0.71112
8.32,0.7789,0.71931,0.70417
8.64,0.76262,0.70425,0.69859
8.96,0.74485,0.68921,0.69484
9.28,0.72666,0.67487,0.69042
9.6,0.70967,0.66122,0.68584
9.92,0.69392,0.64796,0.6798
10.24,0.67781,0.63512,0.67455
10.56,0.66295,0.62399,0.67052
10.88,0.64957,0.61312,0.66298
11.2,0.6359,0.6026,0.65075
11.52,0.62261,0.59305,0.63649
11.84,0.60987,0.58384,0.62366
12.16,0.59685,0.57427,0.61308
12.48,0.58351,0.56367,0.60327
12.8,0.56979,0.55377,0.5929
13.12,0.55574,0.54449,0.57993
13.44,0.54196,0.53589,0.56641
13.76,0.5288,0.52737,0.55656
14.08,0.5153,0.51874,0.54828
14.4,0.50152,0.51003,0.53915
14.72,0.48748,0.5014,0.52676
15.04,0.47303,0.49197,0.51164
15.36,0.4546,0.48182,0.49455
15.68,0.42826,0.47088,0.47797
16,0.40019,0.45943,0.46497
