z,uT_fine 
-0.021763,0.0031751
1.4058,26.425
2.8333,42.501
4.2608,58.557
5.6884,71.12
7.1159,79.734
8.5434,89.572
9.971,103.99
11.399,122.64
12.826,140.77
14.254,160.96
15.681,185.94
17.109,211.42
18.536,237.55
19.964,271.81
21.391,309.12
22.819,341.7
24.246,368.89
25.674,383.95
27.101,383.78
28.529,376.55
29.956,365.33
31.384,355.75
32.812,349.24
34.239,347.11
35.667,343.43
37.094,335.49
38.522,323.42
39.949,308.14
41.377,291.76
42.804,276
44.232,262.98
45.659,249.22
47.087,238.15
48.514,228.17
49.942,217.92
51.37,207.58
52.797,198.37
54.225,190.57
55.652,181.95
57.08,175.1
58.507,168.44
59.935,162.16
61.362,155.83
62.79,149.52
64.217,143.11
65.645,138.44
67.072,133.15
68.5,128.83
69.927,124.56
