time,HRR_coarse(kW) 
0,20.604
0.0009,20.57
0.0017,20.54
0.0027,20.489
0.0035,20.454
0.0045,20.421
0.0053,20.413
0.0063,20.395
0.0072,20.385
0.0081,20.361
0.0091,20.333
0.01,20.314
0.011,20.308
0.0119,20.307
0.0128,20.3
0.0138,20.286
0.0148,20.263
0.0158,20.242
0.0168,20.213
0.0177,20.186
0.0185,20.177
0.0192,20.169
0.02,20.163
0.021,20.155
0.0221,20.146
0.0231,20.14
0.0241,20.138
0.0251,20.136
0.0261,20.135
0.0271,20.132
0.028,20.129
0.029,20.119
0.03,20.106
0.031,20.097
0.0319,20.095
0.0329,20.083
0.0338,20.075
0.0349,20.065
0.0358,20.054
0.0368,20.036
0.0377,20.014
0.0385,20.009
0.0392,19.999
0.04,19.992
0.041,19.974
0.0419,19.966
0.0428,19.958
0.0437,19.958
0.0446,19.971
0.0454,19.994
0.0463,20.004
0.0471,20.01
0.0481,20.014
0.0487,20.025
0.0493,20.023
0.05,20.032
0.0509,20.04
0.0517,20.059
0.0525,20.066
0.0533,20.068
0.0543,20.045
0.0551,20.053
0.056,20.059
0.0569,20.069
0.0578,20.084
0.0585,20.121
0.0592,20.151
0.06,20.171
0.061,20.174
0.0618,20.183
0.0628,20.183
0.0636,20.198
0.0646,20.222
0.0655,20.259
0.0664,20.282
0.0672,20.302
0.068,20.298
0.0686,20.31
0.0693,20.317
0.07,20.325
0.0709,20.33
0.0716,20.34
0.0725,20.341
0.0733,20.364
0.0743,20.386
0.0751,20.407
0.076,20.429
0.0768,20.454
0.0778,20.47
0.0784,20.492
0.0792,20.507
0.08,20.512
0.081,20.528
0.0818,20.561
0.0828,20.587
0.0835,20.612
0.0845,20.633
0.0852,20.671
0.0862,20.695
0.087,20.73
0.088,20.772
0.0886,20.829
0.0893,20.864
0.09,20.891
0.091,20.909
0.0917,20.929
0.0927,20.944
0.0934,20.991
0.0944,21.022
0.0952,21.05
0.0961,21.074
0.0969,21.096
0.0978,21.117
0.0985,21.136
0.0992,21.138
0.1,21.149
0.101,21.171
0.1018,21.195
0.1028,21.207
0.1037,21.218
0.1046,21.222
0.1055,21.247
0.1065,21.242
0.1074,21.24
0.1082,21.24
0.1091,21.245
0.11,21.236
0.111,21.22
0.1119,21.209
0.1129,21.2
0.1138,21.2
0.1148,21.17
0.1157,21.175
0.1167,21.167
0.1175,21.148
0.1184,21.116
0.1192,21.101
0.12,21.089
0.1209,21.072
0.1217,21.042
0.1227,21.003
0.1236,20.97
0.1245,20.914
0.1254,20.897
0.1264,20.901
0.1273,20.904
0.1282,20.893
0.1291,20.873
0.13,20.855
0.131,20.819
0.1318,20.798
0.1328,20.767
0.1337,20.767
0.1346,20.761
0.1355,20.754
0.1364,20.75
0.1372,20.742
0.1381,20.726
0.1387,20.73
0.1394,20.722
0.14,20.702
0.1409,20.669
0.1418,20.665
0.1426,20.667
0.1436,20.662
0.1445,20.664
0.1454,20.666
0.1462,20.677
0.1471,20.667
0.148,20.642
0.1487,20.633
0.1493,20.627
0.15,20.635
0.1509,20.648
0.1516,20.67
0.1525,20.688
0.1532,20.708
0.1541,20.718
0.1547,20.72
0.1555,20.702
0.1562,20.706
0.1571,20.712
0.1578,20.726
0.1585,20.729
0.1593,20.746
0.16,20.776
0.1608,20.8
0.1615,20.808
0.1623,20.816
0.163,20.841
0.1638,20.869
0.1645,20.906
0.1653,20.948
0.166,20.989
0.1667,21.021
0.1675,21.038
0.1682,21.053
0.1688,21.075
0.1694,21.088
0.17,21.105
0.1708,21.12
0.1715,21.148
0.1723,21.172
0.173,21.194
0.1739,21.2
0.1746,21.21
0.1755,21.212
0.1762,21.215
0.1771,21.216
0.1779,21.253
0.1786,21.278
0.1793,21.302
0.18,21.325
0.181,21.349
0.1817,21.376
0.1827,21.386
0.1835,21.401
0.1844,21.426
0.1851,21.458
0.186,21.481
0.1867,21.502
0.1876,21.518
0.1884,21.561
0.1892,21.603
0.1895,21.657
0.1897,21.666
0.19,21.671
0.1904,21.684
0.191,21.704
0.1917,21.732
0.1924,21.76
0.1932,21.779
0.194,21.806
0.1949,21.838
0.1957,21.89
0.1966,21.957
0.1973,22.028
0.1982,22.084
0.1988,22.122
0.1994,22.153
0.2,22.196
0.2008,22.243
0.2016,22.303
0.2025,22.347
0.2033,22.407
0.2041,22.476
