z,uT_coarse 
-0.0099967,0.0014762
0.69687,2.9354
1.4036,11.118
2.1105,17.195
2.8174,19.513
3.5242,19.428
4.231,19.91
4.9379,20.82
5.6447,20.944
6.3515,21.369
7.0583,22.198
7.7652,22.113
8.472,22.26
9.1788,23.73
9.8857,26.308
10.593,28.662
11.299,32.264
12.006,37.25
12.713,40.851
13.42,46.231
14.127,53.696
14.834,60.283
15.54,66.962
16.247,76.179
16.954,88.2
17.661,97.523
18.368,108.97
19.075,123.21
19.781,134.43
20.488,145.69
21.195,159.8
21.902,173.31
22.609,181.44
23.316,192.21
24.022,206.55
24.729,212.35
25.436,219.09
26.143,229.28
26.85,238.21
27.557,242.76
28.263,250.61
28.97,262.6
29.677,263.99
30.384,269.52
31.091,279.58
31.798,283.52
32.504,284.36
33.211,289.63
33.918,295.87
34.625,293.15
35.332,293.45
36.039,296.7
36.745,291.59
37.452,288.09
38.159,288.25
38.866,285.59
39.573,279.07
40.28,276.46
40.986,278.14
41.693,270.45
42.4,262.17
43.107,254.5
43.814,236.88
44.521,233.02
45.227,231.72
45.934,221.46
46.641,221.14
47.348,216.66
48.055,208.83
48.762,210.03
49.468,203.13
50.175,197.25
50.882,199.61
51.589,189.96
52.296,185.27
53.003,187.54
53.709,176.26
54.416,172.57
55.123,172.29
55.83,163.88
56.537,162.42
57.244,160.57
57.95,153.53
58.657,152.82
59.364,148.97
60.071,143.57
60.778,144.04
61.485,137.89
62.191,132.67
62.898,133
63.605,126.22
64.312,123.16
65.019,124.24
65.726,117.94
66.432,116.24
67.139,115.99
67.846,110.39
68.553,109.17
69.26,107.7
69.967,103.78
